n,arquivo,topico,nivel_outline,pagina_ini,pagina_fim,n_paginas,n_topicos,parte,tokens,topicos_todos,incluir,motivo_exclusao
26,026_8-10-comparativas.txt,8.10 COMPARATIVAS,0,193,195,3,1,2/2,1243,8.10 COMPARATIVAS,1,
27,027_8-11-condicionais.txt,8.11 CONDICIONAIS,0,196,197,2,1,,1641,8.11 CONDICIONAIS,1,
28,028_8-11-2-oracoes-condicionais-nas-linguas-de-s.txt,8.11.2 Orações condicionais nas Línguas de Sinais,1,198,203,6,4,,1911,8.11.2 Orações condicionais nas Línguas de Sinais | 8.11.3 Orações condicionais na Libras | 8.11.5 Marcadores não manuais | 8.11.5 Marcadores não manuais,1,
29,029_8-11-7-mouthing.txt,8.11.7 Mouthing,-1,204,210,7,5,,1530,8.11.7 Mouthing | 8.11.7 Mouthing | 8.11.8 Inclinação da cabeça | 8.11.8 Inclinação da cabeça | 8.11.9 Ordem,1,
30,030_8-11-9-ordem.txt,8.11.9 Ordem,1,211,215,5,3,,1675,8.11.9 Ordem | 8.11.10 Subtipos semânticos | 8.12 FINAIS (OU DE FINALIDADE),1,
31,031_8-12-finais-ou-de-finalidade.txt,8.12 FINAIS (OU DE FINALIDADE),0,216,219,4,2,,1741,8.12 FINAIS (OU DE FINALIDADE) | 8.13 TEMPORAIS,1,
32,032_8-13-temporais.txt,8.13 TEMPORAIS,0,220,224,5,1,1/3,1836,8.13 TEMPORAIS,1,
33,033_8-13-temporais.txt,8.13 TEMPORAIS,0,225,228,4,1,2/3,1910,8.13 TEMPORAIS,1,
34,034_8-13-temporais.txt,8.13 TEMPORAIS,0,229,229,1,1,3/3,739,8.13 TEMPORAIS,1,
35,035_8-14-oracoes-encaixadas.txt,8.14 ORAÇÕES ENCAIXADAS,0,230,230,1,1,,266,8.14 ORAÇÕES ENCAIXADAS,1,
36,036_8-14-1-encaixadas-substantivas-8-14-1-1-enca.txt,8.14.1 Encaixadas substantivas 8.14.1.1 Encaixada substantiva subjetiva,1,231,234,4,1,1/3,1653,8.14.1 Encaixadas substantivas 8.14.1.1 Encaixada substantiva subjetiva,1,
37,037_8-14-1-encaixadas-substantivas-8-14-1-1-enca.txt,8.14.1 Encaixadas substantivas 8.14.1.1 Encaixada substantiva subjetiva,1,235,239,5,1,2/3,1793,8.14.1 Encaixadas substantivas 8.14.1.1 Encaixada substantiva subjetiva,1,
38,038_8-14-1-encaixadas-substantivas-8-14-1-1-enca.txt,8.14.1 Encaixadas substantivas 8.14.1.1 Encaixada substantiva subjetiva,1,240,240,1,1,3/3,406,8.14.1 Encaixadas substantivas 8.14.1.1 Encaixada substantiva subjetiva,1,
39,039_8-15-1-5-encaixada-substantiva-objetiva-nao-.txt,8.15.1.5 Encaixada substantiva objetiva não manual,-1,241,244,4,1,1/2,1817,8.15.1.5 Encaixada substantiva objetiva não manual,0,Título indica explicitamente que o conteúdo é não manual.
40,040_8-15-1-5-encaixada-substantiva-objetiva-nao-.txt,8.15.1.5 Encaixada substantiva objetiva não manual,-1,245,246,2,1,2/2,1229,8.15.1.5 Encaixada substantiva objetiva não manual,0,Título indica explicitamente que o conteúdo é não manual.
41,041_8-14-2-encaixadas-relativas-restritivas.txt,8.14.2 Encaixadas relativas restritivas,1,247,252,6,1,1/2,1878,8.14.2 Encaixadas relativas restritivas,1,
42,042_8-14-2-encaixadas-relativas-restritivas.txt,8.14.2 Encaixadas relativas restritivas,1,253,255,3,1,2/2,902,8.14.2 Encaixadas relativas restritivas,1,
