n,arquivo,topico,nivel_outline,pagina_ini,pagina_fim,n_paginas,n_topicos,parte,tokens,topicos_todos,incluir,motivo_exclusao
36,036_5-7-descricoes-imageticas-e-classificadores.txt,5.7 Descrições Imagéticas e Classificadores,1,306,307,2,1,2/2,1520,5.7 Descrições Imagéticas e Classificadores,0,Tópico claramente sobre classificadores imagéticos.
37,037_5-7-1-linguas-de-sinais-primarias-e-iconiciz.txt,5.7.1 Línguas de Sinais primárias e iconicização da experiência dos sujeitos Sur,2,308,310,3,1,1/2,1458,5.7.1 Línguas de Sinais primárias e iconicização da experiência dos sujeitos Sur,0,"Título menciona iconicização, que é critério de exclusão."
38,038_5-7-1-linguas-de-sinais-primarias-e-iconiciz.txt,5.7.1 Línguas de Sinais primárias e iconicização da experiência dos sujeitos Sur,2,311,311,1,1,2/2,710,5.7.1 Línguas de Sinais primárias e iconicização da experiência dos sujeitos Sur,0,"Título menciona iconicização, que é critério de exclusão."
39,039_5-7-2-elementos-altamente-iconicos-da-libras.txt,5.7.2 Elementos altamente icônicos da Libras: as Descrições Imagéticas,2,312,314,3,3,,1579,5.7.2 Elementos altamente icônicos da Libras: as Descrições Imagéticas | 5.7.2.2 Transferência Espacial | 5.7.2.3 Transferência de Localização,0,"Título claramente sobre iconicidade e descrições imagéticas. ; Título claramente sobre transferência espacial, canal não-manual. ; Tópico claramente sobre transferência de localização."
40,040_5-7-2-5-transferencia-de-incorporacao.txt,5.7.2.5 Transferência de Incorporação,-1,315,318,4,3,,1710,5.7.2.5 Transferência de Incorporação | 5.7.2.6 Transferência de Vibração | 5.7.3. DeafSpace - Organização Arquitetônica Surda,0,"Tópico claramente sobre transferências de incorporação. ; Tópico claramente sobre transferência de vibração. ; Arquitetura e organização espacial, não estrutura linguística."
41,041_5-7-4-aplicando-a-visualidade-ao-processo-de.txt,5.7.4 Aplicando a visualidade ao processo de ensino e aprendizagem dos Sujeitos ,2,319,320,2,1,1/3,1415,5.7.4 Aplicando a visualidade ao processo de ensino e aprendizagem dos Sujeitos ,0,"ensino, aprendizagem e visualidade"
42,042_5-7-4-aplicando-a-visualidade-ao-processo-de.txt,5.7.4 Aplicando a visualidade ao processo de ensino e aprendizagem dos Sujeitos ,2,321,322,2,1,2/3,1346,5.7.4 Aplicando a visualidade ao processo de ensino e aprendizagem dos Sujeitos ,0,"ensino, aprendizagem e visualidade"
43,043_5-7-4-aplicando-a-visualidade-ao-processo-de.txt,5.7.4 Aplicando a visualidade ao processo de ensino e aprendizagem dos Sujeitos ,2,323,324,2,1,3/3,1541,5.7.4 Aplicando a visualidade ao processo de ensino e aprendizagem dos Sujeitos ,0,"ensino, aprendizagem e visualidade"
44,044_5-7-5-visualidade-na-para-da-educacao-de-sur.txt,5.7.5. Visualidade na/para/da educação de Surdos,2,325,326,2,1,1/2,1474,5.7.5. Visualidade na/para/da educação de Surdos,0,"Título menciona visualidade e educação, assuntos fora do escopo."
45,045_5-7-5-visualidade-na-para-da-educacao-de-sur.txt,5.7.5. Visualidade na/para/da educação de Surdos,2,327,327,1,1,2/2,643,5.7.5. Visualidade na/para/da educação de Surdos,0,"Título menciona visualidade e educação, assuntos fora do escopo."
46,046_5-7-5-1-sugestoes-e-parametros-para-a-implem.txt,5.7.5.1. Sugestões e parâmetros para a implementação de pro-,-1,328,329,2,1,1/5,1303,5.7.5.1. Sugestões e parâmetros para a implementação de pro-,0,"Título sobre implementação e parâmetros, não estrutura linguística."
47,047_5-7-5-1-sugestoes-e-parametros-para-a-implem.txt,5.7.5.1. Sugestões e parâmetros para a implementação de pro-,-1,330,331,2,1,2/5,1319,5.7.5.1. Sugestões e parâmetros para a implementação de pro-,0,"Título sobre implementação e parâmetros, não estrutura linguística."
48,048_5-7-5-1-sugestoes-e-parametros-para-a-implem.txt,5.7.5.1. Sugestões e parâmetros para a implementação de pro-,-1,332,333,2,1,3/5,1534,5.7.5.1. Sugestões e parâmetros para a implementação de pro-,0,"Título sobre implementação e parâmetros, não estrutura linguística."
49,049_5-7-5-1-sugestoes-e-parametros-para-a-implem.txt,5.7.5.1. Sugestões e parâmetros para a implementação de pro-,-1,334,335,2,1,4/5,1322,5.7.5.1. Sugestões e parâmetros para a implementação de pro-,0,"Título sobre implementação e parâmetros, não estrutura linguística."
50,050_5-7-5-1-sugestoes-e-parametros-para-a-implem.txt,5.7.5.1. Sugestões e parâmetros para a implementação de pro-,-1,336,336,1,1,5/5,778,5.7.5.1. Sugestões e parâmetros para a implementação de pro-,0,"Título sobre implementação e parâmetros, não estrutura linguística."
51,051_5-8-expressoes-idiomaticas-em-lingua-de-sina.txt,5.8 Expressões idiomáticas em Língua de Sinais brasileira,2,337,338,2,1,1/2,1426,5.8 Expressões idiomáticas em Língua de Sinais brasileira,1,
52,052_5-8-expressoes-idiomaticas-em-lingua-de-sina.txt,5.8 Expressões idiomáticas em Língua de Sinais brasileira,2,339,340,2,1,2/2,1167,5.8 Expressões idiomáticas em Língua de Sinais brasileira,1,
53,053_5-8-2-expressoes-idiomaticas-em-lingua-de-si.txt,5.8.2 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista lexi,2,341,345,5,2,,1832,5.8.2 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista lexi | 5.8.3 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista morf,1,
54,054_5-8-4-expressoes-idiomaticas-em-lingua-de-si.txt,5.8.4 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista idio,2,346,348,3,1,,1247,5.8.4 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista idio,1,
55,055_5-8-5-expressoes-idiomaticas-em-lingua-de-si.txt,5.8.5 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista semâ,2,349,353,5,1,1/3,1993,5.8.5 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista semâ,1,
56,056_5-8-5-expressoes-idiomaticas-em-lingua-de-si.txt,5.8.5 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista semâ,2,354,359,6,1,2/3,1873,5.8.5 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista semâ,1,
57,057_5-8-5-expressoes-idiomaticas-em-lingua-de-si.txt,5.8.5 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista semâ,2,360,361,2,1,3/3,536,5.8.5 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista semâ,1,
58,058_5-8-6-expressoes-idiomaticas-e-falsos-cognat.txt,5.8.6 Expressões Idiomáticas e Falsos Cognatos,2,362,362,1,1,,302,5.8.6 Expressões Idiomáticas e Falsos Cognatos,1,
59,059_5-8-7-expressoes-idiomaticas-em-lingua-de-si.txt,5.8.7 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista meta,2,363,365,3,1,1/2,1445,5.8.7 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista meta,1,
60,060_5-8-7-expressoes-idiomaticas-em-lingua-de-si.txt,5.8.7 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista meta,2,366,367,2,1,2/2,929,5.8.7 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista meta,1,
61,061_5-8-7-3-metaforas-ontologicas.txt,5.8.7.3 Metáforas ontológicas,-1,368,371,4,2,,1427,5.8.7.3 Metáforas ontológicas | 5.8.8 Expressões Idiomáticas e Variação Linguística,1,
62,062_5-8-9-expressoes-idiomaticas-em-lingua-de-si.txt,5.8.9 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista sint,2,372,375,4,1,,1628,5.8.9 Expressões Idiomáticas em Língua de Sinais brasileira: ponto de vista sint,1,
63,063_5-8-10-em-sintese.txt,5.8.10 Em síntese,2,376,377,2,1,,998,5.8.10 Em síntese,1,
