id,text,gloss
63,the sitting was opened at 10.05 a.m.,SIT BE DESC-OPEN AT 10.05 DESC-A.M.
64,classification of wood vote,CLASSIFICATION WOOD VOTE
65,infrastructure for spatial information in the european community inspire vote,INFRASTRUCTURE FOR SPATIAL INFORMATION IN EUROPEAN COMMUNITY INSPIRE VOTE
66,waste recycling vote,WASTE RECYCLE VOTE
67,women in turkey vote,WOMAN IN TURKEY VOTE
68,the sitting was suspended at 1.10 p.m. and resumed at 3 p.m.,SIT BE SUSPEND AT 1.10 DESC-P.M. AND RESUME AT 3 DESC-P.M.
69,the minutes of the previous sitting were approved .,MINUTE DESC-PREVIOUS SIT BE APPROVE .
70,the sitting was suspended at 7.05 p.m. and resumed at 9.00 p.m.,SIT BE SUSPEND AT 7.05 DESC-P.M. AND RESUME AT 9.00 DESC-P.M.
71,climate change motions for resolutions tabled see minutes,CLIMATE CHANGE MOTION FOR RESOLUTION TABLE SEE MINUTE
72,"pnr , swift motions for resolutions tabled see minutes","PNR , SWIFT MOTION FOR RESOLUTION TABLE SEE MINUTE"
73,the sitting was closed at midnight,SIT BE DESC-CLOSE AT MIDNIGHT
74,the sitting was opened at 9 a.m.,SIT BE DESC-OPEN AT 9 DESC-A.M.
75,macro financial aid for moldova vote,MACRO DESC-FINANCIAL AID FOR MOLDOVA VOTE
76,conservation of stocks of highly migratory species vote,CONSERVATION STOCK DESC-HIGHLY DESC-MIGRATORY SPECIES VOTE
77,drift nets vote,DRIFT NET VOTE
78,the court of auditorsspecial report no 6 / 2005 on the trans european network for transport vote,COURT AUDITORSSPECIAL REPORT NO 6 2005 ON TRAN EUROPEAN NETWORK FOR TRANSPORT VOTE
79,radio spectrum vote,RADIO SPECTRUM VOTE
80,voting time continued,VOTE TIME CONTINUE
81,the next item is voting time .,NEXT ITEM BE VOTE TIME .
82,the sitting was suspended at 2 p.m. and resumed at 3 p.m.,SIT BE SUSPEND AT 2 DESC-P.M. AND RESUME AT 3 DESC-P.M.
83,agenda for next part session see minutes,AGENDA FOR NEXT PART SESSION SEE MINUTE
84,the sitting closed at 23.15,SIT DESC-CLOSE AT 23.15
85,the sitting was opened at 10 a.m.,SIT BE DESC-OPEN AT 10 DESC-A.M.
86,shareholdersvoting rights vote,SHAREHOLDERSVOTE RIGHTS VOTE
87,budget aid for developing countries vote,BUDGET AID FOR DEVELOP COUNTRY VOTE
88,illegal fishing vote,DESC-ILLEGAL FISHING VOTE
89,"country strategy papers malaysia , brazil and pakistan vote","COUNTRY STRATEGY PAPERS MALAYSIUM , BRAZIL AND PAKISTAN VOTE"
90,ec russia short stay visa agreement vote,EC RUSSIUM DESC-SHORT STAY VISA AGREEMENT VOTE
91,ec russia readmission agreement vote,EC RUSSIUM READMISSION AGREEMENT VOTE
92,common organisation of the market in wine vote,DESC-COMMON ORGANIZATION MARKET IN WINE VOTE
93,economic policy guidelines for 2007 vote,DESC-ECONOMIC POLICY GUIDELINE FOR 2007 VOTE
94,eib annual report 2005 vote,EIB DESC-ANNUAL REPORT 2005 VOTE
95,the sitting was suspended at 1.05 p.m. and resumed at 3 p.m.,SIT BE SUSPEND AT 1.05 DESC-P.M. AND RESUME AT 3 DESC-P.M.
96,"debate on cases of breaches of human rights , democracy and the rule of law debate","DEBATE ON CASE BREACH DESC-HUMAN RIGHTS , DEMOCRACY AND RULE LAW DEBATE"
97,dialogue between the chinese government and envoys of the dalai lama vote,DIALOGUE BETWEEN CHINESE GOVERNMENT AND ENVOY DALAUS LAMA VOTE
98,adjournment of session,ADJOURNMENT SESSION
99,i declare the session of the european parliament suspended .,X-I DECLARE SESSION EUROPEAN PARLIAMENT SUSPEND .
100,the sitting was closed at 4.25 p.m.,SIT BE DESC-CLOSE AT 4.25 DESC-P.M.
101,transfers of appropriations see minutes,TRANSFER APPROPRIATION SEE MINUTE
102,membership of political groups see minutes,MEMBERSHIP DESC-POLITICAL GROUP SEE MINUTE
103,signature of acts adopted under codecision see minutes,SIGNATURE ACT ADOPT UNDER CODECISION SEE MINUTE
104,number and numerical strength of interparliamentary delegations deadline for tabling amendments see minutes,NUMBER AND DESC-NUMERICAL STRENGTH DESC-INTERPARLIAMENTARY DELEGATION DEADLINE FOR TABLE AMENDMENT SEE MINUTE
105,the sitting was closed at 11.10 p.m.,SIT BE DESC-CLOSE AT 11.10 DESC-P.M.
106,closing of the session,CLOSING SESSION
107,i declare the 2006 2007 session of the european parliament adjourned .,X-I DECLARE 2006 2007 SESSION EUROPEAN PARLIAMENT ADJOURN .
108,opening of the session,OPEN SESSION
109,i declare the 2007 2008 session of the european parliament open .,X-I DECLARE 2007 2008 SESSION EUROPEAN PARLIAMENT DESC-OPEN .
110,"financing of interventions by the eaggf , guarantee section vote","FINANCING INTERVENTION BY EAGGF , GUARANTEE SECTION VOTE"
111,drinking milk produced in estonia vote,DRINKING MILK PRODUCE IN ESTONIUM VOTE
112,repeal of regulation ec no 2040 / 2000 on budgetary discipline vote,REPEAL REGULATION EC NO 2040 2000 ON DESC-BUDGETARY DISCIPLINE VOTE
113,prudential assessment of acquisitions and increase of shareholdings vote,PRUDENTIAL ASSESSMENT ACQUISITION AND INCREASE SHAREHOLDING VOTE
114,corporate social responsibility vote,DESC-CORPORATE DESC-SOCIAL RESPONSIBILITY VOTE
115,cross border collective copyright management vote,CROSS BORDER DESC-COLLECTIVE COPYRIGHT MANAGEMENT VOTE
116,the sitting was suspended at 11.20 p.m.,SIT BE SUSPEND AT 11.20 DESC-P.M.
117,2 . number and numerical strength of the interparliamentary delegations vote,NUMBER AND DESC-NUMERICAL STRENGTH DESC-INTERPARLIAMENTARY DELEGATION VOTE
118,marketing of the meat of bovine animals aged 12 months or less vote,MARKETING MEAT DESC-BOVINE ANIMAL AGE 12 MONTH OR DESC-LESS VOTE
119,ratification of the ilo's 2006 consolidated maritime labour convention vote,RATIFICATION ILO X-POSS 2006 DESC-CONSOLIDATED MARITIME LABOR CONVENTION VOTE
120,social services of general interest vote,DESC-SOCIAL SERVICE DESC-GENERAL INTEREST VOTE
121,ec us air transport agreement vote,EC X-WE AIR TRANSPORT AGREEMENT VOTE
122,the sitting was suspended at 1.10 p.m. and resumed at 3.00 p.m.,SIT BE SUSPEND AT 1.10 DESC-P.M. AND RESUME AT 3.00 DESC-P.M.
123,appointments to interparliamentary delegations proposal by the conference of presidents see minutes,APPOINTMENT TO DESC-INTERPARLIAMENTARY DELEGATION PROPOSAL BY CONFERENCE PRESIDENT SEE MINUTE
124,hepatitis c written statement see minutes,HEPATITIS C WRITE STATEMENT SEE MINUTE
125,the sitting was closed at 11.40 p.m.,SIT BE DESC-CLOSE AT 11.40 DESC-P.M.
126,nominations to interparliamentary delegations vote,NOMINATION TO DESC-INTERPARLIAMENTARY DELEGATION VOTE
127,community action on the provision of cross border health care vote,COMMUNITY ACTION ON PROVISION CROSS BORDER HEALTH CARE VOTE
128,bosnia herzegovina vote,BOSNIUM HERZEGOVINA VOTE
129,negotiation of an eu central america association agreement vote,NEGOTIATION EU DESC-CENTRAL AMERICA ASSOCIATION AGREEMENT VOTE
130,regional policy islands and natural and economic constraints vote,DESC-REGIONAL POLICY ISLAND AND DESC-NATURAL AND DESC-ECONOMIC CONSTRAINT VOTE
131,local authorities and development cooperation vote,DESC-LOCAL AUTHORITY AND DEVELOPMENT COOPERATION VOTE
132,the sitting was suspended at 12.55 p.m. and resumed at 3 p.m.,SIT BE SUSPEND AT 12.55 DESC-P.M. AND RESUME AT 3 DESC-P.M.
133,"debates on cases of breaches of human rights , democracy and the rule of law debate","DEBATE ON CASE BREACH DESC-HUMAN RIGHTS , DEMOCRACY AND RULE LAW DEBATE"
134,cambodia vote,CAMBODIUM VOTE
135,nigeria vote,NIGERIUM VOTE
136,the sitting was closed at 12.05 a.m.,SIT BE DESC-CLOSE AT 12.05 DESC-A.M.
137,the sitting was opened at 9.10 a.m.,SIT BE DESC-OPEN AT 9.10 DESC-A.M.
138,community participation in the capital increase of the european investment fund vote,COMMUNITY PARTICIPATION IN CAPITAL INCREASE EUROPEAN INVESTMENT FUND VOTE
139,request for defence of the immunity of giuseppe gargani vote,REQUEST FOR DEFENSE IMMUNITY GIUSEPPE GARGANUS VOTE
140,compliance with the obligations of flag states vote,COMPLIANCE WITH OBLIGATION FLAG STATE VOTE
141,civil liability and financial guarantees of shipowners vote,DESC-CIVIL LIABILITY AND DESC-FINANCIAL GUARANTEE SHIPOWNER VOTE
142,security at football matches vote,SECURITY AT FOOTBALL MATCH VOTE
143,the future of kosovo and the role of the eu vote,FUTURE KOSOVO AND ROLE EU VOTE
144,the future of the european union's own resources vote,FUTURE EUROPEAN UNION X-POSS DESC-OWN RESOURCE VOTE
145,future of professional football in europe vote,FUTURE DESC-PROFESSIONAL FOOTBALL IN EUROPE VOTE
146,the integration of new member states in the cap vote,INTEGRATION DESC-NEW MEMBER STATE IN CAP VOTE
147,membership of interparliamentary delegations see minutes,MEMBERSHIP DESC-INTERPARLIAMENTARY DELEGATION SEE MINUTE
148,declaration of financial interests see minutes,DECLARATION DESC-FINANCIAL INTEREST SEE MINUTE
149,the sitting was closed at 00.05 a.m.,SIT BE DESC-CLOSE AT 00.05 DESC-A.M.
150,ec malaysia agreement on certain aspects of air services vote,EC MALAYSIUM AGREEMENT ON DESC-CERTAIN ASPECT AIR SERVICE VOTE
151,report costa,REPORT COSTA
152,tariff quotas for imports into bulgaria and romania of raw cane sugar vote,TARIFF QUOTA FOR IMPORT INTO BULGARIUM AND ROMANIUM DESC-RAW CANE SUGAR VOTE
153,report graefe zu baringdorf,REPORT GRAEFE ZU BARINGDORF
154,4 . waiver of the immunity of vural öger vote,WAIVER IMMUNITY VURAL à?GER VOTE
155,report speroni,REPORT SPERONUS
156,"discharge 2005 section iv , court of justice vote","DISCHARGE 2005 SECTION IV , COURT JUSTICE VOTE"
157,report caspary,REPORT CASPARY
158,"discharge 2005 section v , court of auditors vote","DISCHARGE 2005 SECTION V , COURT AUDITOR VOTE"
159,"discharge 2005 section vi , european economic and social committee vote","DISCHARGE 2005 SECTION VI , EUROPEAN DESC-ECONOMIC AND DESC-SOCIAL COMMITTEE VOTE"
160,"discharge 2005 section viiia , european ombudsman vote","DISCHARGE 2005 SECTION VIIUM , EUROPEAN OMBUDSMAN VOTE"
161,"discharge 2005 section viii b , european data protection supervisor vote","DISCHARGE 2005 SECTION VIIUS B , EUROPEAN DATUM PROTECTION SUPERVISOR VOTE"
162,"discharge 2005 6th , 7th , 8th and 9th edfs vote","DISCHARGE 2005 DESC-6TH , 7TH , DESC-8TH AND DESC-9TH EDF VOTE"
163,report camre,REPORT CAMRE
164,discharge 2005 european centre for the development of vocational training vote,DISCHARGE 2005 EUROPEAN CENTER FOR DEVELOPMENT DESC-VOCATIONAL TRAINING VOTE
165,report herczog,REPORT HERCZOG
166,discharge 2005 european foundation for the improvement of living and working conditions vote,DISCHARGE 2005 EUROPEAN FOUNDATION FOR IMPROVEMENT DESC-LIVE AND WORK CONDITION VOTE
167,discharge 2005 european monitoring centre on racism and xenophobia vote,DISCHARGE 2005 EUROPEAN MONITORING CENTER ON RACISM AND XENOPHOBIA VOTE
168,discharge 2005 european monitoring centre for drugs and drug addiction vote,DISCHARGE 2005 EUROPEAN MONITORING CENTER FOR DRUG AND DRUG ADDICTION VOTE
169,discharge 2005 european environment agency vote,DISCHARGE 2005 EUROPEAN ENVIRONMENT AGENCY VOTE
170,discharge 2005 european agency for safety and health at work vote,DISCHARGE 2005 EUROPEAN AGENCY FOR SAFETY AND HEALTH AT WORK VOTE
171,discharge 2005 translation centre for the bodies of the european union vote,DISCHARGE 2005 TRANSLATION CENTER FOR BODY EUROPEAN UNION VOTE
172,discharge 2005 european agency for the evaluation of medicinal products vote,DISCHARGE 2005 EUROPEAN AGENCY FOR EVALUATION MEDICINAL PRODUCT VOTE
173,discharge 2005 eurojust vote,DISCHARGE 2005 EUROJUST VOTE
174,discharge 2005 european training foundation vote,DISCHARGE 2005 EUROPEAN TRAINING FOUNDATION VOTE
175,discharge 2005 european maritime safety agency vote,DISCHARGE 2005 EUROPEAN MARITIME SAFETY AGENCY VOTE
176,discharge 2005 european aviation safety agency vote,DISCHARGE 2005 EUROPEAN AVIATION SAFETY AGENCY VOTE
177,discharge 2005 european food safety authority vote,DISCHARGE 2005 EUROPEAN FOOD SAFETY AUTHORITY VOTE
178,discharge 2005 european centre for disease prevention and control vote,DISCHARGE 2005 EUROPEAN CENTER FOR DISEASE PREVENTION AND CONTROL VOTE
179,discharge 2005 european network and information security agency vote,DISCHARGE 2005 EUROPEAN NETWORK AND INFORMATION SECURITY AGENCY VOTE
180,"discharge 2005 section vii , committee of the regions vote","DISCHARGE 2005 SECTION VII , COMMITTEE REGION VOTE"
181,discharge 2005 european agency for reconstruction vote,DISCHARGE 2005 EUROPEAN AGENCY FOR RECONSTRUCTION VOTE
182,combating hiv / aids within the eu and in the neighbouring countries 2006 2009 vote,COMBATE HIV AID WITHIN EU AND IN NEIGHBOURING COUNTRY 2006 2009 VOTE
183,report andrejevs,REPORT ANDREJEV
184,the sitting was suspended at 1.20 p.m. and resumed at 3.05 p.m.,SIT BE SUSPEND AT 1.20 DESC-P.M. AND RESUME AT 3.05 DESC-P.M.
185,moving the inadmissibility of a matter homophobia in europe see minutes,MOVE INADMISSIBILITY MATTER HOMOPHOBIA IN EUROPE SEE MINUTE
186,the sitting was suspended at 7.35 p.m. and resumed at 9.00 p.m.,SIT BE SUSPEND AT 7.35 DESC-P.M. AND RESUME AT 9.00 DESC-P.M.
187,the sitting was closed at 11.45 p.m.,SIT BE DESC-CLOSE AT 11.45 DESC-P.M.
188,transmission of national accounts data vote,TRANSMISSION DESC-NATIONAL ACCOUNT DATUM VOTE
189,garcía margallo y marfil report,GARCa MARGALLO Y MARFIL REPORT
190,some members continued to protest and to request the floor,SOME MEMBER CONTINUE TO PROTEST AND TO REQUEST FLOOR
191,multilateral agreement on the establishment of a european common aviation area vote,DESC-MULTILATERAL AGREEMENT ON ESTABLISHMENT EUROPEAN DESC-COMMON AVIATION AREA VOTE
192,lichtenberger report,LICHTENBERGER REPORT
193,"after the vote , the commotion grew louder","AFTER VOTE , COMMOTION GROW LOUDER"
194,framework agreement on a multilateral nuclear environmental programme in the russian federation vote,FRAMEWORK AGREEMENT ON DESC-MULTILATERAL DESC-NUCLEAR DESC-ENVIRONMENTAL PROGRAM IN RUSSIAN FEDERATION VOTE
195,remek report,REMEK REPORT
196,assessment and management of flood risks vote,ASSESSMENT AND MANAGEMENT FLOOD RISK VOTE
197,seeber recommendation,SEEBER RECOMMENDATION
198,port state control vote,PORT STATE CONTROL VOTE
199,vlasto report,VLASTO REPORT
200,ship inspection and survey organisations vote,SHIP INSPECTION AND SURVEY ORGANIZATION VOTE
201,de grandes pascual report,DE GRANDE PASCUAL REPORT
202,temporary committee on climate change vote,DESC-TEMPORARY COMMITTEE ON CLIMATE CHANGE VOTE
203,proposal for a decision,PROPOSAL FOR DECISION
204,damages actions for breach of competition rules vote,DAMAGES ACTION FOR BREACH COMPETITION RULE VOTE
205,sánchez presedo report,Sà`NCHEZ PRESEDO REPORT
206,motion for a resolution,MOTION FOR RESOLUTION
207,thematic strategy on the sustainable use of natural resources vote,DESC-MATIC STRATEGY ON DESC-SUSTAINABLE USE DESC-NATURAL RESOURCE VOTE
208,liotard report,LIOTARD REPORT
209,corrections to votes from previous sittings see minutes,CORRECTION TO VOTE FROM DESC-PREVIOUS SIT SEE MINUTE
210,the sitting was closed at 11.25 p.m.,SIT BE DESC-CLOSE AT 11.25 DESC-P.M.
211,the sitting was suspended at 11.20 a.m. and resumed at 12.00 noon,SIT BE SUSPEND AT 11.20 DESC-A.M. AND RESUME AT 12.00 NOON
212,directives concerning the protection of health and safety of workers simplifying and rationalising practical implementation reports vote,DIRECTIVE CONCERN PROTECTION HEALTH AND SAFETY WORKER SIMPLIFY AND RATIONALISE DESC-PRACTICAL IMPLEMENTATION REPORT VOTE
213,figueiredo report,FIGUEIREDO REPORT
214,compensation for certain fishery products vote,COMPENSATION FOR DESC-CERTAIN FISHERY PRODUCT VOTE
215,freitas report,FREITA REPORT
216,common fisheries policy regional advisory councils vote,DESC-COMMON FISHERY POLICY DESC-REGIONAL DESC-ADVISORY COUNCIL VOTE
217,attwooll report,ATTWOOLL REPORT
218,situation of disabled women in the european union vote,SITUATION DESC-DISABLED WOMAN IN EUROPEAN UNION VOTE
219,herranz garcía report,HERRANZ GARCa REPORT
220,basic information on purchasing power parities vote,DESC-BASIC INFORMATION ON PURCHASE POWER PARITY VOTE
221,bowles report,BOWLE REPORT
222,rapid border intervention teams vote,DESC-RAPID BORDER INTERVENTION TEAM VOTE
223,deprez report,DEPREZ REPORT
224,conservation and sustainable exploitation of fisheries resources vote,CONSERVATION AND DESC-SUSTAINABLE EXPLOITATION FISHERY RESOURCE VOTE
225,gklavakis report,GKLAVAKUS REPORT
226,galileo vote,GALILEO VOTE
227,public finances in the emu 2006 vote,PUBLIC FINANCES IN EMU 2006 VOTE
228,lauk report,LAUK REPORT
229,that concludes voting time .,THAT CONCLUDE VOTING TIME .
230,the sitting was suspended at 12.50 p.m. and resumed at 3.00 p.m.,SIT BE SUSPEND AT 12.50 DESC-P.M. AND RESUME AT 3.00 DESC-P.M.
231,"debates on cases of breaches of human rights , democracy and the rule of law","DEBATE ON CASE BREACH DESC-HUMAN RIGHTS , DEMOCRACY AND RULE LAW"
232,recent repression of demonstrations in russia vote,DESC-RECENT REPRESSION DEMONSTRATION IN RUSSIUM VOTE
233,joint motion for a resolution rc b6 0172 / 2007,DESC-JOINT MOTION FOR RESOLUTION RC B6 0172 2007
234,kidnapping in gaza of the journalist alan johnston vote,KIDNAPPING IN GAZA JOURNALIST ALAN JOHNSTON VOTE
235,joint motion for a resolution rc b6 0159 / 2007,DESC-JOINT MOTION FOR RESOLUTION RC B6 0159 2007
236,human rights situation in the philippines vote,DESC-HUMAN RIGHTS SITUATION IN PHILIPPINE VOTE
237,joint motion for a resolution rc b6 0160 / 2007,DESC-JOINT MOTION FOR RESOLUTION RC B6 0160 2007
238,zimbabwe vote,ZIMBABWE VOTE
239,joint motion for a resolution rc b6 0162 / 2007,DESC-JOINT MOTION FOR RESOLUTION RC B6 0162 2007
240,for the results and other details on the vote see minutes,FOR RESULT AND DESC-OR DETAIL ON VOTE SEE MINUTE
241,i declare adjourned the session of the european parliament .,X-I DECLARE ADJOURN SESSION EUROPEAN PARLIAMENT .
242,the sitting closed at 5 p.m.,SIT DESC-CLOSE AT 5 DESC-P.M.
243,membership of the temporary committee on climate change deadline for tabling amendments see minutes,MEMBERSHIP DESC-TEMPORARY COMMITTEE ON CLIMATE CHANGE DEADLINE FOR TABLE AMENDMENT SEE MINUTE
244,written statements tabling see minutes,WRITE STATEMENT TABLE SEE MINUTE
245,the sitting was opened at 9.05 a.m.,SIT BE DESC-OPEN AT 9.05 DESC-A.M.
246,simplification of community legislation amendments of the rules of procedure vote,SIMPLIFICATION COMMUNITY LEGISLATION AMENDMENT RULE PROCEDURE VOTE
247,report reynaud,REPORT REYNAUD
248,nominal quantities for pre packed products vote,DESC-NOMINAL QUANTITY FOR PRE PACK PRODUCT VOTE
249,recommendation toubon,RECOMMENDATION TOUBON
250,approval of motor vehicles and their trailers vote,APPROVAL MOTOR VEHICLE AND X-Y TRAILER VOTE
251,recommendation harbour,RECOMMENDATION HARBOR
252,retrofitting of mirrors to heavy goods vehicles vote,RETROFITTING MIRROR TO HEAVY GOODS VEHICLE VOTE
253,composition of the temporary committee on climate change vote,COMPOSITION DESC-TEMPORARY COMMITTEE ON CLIMATE CHANGE VOTE
254,proposals of the conference of presidents,PROPOSAL CONFERENCE PRESIDENT
255,eu partnership in the horn of africa vote,EU PARTNERSHIP IN HORN AFRICA VOTE
256,report kaczmarek,REPORT KACZMAREK
257,assessing euratom vote,ASSESS EURATOM VOTE
258,report maldeikis,REPORT MALDEIKUS
259,environmental protection from radiation following the crash of a military aircraft in greenland vote,DESC-ENVIRONMENTAL PROTECTION FROM RADIATION FOLLOW CRASH DESC-MILITARY AIRCRAFT IN GREENLAND VOTE
260,report wallis,REPORT WALLUS
261,housing and regional policy vote,HOUSING AND DESC-REGIONAL POLICY VOTE
262,report andria,REPORT ANDRIUM
263,future regional policy and innovation vote,FUTURE DESC-REGIONAL POLICY AND INNOVATION VOTE
264,report janowski,REPORT JANOWSKUS
265,establishing a green hydrogen economy and a third industrial revolution in europe written statement see minutes,ESTABLISH DESC-GREEN HYDROGEN ECONOMY AND DESC-THIRD DESC-INDUSTRIAL REVOLUTION IN EUROPE WRITE STATEMENT SEE MINUTE
266,the sitting was closed at 10.10 p.m.,SIT BE DESC-CLOSE AT 10.10 DESC-P.M.
267,calendar of part sessions see minutes,CALENDAR PART SESSION SEE MINUTE
268,ec russia fisheries and conservation agreement vote,EC RUSSIUM FISHERY AND CONSERVATION AGREEMENT VOTE
269,report morillon,REPORT MORILLON
