Texto,Glosa,Correto?,Regras,Sugestao,Glosa Review
How long have you had chest pain?,"CHEST PAIN, HOW-LONG TIME?",Não,PRON.2.5,CHEST PAIN HOW-LONG?,"CHEST PAIN, HOW LONG TIME?"
How long have you been feeling dizzy?,"DIZZY, HOW LONG FEEL?",,,,"DIZZY, HOW LONG FEEL?"
When did the accident happen?,ACCIDENT HAPPEN WHEN?,Não,PRON.2.5,WHEN ACCIDENT HAPPEN?,ACCIDENT HAPPEN WHEN?
Where do you feel pain from the accident?,"ACCIDENT, PAIN WHERE FEEL?",Não,PRON.2.5,WHERE FEEL PAIN ACCIDENT?,"ACCIDENT, PAIN WHERE FEEL?"
You are ready for hospital admission now.,NOW READY HOSPITAL ADMISSION.,Não,VERB.3.7,PRO.2 READY HOSPITAL ADMISSION NOW,NOW READY HOSPITAL ADMISSION.
When did you vomit?,VOMIT WHEN?,Sim,PRON.2.5,,VOMIT WHEN?
Do you have any medication allergies?,ALLERGIC ANY MEDICINE?,,,,HAVE ALLERGIC ANY MEDICINE?
What medicine are you taking?,TAKE WHAT MEDICINE?,,,,USE MEDICINE WHAT?
The doctor will explain your situation.,DOCTOR WILL EXPLAIN SITUATION.,Não,PRON.2.3; VERB.3.7,DOCTOR WILL EXPLAIN YOUR SITUATION,DOCTOR WILL EXPLAIN SITUATION.
Do you still have a cough and fever?,STILL HAVE COUGH FEVER?,Não,VERB.3.7,PRO.2 STILL HAVE COUGH FEVER?,STILL HAVE COUGH FEVER?
"You need oxygen right away, okay?",NEED OXYGEN NOW OKAY.,Não,VERB.3.7,PRO.2 NEED OXYGEN NOW OKAY,NEED OXYGEN NOW OKAY.
How is your asthma feeling?,YOUR ASTHMA FEEL HOW?,Não,PRON.2.5; VERB.3.7,FEEL YOUR ASTHMA HOW?,YOUR ASTHMA FEEL HOW?
Are you coughing up blood?,COUGH BLOOD?,Não,VERB.3.7,PRO.2 COUGH BLOOD?,COUGH BLOOD?
You have a lung infection.,HAVE LUNG INFECTION.,Não,PRON.2.1; VERB.3.7,PRO.2 HAVE LUNG INFECTION,HAVE LUNG INFECTION.
The doctor needs to examine your pneumonia.,DOCTOR NEED EXAMINE YOUR PNEUMONIA.,Sim,PRON.2.3; VERB.3.7,,DOCTOR NEED EXAMINE PNEUMONIA.
Do you have high blood pressure?,HAVE HIGH BLOOD PRESSURE?,Não,VERB.3.7; PRON.2.1,PRO.2 HAVE HIGH BLOOD PRESSURE?,HAVE HIGH BLOOD PRESSURE?
Do you feel severe chest pain?,FEEL CHEST PAIN STRONG?,Não,VERB.3.7,PRO.2 FEEL CHEST PAIN STRONG?,FEEL CHEST PAIN STRONG?
What happened when you lost consciousness?,LOSE CONSCIOUSNESS WHAT HAPPEN?,Não,PRON.2.5; VERB.3.7,WHEN YOU LOSE CONSCIOUSNESS WHAT HAPPEN?,LOSE CONSCIOUSNESS WHAT HAPPEN?
Do you feel numbness in your left arm?,YOUR LEFT ARM NUMB?,Não,VERB.3.7,YOU YOUR LEFT ARM NUMB?,FEEL LEFT ARM NUMBNESS?
Do you feel numbness in your right arm?,YOUR RIGHT ARM NUMB?,Sim,PRON.2.3,,FEEL RIGHT ARM NUMBNESS?
Have you had any bleeding during your pregnancy?,"PREGNANCY, HAVE ANY BLEEDING?",Não,PRON.2.3,"PREGNANCY, HAVE ANY YOUR BLEEDING?","PREGNANCY, HAVE ANY BLEEDING?"
The doctor needs to check your gestational diabetes.,DOCTOR NEED CHECK YOUR GESTATIONAL DIABETES.,,,,DOCTOR NEED CHECK GESTATIONAL DIABETES.
Are you having stomach pain during your pregnancy?,"PREGNANCY, HAVE STOMACH PAIN?",Não,VERB.3.7,"PREGNANCY, YOU HAVE STOMACH PAIN?","PREGNANCY, HAVE STOMACH PAIN?"
You need a gynecological exam now.,NOW NEED GYNECOLOGICAL EXAM.,Não,VERB.3.7,PRO.2 NEED GYNECOLOGICAL EXAM NOW,NOW NEED GYNECOLOGICAL EXAM.
Are you having trouble breastfeeding?,"BREASTFEEDING, HAVE PROBLEM?",Não,VERB.3.7; PRON.2.1,PRO.2 HAVE PROBLEM BREASTFEEDING?,"BREASTFEEDING, HAVE PROBLEM?"
You need to schedule a medical appointment.,NEED SCHEDULE MEDICAL APPOINTMENT.,Não,VERB.3.7,PRO.2 NEED SCHEDULE MEDICAL APPOINTMENT,NEED SCHEDULE MEDICAL APPOINTMENT.
You need to go to the pregnancy emergency room now.,NOW NEED GO PREGNANCY EMERGENCY ROOM.,Sim,VERB.3.8,,NOW NEED GO PREGNANCY EMERGENCY ROOM.
"Hello, I need help.","HELLO, NEED HELP",Não,VERB.3.7,"HELLO, PRO.1 NEED HELP","HELLO, NEED HELP"
Can you help me now?,CAN HELP NOW?,Não,VERB.3.7,CAN PRO.2 HELP PRO.1 NOW?,CAN HELP NOW?
I feel dizzy today.,TODAY FEEL DIZZY,Não,VERB.3.7,PRO.1 FEEL DIZZY TODAY,TODAY FEEL DIZZY
I have back pain.,BACK PAIN,Não,PRON.2.1; VERB.3.7,PRO.1 HAVE BACK PAIN,BACK PAIN
I have pain in my left arm.,LEFT ARM PAIN,Não,PRON.2.3,MY LEFT ARM PAIN,LEFT ARM PAIN
I have pain in my right arm.,RIGHT ARM PAIN,Não,PRON.2.3,MY RIGHT ARM PAIN,RIGHT ARM PAIN
My head hurts.,HEAD HURT,Não,VERB.3.7,I HEAD HURT,HEAD HURT
I feel pain in my stomach.,STOMACH PAIN FEEL,Não,VERB.3.7; PRON.2.3,PRO.1 FEEL PAIN MY STOMACH,STOMACH PAIN FEEL
I have shortness of breath.,SHORT BREATH,,,,SHORT BREATH
I have breathing hard.,BREATHING HARD,Não,VERB.3.7,PRO.1 BREATHING HARD,BREATHING HARD
Do you feel better now.,NOW FEEL BETTER?,Não,VERB.3.7,PRO.2 NOW FEEL BETTER?,NOW FEEL BETTER?
I have fever and cough.,FEVER COUGH,Não,VERB.3.7; PRON.2.1,PRO.1 HAVE FEVER AND COUGH,FEVER COUGH
I feel very weak today.,TODAY VERY WEAK,Não,VERB.3.7,PRO.1 FEEL VERY WEAK TODAY,TODAY FEEL VERY WEAK
Please call the nurse.,PLEASE NURSE CALL,Não,VERB.3.6,PLEASE PRO.2 CALL NURSE,PLEASE NURSE CALL
Please call the doctor.,PLEASE DOCTOR CALL,Não,VERB.3.7,PLEASE CALL DOCTOR,PLEASE DOCTOR CALL
I need medicine now.,NOW MEDICINE NEED,Não,VERB.3.7,NOW PRO.1 MEDICINE NEED,NOW MEDICINE NEED
Can you explain the blood test?,BLOOD TEST EXPLAIN?,Não,VERB.3.7; PRON.2.1,PRO.2 BLOOD TEST EXPLAIN?,BLOOD TEST EXPLAIN?
I need a laboratory test.,LAB TEST NEED,Não,VERB.3.6,PRO.1 LAB TEST NEED,LABORATORY TEST NEED
I need a glucose test.,GLUCOSE TEST NEED,Não,VERB.3.7,PRO.1 GLUCOSE TEST NEED,GLUCOSE TEST NEED
I need insulin.,INSULIN MEDICINE NEED,Não,VERB.3.7,PRO.1 NEED INSULIN,INSULIN MEDICINE NEED
Are you tired and dizzy?,TIRED DIZZY?,Não,PRON.2.1,PRO.2 TIRED DIZZY?,TIRED DIZZY?
The patient needs help.,PATIENT HELP NEED,Não,VERB.3.7,PATIENT NEED HELP,PATIENT HELP NEED
You have a fever,HAVE FEVER,Não,VERB.3.7; PRON.2.1,PRO.2 HAVE FEVER,HAVE FEVER
Do you feel pain something?,FEEL PAIN SOMETHING?,,,,FEEL PAIN SOMETHING?
Cannot you breathe well?,BREATHING DIFFICULT?,Não,VERB.3.7,YOU BREATHING DIFFICULT?,BREATHE DIFFICULT?
Can you explain the result?,RESULT EXPLAIN?,Não,VERB.3.7,PRO.2 EXPLAIN RESULT?,CAN RESULT EXPLAIN?
I feel better after the medicine.,MEDICINE FINISH BETTER,Não,VERB.3.7,PRO.1 MEDICINE FINISH BETTER,MEDICINE FINISH BETTER
The cough is strong now.,NOW COUGH STRONG,,,,NOW COUGH STRONG
I have pain in my chest.,CHEST PAIN,,,,CHEST PAIN
I need to go to the hospital.,HOSPITAL GO NEED,Não,VERB.3.7,PRO.1 NEED GO HOSPITAL,HOSPITAL GO NEED
Is this an emergency?,EMERGENCY?,Sim,PRON.2.5,,EMERGENCY?
Please stay calm.,PLEASE CALM,,,,PLEASE CALM
Please breathe slowly.,PLEASE BREATHE SLOW,Sim,,,PLEASE BREATHE SLOW
Please stop here.,PLEASE STOP HERE,Não,VERB.3.7,PLEASE PRO.2 STOP HERE,PLEASE STOP HERE
Can I return next week?,NEXT WEEK RETURN?,Não,VERB.3.7,PRO.1 NEXT WEEK RETURN?,CAN NEXT WEEK RETURN?
When did you vomit?,WHEN YOU VOMIT FINISH?,Não,PRON.2.5; VERB.3.7,WHEN YOU VOMIT?,WHEN VOMIT FINISH?
I need support now.,NOW SUPPORT NEED,Não,VERB.3.7,PRO.1 SUPPORT NEED NOW,NOW SUPPORT NEED
I feel strange today.,TODAY STRANGE,Não,VERB.3.7; PRON.2.1,PRO.1 FEEL STRANGE TODAY,TODAY STRANGE
I feel stress and exhaustion.,STRESS EXHAUSTED,Não,VERB.3.7,PRO.1 FEEL STRESS EXHAUSTED,STRESS EXHAUSTED
I need care and support.,CARE SUPPORT NEED,Não,VERB.3.7; PRON.2.1,PRO.1 NEED CARE SUPPORT,CARE SUPPORT NEED
The fever did not improve.,FEVER NOT BETTER,,,,FEVER NOT BETTER
The pain improved a little.,PAIN LITTLE BETTER,,,,PAIN LITTLE BETTER
I feel much better today.,TODAY MUCH BETTER,Não,VERB.3.7,PRO.1 FEEL TODAY MUCH BETTER,TODAY MUCH BETTER
Do you have anxiety and stress?,HAVE ANXIETY STRESS?,Não,VERB.3.7,PRO.2 HAVE ANXIETY STRESS?,HAVE ANXIETY STRESS?
I need help breathing.,BREATHING HELP NEED,,,,BREATHING HELP NEED
Please explain slowly.,PLEASE EXPLAIN SLOW,Sim,,,PLEASE EXPLAIN SLOW
I need in-person care.,DIRECT CARE NEED,Não,VERB.3.7,PRO.1 NEED DIRECT CARE,DIRECT CARE NEED
Do you have medicine allergic?,HAVE ALLERGIC MEDICINE?,Não,PRON.2.1; VERB.3.7,PRO.2 ALLERGIC MEDICINE?,HAVE ALLERGIC MEDICINE?
I feel numbness in my hand.,HAND NUMB,,,,HAND NUMB
I feel numbness in my leg.,LEG NUMB,Não,VERB.3.7,PRO.1 FEEL NUMB LEG,LEG NUMB
Are you feeling hot?,FEEL HOT?,Não,VERB.3.7; PRON.2.1,PRO.2 FEEL HOT?,FEEL HOT?
Do you feel a cold and chills?,FEEL COLD BODY-SHAKE?,Não,VERB.3.7,PRO.2 FEEL COLD BODY-SHAKE?,FEEL COLD BODY SHAKE?
I have diarrhea today.,TODAY DIARRHEA,,,,TODAY DIARRHEA
I lost my appetite.,NOT WANT EAT,Sim,PRON.2.3; VERB.3.7,,NOT WANT EAT
I have high blood pressure.,HIGH BLOOD-PRESSURE,Sim,MORF.1.2,,HIGH BLOOD PRESSURE
I need oxygen now.,NOW OXYGEN NEED,Não,VERB.3.7,PRO.1 NOW OXYGEN NEED,NOW OXYGEN NEED
The patient needs oxygen therapy.,PATIENT OXYGEN-THERAPY NEED,,,,PATIENT OXYGEN THERAPY NEED
I need a heart monitor.,HEART-MONITOR NEED,Não,VERB.3.7; VERB.3.6,PRO.1 NEED HEART-MONITOR,HEART MONITOR NEED
I need a medical examination.,MEDICAL EXAM NEED,Não,VERB.3.7; PRON.2.1,PRO.1 NEED MEDICAL EXAM,MEDICAL EXAM NEED
I need a medical consultation.,DOCTOR CONSULT NEED,Não,VERB.3.7; PRON.2.1,PRO.1 NEED CONSULT-DOCTOR,DOCTOR CONSULT NEED
I need a diagnosis.,DIAGNOSIS NEED,Não,VERB.3.7,PRO.1 NEED DIAGNOSIS,DIAGNOSIS NEED
Can you explain my condition?,CONDITION EXPLAIN?,Não,PRON.2.3,MY CONDITION EXPLAIN?,CONDITION EXPLAIN?
I need help quickly.,HELP FAST NEED,Não,VERB.3.7,PRO.1 NEED FAST HELP,HELP FAST NEED
I feel mentally confused.,FEEL CONFUSED,Não,VERB.3.7,PRO.1 FEEL CONFUSED,FEEL MENTAL CONFUSED
I had a panic attack.,PANIC-ATTACK,Não,VERB.3.7,I HAVE PANIC-ATTACK,HAVE FINISH PANIC_ATTACK PAST
I feel deeply sad.,FEEL VERY SAD,Não,VERB.3.7,PRO.1 FEEL VERY SAD,FEEL VERY SAD
I have depression and anxiety.,DEPRESSION ANXIETY,Não,PRON.2.3,MY DEPRESSION MY ANXIETY,DEPRESSION ANXIETY
I feel unwell.,FEEL SICK,Não,VERB.3.7,PRO.1 FEEL SICK,FEEL SICK
I have an infection.,INFECTION,Sim,MORF.1.1,,INFECTION
I think I caught a disease.,THINK SICK,Não,VERB.3.7,PRO.1 THINK PRO.1 CATCH SICK,THINK SICK
I need information about prevention.,PREVENTION INFORMATION NEED,Não,VERB.3.7,PRO.1 PREVENTION INFORMATION NEED,PREVENTION INFORMATION NEED
I need protective equipment.,PROTECTIVE-EQUIPMENT NEED,Não,VERB.3.7,PRO.1 NEED PROTECTIVE-EQUIPMENT,PROTECTIVE EQUIPMENT NEED
Please wear a protective mask.,PLEASE MASK WEAR,Não,VERB.3.7,PLEASE WEAR MASK,PLEASE MASK WEAR
I need a pharmacy.,PHARMACY NEED,Não,VERB.3.7,PRO.1 NEED PHARMACY,PHARMACY NEED
I need cough medicine.,COUGH MEDICINE NEED,Não,VERB.3.7,PRO.1 NEED COUGH MEDICINE,COUGH MEDICINE NEED
I need pain medicine.,PAIN MEDICINE NEED,Não,VERB.3.7,PRO.1 PAIN MEDICINE NEED,PAIN MEDICINE NEED
I need fever medicine.,FEVER MEDICINE NEED,Não,VERB.3.7,PRO.1 FEVER MEDICINE NEED,FEVER MEDICINE NEED
I need a blood test now.,NOW BLOOD-TEST NEED,Não,PRON.2.1; VERB.3.7,PRO.1 NEED BLOOD-TEST NOW,NOW BLOOD TEST NEED
I feel pain when I breathe.,BREATHE PAIN,,,,BREATHE PAIN
I have abdominal pain.,STOMACH PAIN,Não,PRON.2.3,MY STOMACH PAIN,STOMACH PAIN
I need to sit down.,SIT NEED,Não,VERB.3.7; PRON.2.1,PRO.1 NEED SIT,SIT NEED
Please help me stand up.,PLEASE HELP STAND,Não,VERB.3.6; VERB.3.7,PLEASE HELP PRO.2 STAND,PLEASE HELP STAND
I almost fainted.,ALMOST FAINT,Não,PRON.2.1; VERB.3.7,PRO.1 ALMOST FAINT,ALMOST FAINT
I had an accident.,ACCIDENT,Não,VERB.3.7,PRO.1 HAVE ACCIDENT,ACCIDENT
I fell this morning.,THIS-MORNING FALL,Não,VERB.3.7,PRO.1 THIS-MORNING FALL,THIS_MORNING FALL
I need an ambulance.,AMBULANCE NEED,Não,VERB.3.7,PRO.1 NEED AMBULANCE,AMBULANCE NEED
I need emergency care.,EMERGENCY CARE NEED,Não,VERB.3.7; PRON.2.1,PRO.1 NEED EMERGENCY-CARE,EMERGENCY CARE NEED
I need hospital admission.,HOSPITAL ADMISSION NEED,Não,VERB.3.7,PRO.1 HOSPITAL ADMISSION NEED,HOSPITAL ADMISSION NEED
The patient lost consciousness.,PATIENT PASS-OUT,Sim,,,PATIENT PASS_OUT
The patient has heart failure.,PATIENT HEART FAILURE,Não,VERB.3.7,PATIENT HAVE HEART-FAILURE,PATIENT HEART FAILURE
I have asthma and a cough.,ASTHMA COUGH,Não,PRON.2.3,MY ASTHMA MY COUGH,ASTHMA COUGH
I need an inhaler.,INHALER NEED,Não,VERB.3.7,PRO.1 NEED INHALER,INHALER NEED
I feel pain here.,PAIN HERE,Não,VERB.3.7,PRO.1 FEEL PAIN HERE,PAIN HERE
How long will I stay here?,STAY HERE HOW-LONG?,Sim,PRON.2.5,,STAY HERE HOW LONG?
Thank you for your help.,THANK-YOU HELP,,,,THANK_YOU HELP
I need water.,WATER NEED,Não,VERB.3.7,PRO.1 WATER NEED,WATER NEED
I am allergic to this medicine.,MEDICINE ALLERGIC,Não,VERB.3.7; PRON.2.4,I ALLERGIC THIS MEDICINE,MEDICINE ALLERGIC
I need to talk to my family.,FAMILY TALK NEED,Não,VERB.3.7; PRON.2.3,PRO.1 NEED TALK TO MY FAMILY,FAMILY TALK NEED
Please write it down.,PLEASE WRITE-DOWN,Sim,MORF.1.2,,PLEASE WRITE_DOWN
I understand. Thank you.,"UNDERSTAND, THANK-YOU",Não,VERB.3.7; MORF.1.2,"PRO.1 UNDERSTAND, THANK-YOU","UNDERSTAND, THANK_YOU"
No problem,NO PROBLEM,Não,MORF.1.2,NO-PROBLEM,NO_PROBLEM
You're welcome,WELCOME,Sim,,,WELCOME
Good morning,GOOD MORNING,Sim,,,GOOD MORNING
Good night,GOOD NIGHT,Não,MORF.1.2,GOOD-NIGHT,GOOD NIGHT
Good evening,GOOD EVENING,Sim,,,GOOD EVENING
Good afternoon,GOOD AFTERNOON,Não,MORF.1.2,HELLO,GOOD AFTERNOON
How are you?,HOW YOU?,Sim,PRON.2.5,,HOW YOU?
"I'm fine, thanks",I FINE THANKS,Não,PRON.2.1,PRO.1 FINE THANKS,FINE THANKS
What's your name?,YOU NAME?,Não,PRON.2.5,WHAT YOU NAME?,YOU NAME?
Nice to meet you,NICE MEET YOU,,,,NICE MEET YOU
See you later,SEE LATER,Não,VERB.3.7,PRO.1 SEE PRO.2 LATER,SEE LATER
Take care,TAKE CARE,Não,MORF.1.2,TAKE-CARE,TAKE CARE
Have a nice day,HAVE NICE DAY,Não,MORF.1.2,NICE-DAY,HAVE NICE DAY
Excuse me,EXCUSE ME,,,,EXCUSE ME
I'm sorry,I'M SORRY,Não,VERB.3.7,I SORRY,SORRY
Thanks a lot,THANKS LOT,Não,MORF.1.4,THANK++,THANKS LOT
What are you doing?,WHAT YOU DO?,Sim,PRON.2.5; VERB.3.7,,WHAT DO?
Of course,OF COURSE,Não,MORF.1.2,OF-COURSE,OF COURSE
I don't understand,NOT UNDERSTAND,Não,VERB.3.7,PRO.1 NOT UNDERSTAND,NOT_UNDERSTAND
Please repeat that,PLEASE AGAIN,,,,PLEASE AGAIN
How much is this?,HOW IS THIS?,Não,PRON.2.5,HOW-MUCH THIS?,HOW_MUCH THIS?
I like this,I LIKE THIS,Não,PRON.2.1,PRO.1 LIKE THIS,LIKE THIS
Wait a moment,WAIT MOMENT,Sim,VERB.3.7; MORF.1.1,,WAIT MOMENT
Just a second,2 SEC,Não,MORF.1.3,1 SEC,2 SECOND
Call me later,CALL LATER,Não,VERB.3.7,PRO.2 CALL PRO.1 LATER,CALL LATER
What time is it?,WHAT TIME?,Sim,PRON.2.5,,WHAT TIME?
Where are you?,WHERE YOU?,Sim,PRON.2.5,,WHERE YOU?
See you soon,SEE YOU SOON,Não,VERB.3.7,PRO.1 SEE YOU SOON,SEE SOON
I need rest,NEED REST,Não,VERB.3.7,PRO.1 NEED REST,NEED REST
