text,gloss,gloss_review,rounds_used,gloss_llm_1,gloss_llm_2,gloss_llm_3,judge
Cannot you breathe well?,BREATHING DIFFICULT?,BREATHE DIFFICULT?,2,CAN BREATHE WELL?,CAN BREATHE WELL?,,OK
Can you explain the result?,RESULT EXPLAIN?,CAN RESULT EXPLAIN?,1,RESULT EXPLAIN?,,,OK
Can I return next week?,NEXT WEEK RETURN?,CAN NEXT WEEK RETURN?,2,NEXT WEEK CAN RETURN?,NEXT WEEK CAN RETURN?,,OK
Do you feel a cold and chills?,FEEL COLD BODY-SHAKE?,FEEL COLD BODY SHAKE?,2,FEEL COLD SHAKE?,FEEL COLD SHAKE?,,OK
I have high blood pressure.,HIGH BLOOD-PRESSURE,HIGH BLOOD PRESSURE,2,HIGH BLOOD PRESSURE.,HIGH BLOOD PRESSURE.,,OK
The patient needs oxygen therapy.,PATIENT OXYGEN-THERAPY NEED,PATIENT OXYGEN THERAPY NEED,2,NEED OXYGEN THERAPY.,NEED OXYGEN THERAPY.,,OK
I need a heart monitor.,HEART-MONITOR NEED,HEART MONITOR NEED,2,NEED HEART MONITOR.,NEED HEART MONITOR.,,OK
I feel mentally confused.,FEEL CONFUSED,FEEL MENTAL CONFUSED,2,FEEL MENTALLY CONFUSED.,FEEL MENTALLY CONFUSED.,,OK
I need protective equipment.,PROTECTIVE-EQUIPMENT NEED,PROTECTIVE EQUIPMENT NEED,2,NEED PROTECTIVE EQUIPMENT.,NEED PROTECTIVE EQUIPMENT.,,OK
I need a blood test now.,NOW BLOOD-TEST NEED,NOW BLOOD TEST NEED,2,NOW NEED BLOOD TEST.,NOW NEED BLOOD TEST.,,OK
The patient lost consciousness.,PATIENT PASS-OUT,PATIENT PASS_OUT,2,PATIENT PASS OUT.,PATIENT PASS OUT.,,OK
How long will I stay here?,STAY HERE HOW-LONG?,STAY HERE HOW LONG?,2,STAY HERE HOW LONG?,STAY HERE HOW LONG?,,OK
Thank you for your help.,THANK-YOU HELP,THANK_YOU HELP,2,THANK-YOU HELP.,THANK-YOU HELP.,,OK
Please write it down.,PLEASE WRITE-DOWN,PLEASE WRITE_DOWN,2,PLEASE WRITE DOWN.,PLEASE WRITE DOWN.,,OK
I understand. Thank you.,"UNDERSTAND, THANK-YOU","UNDERSTAND, THANK_YOU",2,UNDERSTAND. THANK_YOU.,UNDERSTAND. THANK_YOU.,,OK
No problem,NO PROBLEM,NO_PROBLEM,2,NO PROBLEM.,NO PROBLEM.,,OK
"I'm fine, thanks",I FINE THANKS,FINE THANKS,2,FINE THANKS.,FINE THANKS.,,OK
I'm sorry,I'M SORRY,SORRY,2,SORRY,SORRY,,OK
What are you doing?,WHAT YOU DO?,WHAT DO?,2,WHAT DOING?,WHAT DOING?,,OK
I don't understand,NOT UNDERSTAND,NOT_UNDERSTAND,1,NOT UNDERSTAND,,,OK
How much is this?,HOW IS THIS?,HOW_MUCH THIS?,2,HOW_MUCH THIS?,HOW_MUCH THIS?,,OK
I like this,I LIKE THIS,LIKE THIS,2,LIKE THIS,LIKE THIS,,OK
Just a second,2 SEC,2 SECOND,3,2 SECOND.,JUST SECOND.,JUST SECOND.,OK
See you soon,SEE YOU SOON,SEE SOON,2,SOON SEE.,SOON SEE.,,OK
