id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_pagina,fonte_citacao
ASLFD.013,sintaxe,Sentenças condicionais com 'IF',"Sentenças condicionais usam 'IF' com sobrancelhas levantadas, seguido pelo restante da frase com sobrancelhas normais.",presença de palavra condicional como 'IF',True,IF BEER ORDER YOU — WINE ORDER ME,49,"Sign the conditional word while raising your eyebrows, but then follow with the rest of the conditional phrase and sentence with your eyebrows back down in their normal position."
ASLFD.014,sintaxe,Classificadores de tamanho e forma,Classificadores (handshapes A/C/F) são usados após o sujeito para detalhar objetos/relações.,quando detalhes específicos são necessários após o sujeito,True,"A (vase, stop sign) ; C (muscle, glass) ; F (coins, polka dots)",52,"Classifiers are nothing more than handshapes that are grouped into categories with a specific purpose as describing something... Since classifiers show detailed information, do not use them until after you have explained the subject of the matter then explain the specifics by using classifiers."
ASLFD.015,sintaxe,Evitar verbos 'to be',"Verbos 'to be' (am, are, was, etc.) não existem em ASL; usar TRUE para afirmações declarativas.",uso de verbos 'to be',True,IS (não existe em ASL) ; TRUE (usado para afirmação),55,"Never sign am, are, was, were, be, being, or been. They aren’t used in ASL... It is used for affirmation so put the Sign TRUE at the end of a sentence for anything declarative."
ASLFD.016,pergunta,Formação de perguntas com Q,Perguntas são formadas adicionando Q no final da frase.,quando uma pergunta é feita,True,SIGN YOU Q ; DEAF YOU Q ; WHAT’S UP,57,"If you ask a question, raise your eyebrows and tilt your head forward; doing so shows others that your sentence is a question and that you’re waiting for a response."
ASLFD.017,verbos,Uso do verbo 'FINISH',O verbo 'FINISH' pode indicar tempo passado ou ser usado como reprimenda dependendo do contexto.,quando 'FINISH' é usado,True,FINISH (tempo passado) ; FINISH (reprimenda),45,Although finish is used at the beginning of a sentence to show past tense... it’s also used as humor in Sign to indicate 'enough already' and as a reprimand meaning 'stop that'.
ASLFD.018,morfologia,Fingerspelling para nomes próprios,"Quando introduzindo-se, o nome completo é soletrado com a mão (fingerspelling) em ASL.",Introdução de nome próprio em conversa,True,HI — D-E-E ME ; NICE MEET YOU — C-A-M-E-R-O-N ME,60,"Keep in mind that when someone asks you your name, sign your first and last name — it’s good manners."
ASLFD.019,morfologia,Ausência de títulos (Mr./Mrs./Ms.),"Títulos como Mr., Mrs. ou Ms. não são usados em ASL; o nome completo é sempre soletrado.",Referência a nomes com títulos,True,HI — D-E-E ME ; NICE MEET YOU — C-A-M-E-R-O-N ME,61,"Titles, such as Mr., Mrs., and Ms., aren’t used in ASL. Simply spell out the person’s name."
ASLFD.020,sintaxe,Ordem Núcleo-Adjunto (N + Adj),Adjetivos em ASL geralmente seguem o núcleo (substantivo) na estrutura da frase.,Descrição de características de objetos/nomes,True,EVERYTHING EXPENSIVE ; STAMP COST — INCREASE TOO,63,Take a look at some signs for feelings and emotions: SAD HAPPY ANGRY...
ASLFD.021,pronomes,Pronomes espaciais,"Pronomes em ASL são representados por posições no espaço, não por palavras distintas.",Referência a sujeito/objeto na frase,True,ANGRY ME ; ME TOO,65,"Dee: Me, too. Sign: ME TOO"
ASLFD.022,sintaxe,Conectivos discursivos,"Conectivos como ALSO, BUT, OR são usados para ligar ideias em sequências de pensamento.",Conexão de frases em narrativas,True,ALSO ; BUT ; OR,66,"When you’re ready to connect your thoughts in ASL, use the signs in this section for connectors."
ASLFD.023,sintaxe,Uso de deslocamento corporal para indicar participantes em diálogo construído,"Em diálogos construídos, o corpo é deslocado lateralmente para assumir a posição de cada participante, mantendo essa posição durante a fala de cada um. O deslocamento para a esquerda ou direita indica alternância entre falantes.",quando descreve conversas com múltiplos participantes,False,Sheri desloca o corpo para a esquerda para representar Aunt Dee ; Sheri desloca o corpo para a direita para representar Aunt Denni,76,"When you engage in Constructed Dialogue, keep a couple of things in mind: Make sure the person with whom you’re signing knows the names of the people you’re talking about and also what the gist of the conversation between the two people was."
ASLFD.024,sintaxe,Ordem de quantidade em expressões numéricas,"Em ASL, a quantidade é expressa após o item, diferente do inglês. A ordem é: ITEM QUANTIDADE. Exemplos: BOOK TWO, CAR FOUR.",quando especifica quantidade de objetos,True,BOOK TWO ; CAR FOUR,78,"When you want to specify more than one item... you sign the item first, followed by the quantity."
ASLFD.025,morfologia,Orientação da palma nas numerais cardinais,"Números 1-5 e 11-15 são feitos com a palma voltada para o signatário. Números 6-10 e 16-19 são feitos com a palma voltada para o destinatário. Exceções incluem expressões de hora, onde a palma sempre aponta para o destinatário.",quando sinaliza números cardinais,False,1-5 com palma para o signatário ; 6-10 com palma para o destinatário,80,"When you’re indicating quantity and counting things, sign the numbers 1 through 5 and 11 through 15 with your palm facing you and the numbers 6 through 10 and 16 through 19 with your palm facing the person to whom you’re signing."
ASLFD.026,morfologia,Formação de numerais ordinais,"Numerais ordinais são formados com um giro do pulso para dentro enquanto se sinaliza o número correspondente. Exemplos: FIRST (com giro do pulso), SECOND (com giro do pulso), THIRD (com giro do pulso).",quando indica posição ordinal,False,FIRST com giro do pulso ; SECOND com giro do pulso,84,"To indicate an ordinal number in ASL, twist your wrist inward while signing the respective number."
ASLFD.027,sintaxe,Posição temporal no início da frase,Expressões de tempo devem ser colocadas o mais próximo possível do início da frase para contextualizar o evento. Exemplo: TIME FACTOR + SUJEITO + PREDICADO.,quando expressa tempo em frases,True,MORNING + SUJEITO ; TOMORROW + SUJEITO,85,"you should put the expression of time as close to the beginning of the sentence as possible; that is, you generally express the time before the subject."
ASLFD.028,morfologia,Orientação da palma em números de telefone,Números de telefone e outros códigos numéricos são sinalizados com a palma voltada para o destinatário. Alguns signatários usam o dedo indicador para sinalizar PARÊNTESE antes do código de área.,quando sinaliza números de telefone,False,PHONE-NUMBER com palma para o destinatário,85,"sign the numbers with your palm facing outward, toward the person to whom you’re giving the information."
ASLFD.029,sintaxe,Movimento para contagem em listas,"Ao contar itens em listas, o signatário usa movimentos pequenos laterais ou descendentes para seguir o padrão da lista. O movimento acompanha a direção da lista (horizontal ou vertical).",quando conta itens em listas,False,contagem com movimento lateral ; contagem com movimento descendente,79,Follow the pattern in the list when you sign; just count with a small motion either sideways or downward.
ASLFD.030,morfologia,Formação de meses com abreviaturas e soletração,"Meses podem ser formados com abreviaturas (ex.: JAN, FEB) ou soletração completa (ex.: MARCH, APRIL).",Quando se refere a meses no calendário,True,"JAN 22, 2022 ; MARCH 17, 2022",89,"The months that you can abbreviate are Jan., Feb., Aug., Sept., Oct., Nov., and Dec. The months that you should completely spell out are March, April, May, June, and July."
ASLFD.031,sintaxe,Ordem de elementos em perguntas sim/não,Perguntas sim/não seguem a ordem: verbo + sujeito + objeto + marcador de pergunta (Q).,Frase interrogativa sim/não,True,7 P.M. — MY HOUSE — COME — CAN YOU — Q ; UPSTAIRS — GO ME CAN Q,90,Sign: 7 P.M. — MY HOUSE — COME — CAN YOU — Q
ASLFD.032,sintaxe,Estrutura tópico-comentário em endereços,Endereços seguem a estrutura: tópico (localização) + comentário (detalhes).,Declaração de endereço,True,REMEMBER — HOUSE — WEST — D-R — 3-2-9 ; HOUSE — THIRD RIGHT — STREET — WEST — D-R,91,Sign: REMEMBER — HOUSE — WEST — D-R — 3-2-9
ASLFD.033,verbos,Concordância direcional em verbos,Verbos direcionais indicam posição/ação usando orientação espacial (ex.: THIRD RIGHT).,Indicação de posição/ordem,True,HOUSE — THIRD RIGHT — STREET — WEST — D-R,92,Sign: HOUSE — THIRD RIGHT — STREET — WEST — D-R
ASLFD.034,sintaxe,Estrutura de frases declarativas,Frases declarativas seguem a ordem: sujeito + verbo.,Declaração simples,True,DOOR — LOCKED ; KITCHEN — HOT,96,Sign: DOOR — LOCKED
ASLFD.035,pergunta,Estrutura de perguntas sobre posse,Perguntas sobre posse seguem a ordem: tópico + marcador de pergunta (Q).,Pergunta sobre posse,True,BEDROOM — YOURS Q,101,Sign: BEDROOM — YOURS Q
ASLFD.036,sintaxe,Ordem sujeito-verbo,"Em frases afirmativas, o verbo segue o sujeito (ex.: COUCH — SIT).",Frase com localização e ação,True,COUCH — SIT ; LAMP O-N ; MY CARPET — WHITE,105,English: Sit on the couch. Sign: COUCH — SIT
ASLFD.037,sintaxe,Posição dos adjetivos,Adjetivos aparecem após o substantivo (ex.: PICTURE — PRETTY).,Frase com descrição de objeto,True,PICTURE — PRETTY ; MY CARPET — WHITE,106,English: The picture is pretty. Sign: PICTURE — PRETTY
ASLFD.038,sintaxe,Lista de objetos + verbo,Listas de objetos precedem o verbo (ex.: COUCH LAMP PICTURES — NEED US).,Frase com múltiplos objetos e verbo,True,COUCH LAMP PICTURES — NEED US,108,Sign: COUCH LAMP PICTURES — NEED US
ASLFD.039,pronomes,Referência espacial a entidades ausentes,Entidades ausentes são referenciadas por pontos específicos no espaço usando o dedo indicador (ex.: HOUSE YARD — BIG).,Mencão a pessoa/objeto não presente,False,HOUSE YARD — BIG ; KITCHEN — WANT SEE ME,107,All you have to do to discuss someone who isn’t physically present is assign that person a point in the space near your passive hand.
ASLFD.040,pergunta,Formação de perguntas,"Palavras interrogativas aparecem no final da frase, seguidas do sinal Q (ex.: KITCHEN — WANT SEE ME Q).",Frase interrogativa com palavras-chave,True,KITCHEN — WANT SEE ME Q,117,You simply put the question word at the end of the sentence... the letter Q follows all ASL examples and dialogues that are questions.
ASLFD.041,pergunta,Formação de perguntas com verbo + WHO/WHAT + Q,Perguntas em ASL seguem a estrutura verbo seguido do pronome interrogativo e marcador de pergunta (Q).,"Frase interrogativa com 'who', 'what', etc.",True,GOING — WHO Q ; MEAN — WHAT Q,120,Check out the following examples of short questions: English: Who is going? Sign: GOING — WHO Q
ASLFD.042,pergunta,Pronome implícito em perguntas,"O sujeito 'you' pode ser omitido em perguntas diretas, sendo implícito pelo contexto da interação.",Pergunta direta a alguém já identificado,True,MEAN — WHAT Q,120,Sign: MEAN — WHAT Q (the word 'you' is implied because you’re talking to that person already)
ASLFD.043,pronomes,Ordem de pronomes possessivos,"Pronomes possessivos podem vir antes ou depois do substantivo, sem alterar o significado",Quando um pronome possessivo é usado com um substantivo,True,DOG MINE ; MY DOG,140,Put the possessive pronoun sign before or after the person or thing you’re signing; the order doesn’t matter.
ASLFD.044,sintaxe,Ordem em frases direcionais,"A ordem é ponto de referência, seguido do alvo e da direção",Quando se dá direções usando pontos de referência,True,STORE — MY HOUSE — WEST,145,My house is west of the store. Sign: STORE — MY HOUSE — WEST
ASLFD.045,morfologia,Reduplicação para repetição,Repetir o sinal para indicar ação repetida,Quando se quer expressar ação repetida,True,RIGHT — RIGHT,146,Notice that you don’t sign the word twice; you simply sign right twice
ASLFD.046,sintaxe,Ordem sujeito-verbo com sujeito singular,O verbo precede o pronome sujeito singular,Frases com sujeito singular,True,RICH HIM,142,He is rich. Sign: RICH HIM
ASLFD.047,sintaxe,Ordem sujeito-verbo com sujeito plural,O sujeito (substantivo) precede o verbo e o pronome,Frases com sujeito plural,True,GOLD HAVE THEM,143,They have gold. Sign: GOLD HAVE THEM
ASLFD.048,pronomes,Formação de perguntas possessivas,"Usar o possuidor, o objeto e um sinal de interrogação",Perguntas sobre posse,True,T-O-N-Y — COAT — Q,138,"Fingerspell the name of the person, point to the item you’re talking about, and sign a question mark"
ASLFD.049,sintaxe,Estrutura tópico-comentário,"A estrutura básica de frase em ASL segue o padrão tópico-comentário, onde o tópico (informação já conhecida) precede o comentário (nova informação).",frase declarativa com referência a contexto anterior,True,HERE CROSS STREET — NORTH GO ME ; LAKE ARRIVE — RIGHT TURN,150,Sign: HERE CROSS STREET — NORTH GO ME
ASLFD.050,sintaxe,Formação de perguntas,"Perguntas diretas são formadas com a palavra-chave interrogativa no início da frase, seguida do verbo e do sujeito, terminando com a marcação facial de pergunta (Q).",pergunta direta com palavra interrogativa,True,MUSEUM WHERE — KNOW YOU Q ; APPLES ORANGES — WANT YOU — WHICH,149,Sign: MUSEUM WHERE — KNOW YOU Q
ASLFD.051,verbos,Direcionalidade verbal,Verbos direcionais em ASL indicam direção ou localização usando a orientação do espaço ou a posição das mãos.,verbo que indica movimento ou localização,True,BRIDGE — GO OVER ; MOUNTAIN BASE — SMALL STORE — THERE,156,Sign: BRIDGE — GO OVER
ASLFD.052,sintaxe,Conjunções contrastivas,"A conjunção 'BUT' é usada para contrastar duas orações, posicionada entre elas.",contraste entre duas ações ou situações,True,PARTY GO — BUT HOME MIDNIGHT — MUST YOU,159,Sign: PARTY GO — BUT HOME MIDNIGHT — MUST YOU
ASLFD.053,sintaxe,Conjunções alternativas,"As conjunções 'EITHER' e 'NEITHER' são usadas para apresentar opções ou negações alternativas, seguidas de resposta afirmativa ou negativa.",resposta a pergunta com opções múltiplas,True,EITHER FINE ; NEITHER,162,Sign response: NEITHER
ASLFD.054,tempo-aspecto,Marcação de conclusão,A palavra 'FINISH' é usada para marcar a conclusão de uma ação antes de outra ação começar.,sequência de ações com conclusão explícita,True,TWO M-I-L-E-S FINISH — GO EAST,150,Sign: YES — BUT TWO M-I-L-E-S FINISH — GO EAST
ASLFD.055,tempo-aspecto,Marcação de passado com 'FINISH',A partícula 'FINISH' no início da frase indica tempo passado.,Frase no passado com 'FINISH',True,FINISH — SOUP — BREAD — SERVE,178,Finish at the beginning of a sentence adds past tense to the whole sentence.
ASLFD.056,sintaxe,Ordem adjetivo-substantivo,Adjetivos precedem o substantivo na estrutura da frase.,Frase com adjetivo e substantivo,True,COLD O-J ; STEAK — R-A-R-E,178,The orange juice is cold. Sign: COLD O-J
ASLFD.057,negacao,Negação com 'NOT',A partícula 'NOT' segue o substantivo negado.,Frase com negação de substantivo,True,EGGS WANT — CEREAL NOT — ME,169,"English: I want eggs, not cereal. Sign: EGGS WANT — CEREAL NOT — ME"
ASLFD.058,sintaxe,Ordem quantidade-substantivo,A quantidade precede o substantivo na estrutura da frase.,Frase com quantidade e substantivo,True,THREE BOWLS — NEED ME,165,English: I need three bowls. Sign: THREE BOWLS — NEED ME
ASLFD.059,morfologia,Uso de soletração para adjetivos,Adjetivos como 'rare' são representados por soletração manual.,Adjetivo representado por soletração,True,STEAK — R-A-R-E,177,"If you want your steak rare, fingerspell R-A-R-E."
ASLFD.060,sintaxe,Estrutura tópico-comentário,A estrutura da frase começa com o tópico (pedido) seguido do comentário (objetos e ação).,Frase de pedido,True,PLEASE — FORK — KNIFE — SPOON — NEED ME,165,"English: I need another place setting, please. Sign: PLEASE — FORK — KNIFE — SPOON — NEED ME"
ASLFD.061,sintaxe,Estrutura tópico-comentário,A estrutura de frase em ASL frequentemente coloca o tópico (informação já conhecida) seguido do comentário (nova informação).,quando uma frase contém um tópico e um comentário relacionado,True,English: I’d like a potato with my fish. Sign: MY FISH — POTATO TOGETHER — WANT ME ; English: She likes tortillas. Sign: TORTILLAS — SHE LIKES,179,Sign: MY FISH — POTATO TOGETHER — WANT ME
ASLFD.062,sintaxe,Posição dos adjetivos,Adjetivos em ASL geralmente seguem imediatamente o substantivo que modificam.,quando um adjetivo modifica um substantivo,True,English: Tostadas are cheap. Sign: TOSTADA — CHEAP ; English: The coffee is strong. Sign: COFFEE — STRONG,183,Sign: TOSTADA — CHEAP
ASLFD.063,pergunta,Formação de perguntas diretas,Perguntas diretas em ASL frequentemente colocam a palavra-chave da pergunta após o tópico e terminam com o marcador de interrogação 'Q'.,quando uma pergunta direta é formada com palavra-chave,True,English: What would you like to drink? Sign: DRINK — WANT WHAT Q,186,Sign: DRINK — WANT WHAT Q
ASLFD.064,sintaxe,Marcador de futuro,Frase no futuro em ASL frequentemente termina com o marcador 'WILL' após o verbo.,quando uma ação está no futuro,True,English: We will eat dinner at a restaurant. Sign: RESTAURANT — EVENING FOOD — EAT THERE — WE WILL,182,Sign: RESTAURANT — EVENING FOOD — EAT THERE — WE WILL
ASLFD.065,sintaxe,Ordem SOV (sujeito-objeto-verbo),A ordem padrão de sinais em frases afirmativas é: pronome possessivo + objeto + verbo,frase afirmativa com verbo de ação,True,YOUR COAT WEAR ; SCARF WHITE ; HER BELT — LEATHER,195,English: Wear your coat. Sign: YOUR COAT WEAR
ASLFD.066,sintaxe,Adjetivo após o substantivo,Adjetivos seguem o substantivo no qual se aplicam,descrição de características de objetos,True,SCARF WHITE ; HER DRESS — BLUE WHITE ; HE WORE A YELLOW COTTON SHIRT,195,English: The scarf is white. Sign: SCARF WHITE
ASLFD.067,pergunta,Formação de perguntas sim/não,Perguntas sim/não são formadas com o sinal Q no final da frase,pergunta binária (sim/não),True,GLOVES YOURS Q ; MY SWEATER — WHERE Q ; T-SHIRT SHOP — OPEN — WHEN Q,195,Sign: GLOVES YOURS Q
ASLFD.068,sintaxe,Estrutura condicional,"Condições são introduzidas com IF, seguidas pela ação condicional e depois pela consequência",frase com 'if' ou 'se',True,IF PANTS WEAR — HIGH HEELS WEAR NOT ; IF BLOUSE YOU WEAR — TIE ME WEAR,198,Sign: IF PANTS WEAR — HIGH HEELS WEAR NOT
ASLFD.069,negacao,Negação após o verbo,A negação é marcada com o sinal NOT imediatamente após o verbo,negação de ação,True,WEAR NOT ; WEAR — HIGH HEELS WEAR NOT,198,Sign: IF PANTS WEAR — HIGH HEELS WEAR NOT
ASLFD.070,tempo-aspecto,Marcação de tempo passado,O tempo passado é marcado com o sinal FINISH antes da ação,ação concluída no passado,True,FINISH — HE WEAR SHIRT — YELLOW COTTON,208,Sign: FINISH — HE WEAR SHIRT — YELLOW COTTON
ASLFD.071,sintaxe,Estrutura tópico-comentário,"O tópico (objeto/assunto) é colocado à esquerda, seguido pelo comentário (atributo/ação)",declaração de características ou ações,True,MY SWEATER — WHERE Q ; HER PURSE — NICE,199,Sign: MY SWEATER — WHERE Q
ASLFD.072,pronomes,Pronomes possessivos antes do substantivo,Pronomes possessivos precedem o substantivo ao qual se referem,possessão de objeto,True,YOUR COAT ; MY SWEATER ; HER DRESS,195,English: Where is my sweater? Sign: MY SWEATER — WHERE Q
ASLFD.073,sintaxe,Ordem sujeito-predicado,A ordem básica de frases declarativas é [sujeito] — [predicado],Frase declarativa simples,True,BLUE DRESS — PRETTY ; BROWN SHOES — BIG,209,Sign: BLUE DRESS — PRETTY
ASLFD.074,pergunta,Formação de perguntas sim/não,Perguntas sim/não são formadas com a marcação Q no final da frase,Pergunta sim/não,True,BLACK SLACKS — YOU LIKE Q ; WHAT IS YOUR SCHEDULE FOR TOMORROW Q,210,Sign: BLACK SLACKS — YOU LIKE Q
ASLFD.075,negacao,Negação com NOT,A negação é marcada pelo sinal NOT no final da frase,Frase negativa,True,A LOT MONEY — HAVE ME — NOT,214,Sign: A LOT MONEY — HAVE ME — NOT
ASLFD.076,sintaxe,Estrutura condicional,Condições são formadas com IF seguido da ação e depois do resultado,Frase condicional,True,IF BLOUSES BUY — PANTS NEED ME,215,Sign: IF BLOUSES BUY — PANTS NEED ME
ASLFD.077,sintaxe,Comparação de graus,Comparativos são formados com a base do adjetivo seguido de MODIFICADOR,Comparação entre dois itens,True,RED SHIRT — GREEN SHIRT — RED BETTER,217,Sign: RED SHIRT — GREEN SHIRT — RED BETTER
ASLFD.078,sintaxe,Superlativo,Superlativos são formados com a base do adjetivo seguido de TOP/WORST,Superlativo,True,HIS COAT — WARM — TOP ; YOUR SHOES — UGLY — WORST,218,Sign: HIS COAT — WARM — TOP
ASLFD.079,tempo-aspecto,Marcação de passado,O passado é marcado pelo sinal FINISH no início da frase,Evento no passado,True,FINISH — EVENT — CANCEL,222,You sign finish to show that the sentence is in past tense
ASLFD.080,tempo-aspecto,Marcação de futuro,O futuro é marcado pelo tempo especificado no início da frase,Frase sobre agenda futura,True,TOMORROW — YOUR SCHEDULE — WHAT Q,221,Sign: TOMORROW — YOUR SCHEDULE — WHAT Q
ASLFD.081,sintaxe,Estrutura tópico-comentário,"Frase começa com tópico (tempo, local, condição) seguido do comentário (ação/afirmação).","frase com tópico explícito (ex.: 'FINISH', 'DURING')",True,FINISH — NEW MYSTERY — SEE US ; DURING INTERMISSION — LEAVE ME,227,English: We went to see the new mystery. Sign: FINISH — NEW MYSTERY — SEE US
ASLFD.082,sintaxe,Ordem condicional,Cláusula condicional precede a cláusula principal.,frase com 'IF' ou equivalente,True,IF MOVIE O-C — ME GO,226,"English: If the movie is open-captioned, I’ll go. Sign: IF MOVIE O-C — ME GO"
ASLFD.083,tempo-aspecto,Marcação de tempo passado,Uso de 'FINISH' no início da frase indica ação concluída.,frase referindo-se a evento passado,True,FINISH — NEW MYSTERY — SEE US,227,English: We went to see the new mystery. Sign: FINISH — NEW MYSTERY — SEE US
ASLFD.084,sintaxe,Estrutura temporal,"Frase começa com marca temporal (ex.: 'AFTERNOON', 'SATURDAY')",frase com referência a horário/data,True,AFTERNOON MOVIE — FUNNY ; SATURDAY MOVIE — O-C,226,English: The matinee was a comedy. Sign: AFTERNOON MOVIE — FUNNY
ASLFD.085,sintaxe,Ordem sujeito-verbo-objeto,Sujeito + verbo + objeto em frases afirmativas simples.,frase declarativa com sujeito e objeto explícitos,True,MOVIE — SOLD OUT ; LIGHTS OUT — TALKING STOP,226,English: The movie sold out. Sign: MOVIE — SOLD OUT
ASLFD.086,pergunta,Formação de perguntas sim/não,"Perguntas sim/não são formadas com a adição do sinal Q no final da frase, após o sujeito e o verbo.",frase interrogativa sim/não,True,English: Is that the manager? Sign: MANAGER — HIM (point) Q ; English: Where is the boss? Sign: BOSS — WHERE Q,239,Sign: MANAGER — HIM (point) Q
ASLFD.087,negacao,Negação com NO,"A negação é marcada pelo sinal NO no início da frase, seguido pelo sujeito e predicado.",frase negativa,True,"English: No, he is the assistant manager. Sign: NO — ASSISTANT MANAGER — HIM",239,Sign: NO — ASSISTANT MANAGER — HIM
ASLFD.088,sintaxe,Ordem sujeito-objeto em perguntas wh,"Perguntas wh (onde, quem) seguem a ordem: [wh-word] — [sujeito] — Q",pergunta com palavra interrogativa,True,English: Who is my supervisor? Sign: MY — SUPERVISOR — WHO Q ; English: Where is the stapler? Sign: STAPLER — WHERE — Q,239,Sign: MY — SUPERVISOR — WHO Q
ASLFD.089,tempo-aspecto,Marcação de estado/condição,"Verbos que indicam estado/condição (broke, froze) são usados diretamente após o sujeito sem marcação de tempo explícita.",declaração sobre estado/condição,True,English: The copy machine is broken. Sign: COPY MACHINE — BROKE ; English: My computer is frozen. Sign: MY COMPUTER — FROZE,242,Sign: COPY MACHINE — BROKE
ASLFD.090,sintaxe,Estrutura de perguntas condicionais,Perguntas condicionais usam a estrutura: IF — [verbo] — [sujeito] — [sujeito] — SAME,frase condicional,True,"English: If you trade stocks, I will, too. Sign: IF TRADE — YOU — ME — SAME",244,Sign: IF TRADE — YOU — ME — SAME
ASLFD.091,sintaxe,Estrutura de perguntas sobre localização,Perguntas sobre localização usam a ordem: [objeto] — WHERE — Q,pergunta sobre localização,True,English: Where is the stapler? Sign: STAPLER — WHERE — Q,242,Sign: STAPLER — WHERE — Q
ASLFD.092,sintaxe,Estrutura de perguntas sobre posse,Perguntas sobre posse usam a ordem: [pronome possessivo] — [objeto] — WHO Q,pergunta sobre posse,True,English: Who is my supervisor? Sign: MY — SUPERVISOR — WHO Q,239,Sign: MY — SUPERVISOR — WHO Q
ASLFD.093,sintaxe,Estrutura de afirmações com sujeito,Afirmações com sujeito seguem a ordem: [sujeito] — [predicado] — TRUE (afirmação),afirmação positiva,True,"English: Dee, she is a good boss. Sign: D-E-E — GOOD BOSS — TRUE (affirmation)",239,Sign: D-E-E — GOOD BOSS — TRUE (affirmation)
