id,categoria,titulo,descricao,gatilho,verificavel_por_texto,exemplos,fonte_pagina,fonte_citacao,status,regra_base_correspondente,justificativa
ASLFD.011,sintaxe,Posição de adjetivos e advérbios,Adjetivos e advérbios geralmente vêm após a palavra que modificam.,quando um adjetivo ou advérbio modifica um substantivo ou verbo,True,PRETTY GIRL ; RUN VERY FAST,32,you typically place the adjective or adverb... after the word it modifies.,nao_temos,,"A base de regras não contém nenhuma regra sobre a posição de adjetivos e advérbios em ASL. As regras existentes abordam morfologia (derivação, reduplicação), pronomes e verbos, mas não tratam da ordem sintática de modificadores. A regra extraída é nova para a base."
ASLFD.012,morfologia,Formação de agentes por personificação,Adicionar um agente (glide das palmas) a um verbo cria um substantivo derivado (ex.: WRITE + AGENT = WRITER).,quando um verbo é seguido por um agente,True,WRITE + AGENT = WRITER ; FLY + AGENT = PILOT ; SUPERVISE + AGENT = SUPERVISOR,50,"In ASL, turning a verb into a person is called personification. You do it with two simple motions: Sign the verb and then glide the heels of your hands down the sides of your body with your fingers extended outward. The result of this is an agent.",nao_temos,,"A regra extraída trata da formação de substantivos derivados por adição de um agente (glide das palmas) a um verbo, fenômeno não coberto por nenhuma regra da base. As regras existentes abordam derivação por movimento (MORF.1.1), compostos (MORF.1.2), numerais incorporados (MORF.1.3) e reduplicação (MORF.1.4), mas nenhuma menciona a personificação ou adição de agentes específicos como mecanismo de derivação."
ASLFD.013,sintaxe,Sentenças condicionais com 'IF',"Sentenças condicionais usam 'IF' com sobrancelhas levantadas, seguido pelo restante da frase com sobrancelhas normais.",presença de palavra condicional como 'IF',True,IF BEER ORDER YOU — WINE ORDER ME,49,"Sign the conditional word while raising your eyebrows, but then follow with the rest of the conditional phrase and sentence with your eyebrows back down in their normal position.",nao_temos,,"A base de regras não contém nenhuma regra sobre sentenças condicionais com 'IF' ou sobre o uso de sobrancelhas levantadas como marcador não-manual para condicionais. As regras existentes sobre marcadores não-manuais (como em PRON.2.5) se aplicam a perguntas (WH-questions), não a estruturas condicionais."
ASLFD.014,sintaxe,Classificadores de tamanho e forma,Classificadores (handshapes A/C/F) são usados após o sujeito para detalhar objetos/relações.,quando detalhes específicos são necessários após o sujeito,True,"A (vase, stop sign) ; C (muscle, glass) ; F (coins, polka dots)",52,"Classifiers are nothing more than handshapes that are grouped into categories with a specific purpose as describing something... Since classifiers show detailed information, do not use them until after you have explained the subject of the matter then explain the specifics by using classifiers.",parcial,VERB.3.9,"A base já menciona classificadores como verbos espaciais (VERB.3.9), mas a regra extraída aborda especificamente o uso de classificadores de tamanho/forma (handshapes A/C/F) após o sujeito para detalhar objetos/relações, uma nuance sintática não coberta na base."
ASLFD.015,sintaxe,Evitar verbos 'to be',"Verbos 'to be' (am, are, was, etc.) não existem em ASL; usar TRUE para afirmações declarativas.",uso de verbos 'to be',True,IS (não existe em ASL) ; TRUE (usado para afirmação),55,"Never sign am, are, was, were, be, being, or been. They aren’t used in ASL... It is used for affirmation so put the Sign TRUE at the end of a sentence for anything declarative.",nao_temos,,"A regra extraída trata da ausência de verbos 'to be' em ASL e sua substituição por 'TRUE', fenômeno não abordado em nenhuma regra da base. As regras existentes sobre verbos (VERB.3.x) focam em concordância, classificadores e verbos direcionais, mas não mencionam a ausência de verbos de ligação como 'to be'."
ASLFD.016,pergunta,Formação de perguntas com Q,Perguntas são formadas adicionando Q no final da frase.,quando uma pergunta é feita,True,SIGN YOU Q ; DEAF YOU Q ; WHAT’S UP,57,"If you ask a question, raise your eyebrows and tilt your head forward; doing so shows others that your sentence is a question and that you’re waiting for a response.",nao_temos,,"A regra extraída trata da formação de perguntas gerais com o marcador 'Q' (não-manual), enquanto a base só menciona marcadores não-manuais em perguntas WH (PRON.2.5). A formação de perguntas simples (sim/não) com o marcador 'Q' não está contemplada na base."
ASLFD.017,verbos,Uso do verbo 'FINISH',O verbo 'FINISH' pode indicar tempo passado ou ser usado como reprimenda dependendo do contexto.,quando 'FINISH' é usado,True,FINISH (tempo passado) ; FINISH (reprimenda),45,Although finish is used at the beginning of a sentence to show past tense... it’s also used as humor in Sign to indicate 'enough already' and as a reprimand meaning 'stop that'.,nao_temos,,"A regra extraída aborda o uso contextual do verbo 'FINISH' para indicar tempo passado ou reprimenda, fenômeno não contemplado em nenhuma regra da base. As regras existentes focam em aspectos morfológicos, concordância, classificadores e verbos direcionais, mas não em variações semânticas contextuais de verbos específicos."
ASLFD.018,morfologia,Fingerspelling para nomes próprios,"Quando introduzindo-se, o nome completo é soletrado com a mão (fingerspelling) em ASL.",Introdução de nome próprio em conversa,True,HI — D-E-E ME ; NICE MEET YOU — C-A-M-E-R-O-N ME,60,"Keep in mind that when someone asks you your name, sign your first and last name — it’s good manners.",nao_temos,,"A regra extraída trata da utilização de fingerspelling para nomes próprios em contextos de autointrodução, um fenômeno morfológico específico não abordado em nenhuma das regras da base. As regras existentes focam em derivação verbal-substantiva, compostos, numerais, pronomes e verbos, mas não mencionam fingerspelling ou nomes próprios."
ASLFD.019,morfologia,Ausência de títulos (Mr./Mrs./Ms.),"Títulos como Mr., Mrs. ou Ms. não são usados em ASL; o nome completo é sempre soletrado.",Referência a nomes com títulos,True,HI — D-E-E ME ; NICE MEET YOU — C-A-M-E-R-O-N ME,61,"Titles, such as Mr., Mrs., and Ms., aren’t used in ASL. Simply spell out the person’s name.",nao_temos,,"A base de regras não contém nenhuma regra que trate da ausência de títulos (como Mr./Mrs./Ms.) em ASL ou da necessidade de soletrar nomes completos. As regras existentes abordam morfologia (derivação, compostos, reduplicação) e pronomes, mas não fenômenos relacionados a convenções de nomenclatura ou títulos sociais."
ASLFD.020,sintaxe,Ordem Núcleo-Adjunto (N + Adj),Adjetivos em ASL geralmente seguem o núcleo (substantivo) na estrutura da frase.,Descrição de características de objetos/nomes,True,EVERYTHING EXPENSIVE ; STAMP COST — INCREASE TOO,63,Take a look at some signs for feelings and emotions: SAD HAPPY ANGRY...,nao_temos,,"A base de regras não contém nenhuma regra sobre a ordem sintática de núcleo-adjunto (N + Adj) em ASL. As regras existentes abordam morfologia, pronomes e verbos, mas nenhuma trata da posição dos adjetivos em relação aos substantivos."
ASLFD.021,pronomes,Pronomes espaciais,"Pronomes em ASL são representados por posições no espaço, não por palavras distintas.",Referência a sujeito/objeto na frase,True,ANGRY ME ; ME TOO,65,"Dee: Me, too. Sign: ME TOO",ja_temos,PRON.2.2,"A regra PRON.2.2 da base já aborda a utilização do espaço tridimensional para representar pronomes, atribuindo localizações específicas a referentes e exigindo sua retomada nesses locais. Isso corresponde semanticamente à regra extraída, que destaca que pronomes em ASL são representados por posições no espaço, não por palavras distintas."
ASLFD.022,sintaxe,Conectivos discursivos,"Conectivos como ALSO, BUT, OR são usados para ligar ideias em sequências de pensamento.",Conexão de frases em narrativas,True,ALSO ; BUT ; OR,66,"When you’re ready to connect your thoughts in ASL, use the signs in this section for connectors.",nao_temos,,"A regra extraída trata de conectivos discursivos (ALSO, BUT, OR) para ligar ideias em narrativas, um fenômeno sintático. A base de regras não contém nenhuma regra sobre conectivos ou coordenação de frases, focando apenas em morfologia, pronomes e verbos. Não há correspondência em nenhum dos tópicos existentes."
ASLFD.023,sintaxe,Uso de deslocamento corporal para indicar participantes em diálogo construído,"Em diálogos construídos, o corpo é deslocado lateralmente para assumir a posição de cada participante, mantendo essa posição durante a fala de cada um. O deslocamento para a esquerda ou direita indica alternância entre falantes.",quando descreve conversas com múltiplos participantes,False,Sheri desloca o corpo para a esquerda para representar Aunt Dee ; Sheri desloca o corpo para a direita para representar Aunt Denni,76,"When you engage in Constructed Dialogue, keep a couple of things in mind: Make sure the person with whom you’re signing knows the names of the people you’re talking about and also what the gist of the conversation between the two people was.",nao_temos,,"A regra extraída trata de um fenômeno sintático específico (deslocamento corporal em diálogos construídos), que não é abordado em nenhuma das regras da base, que se concentram em morfologia, pronomes e verbos. As regras existentes não mencionam o uso do corpo para alternância de falantes em contextos dialogais."
ASLFD.024,sintaxe,Ordem de quantidade em expressões numéricas,"Em ASL, a quantidade é expressa após o item, diferente do inglês. A ordem é: ITEM QUANTIDADE. Exemplos: BOOK TWO, CAR FOUR.",quando especifica quantidade de objetos,True,BOOK TWO ; CAR FOUR,78,"When you want to specify more than one item... you sign the item first, followed by the quantity.",nao_temos,,"A regra extraída trata da ordem sintática 'ITEM QUANTIDADE' em expressões numéricas, que não é abordada na base. Embora a base mencione incorporação de numerais (MORF.1.3), isso se refere à fusão fonológica, não à ordem de palavras. Não há regra na base que trate da sequência item-quantidade como fenômeno gramatical independente."
ASLFD.025,morfologia,Orientação da palma nas numerais cardinais,"Números 1-5 e 11-15 são feitos com a palma voltada para o signatário. Números 6-10 e 16-19 são feitos com a palma voltada para o destinatário. Exceções incluem expressões de hora, onde a palma sempre aponta para o destinatário.",quando sinaliza números cardinais,False,1-5 com palma para o signatário ; 6-10 com palma para o destinatário,80,"When you’re indicating quantity and counting things, sign the numbers 1 through 5 and 11 through 15 with your palm facing you and the numbers 6 through 10 and 16 through 19 with your palm facing the person to whom you’re signing.",nao_temos,,"A regra extraída trata da orientação da palma em numerais cardinais (1-5/11-15 vs 6-10/16-19), um fenômeno morfológico específico não abordado em nenhuma regra da base. As regras existentes sobre numerais ([MORF.1.3]) focam em incorporação a substantivos/verbos, não em orientação da palma."
ASLFD.026,morfologia,Formação de numerais ordinais,"Numerais ordinais são formados com um giro do pulso para dentro enquanto se sinaliza o número correspondente. Exemplos: FIRST (com giro do pulso), SECOND (com giro do pulso), THIRD (com giro do pulso).",quando indica posição ordinal,False,FIRST com giro do pulso ; SECOND com giro do pulso,84,"To indicate an ordinal number in ASL, twist your wrist inward while signing the respective number.",nao_temos,,"A base de regras não contém nenhuma regra sobre formação de numerais ordinais por meio de giro do pulso. A regra extraída descreve um fenômeno morfológico específico (giro do pulso para formar FIRST, SECOND, etc.) que não é abordado em nenhuma das regras existentes, incluindo a incorporação de numerais (MORF.1.3), que trata de números como modificador de substantivos/verbos, não de ordinais."
ASLFD.027,sintaxe,Posição temporal no início da frase,Expressões de tempo devem ser colocadas o mais próximo possível do início da frase para contextualizar o evento. Exemplo: TIME FACTOR + SUJEITO + PREDICADO.,quando expressa tempo em frases,True,MORNING + SUJEITO ; TOMORROW + SUJEITO,85,"you should put the expression of time as close to the beginning of the sentence as possible; that is, you generally express the time before the subject.",nao_temos,,"A regra extraída trata da posição temporal no início da frase, um fenômeno sintático. A base de regras não contém nenhuma regra sobre ordem de constituintes ou posicionamento de expressões temporais no nível sintático. As regras existentes focam em morfologia, pronomes e verbos, mas não em estrutura frasal ou ordem de palavras."
ASLFD.028,morfologia,Orientação da palma em números de telefone,Números de telefone e outros códigos numéricos são sinalizados com a palma voltada para o destinatário. Alguns signatários usam o dedo indicador para sinalizar PARÊNTESE antes do código de área.,quando sinaliza números de telefone,False,PHONE-NUMBER com palma para o destinatário,85,"sign the numbers with your palm facing outward, toward the person to whom you’re giving the information.",nao_temos,,"A regra extraída trata da orientação da palma em números de telefone, um fenômeno específico de sinais numéricos. Nenhuma regra da base aborda a orientação da palma em contextos numéricos ou a marcação de parênteses com o dedo indicador, que são aspectos exclusivos de números e códigos. As regras existentes sobre orientação (VERB.3.1-3.3) se aplicam a verbos, não a números."
ASLFD.029,sintaxe,Movimento para contagem em listas,"Ao contar itens em listas, o signatário usa movimentos pequenos laterais ou descendentes para seguir o padrão da lista. O movimento acompanha a direção da lista (horizontal ou vertical).",quando conta itens em listas,False,contagem com movimento lateral ; contagem com movimento descendente,79,Follow the pattern in the list when you sign; just count with a small motion either sideways or downward.,nao_temos,,"A regra extraída trata de movimentos específicos para contagem em listas, um fenômeno sintático não abordado em nenhuma regra da base. As regras existentes focam em morfologia (reduplicação, formação de compostos) e pronomes, mas não mencionam padrões de movimento para listas ou contagem."
ASLFD.030,morfologia,Formação de meses com abreviaturas e soletração,"Meses podem ser formados com abreviaturas (ex.: JAN, FEB) ou soletração completa (ex.: MARCH, APRIL).",Quando se refere a meses no calendário,True,"JAN 22, 2022 ; MARCH 17, 2022",89,"The months that you can abbreviate are Jan., Feb., Aug., Sept., Oct., Nov., and Dec. The months that you should completely spell out are March, April, May, June, and July.",nao_temos,,"A regra extraída trata da formação de meses no texto escrito (abreviaturas ou soletração completa), fenômeno não abordado em nenhuma regra da base. As regras existentes focam em derivação morfológica, compostos, numerais incorporados e reduplicação, mas não em representação de meses."
ASLFD.031,sintaxe,Ordem de elementos em perguntas sim/não,Perguntas sim/não seguem a ordem: verbo + sujeito + objeto + marcador de pergunta (Q).,Frase interrogativa sim/não,True,7 P.M. — MY HOUSE — COME — CAN YOU — Q ; UPSTAIRS — GO ME CAN Q,90,Sign: 7 P.M. — MY HOUSE — COME — CAN YOU — Q,nao_temos,,"A base de regras não contém nenhuma regra sobre a ordem de elementos em perguntas sim/não. As regras existentes sobre perguntas focam em pronomes interrogativos (WH-questions) ou em marcadores não-manuais, mas não abordam a estrutura sintática específica de perguntas sim/não com a ordem verbo + sujeito + objeto + marcador."
ASLFD.032,sintaxe,Estrutura tópico-comentário em endereços,Endereços seguem a estrutura: tópico (localização) + comentário (detalhes).,Declaração de endereço,True,REMEMBER — HOUSE — WEST — D-R — 3-2-9 ; HOUSE — THIRD RIGHT — STREET — WEST — D-R,91,Sign: REMEMBER — HOUSE — WEST — D-R — 3-2-9,nao_temos,,"A regra extraída trata da estrutura tópico-comentário em endereços, um fenômeno sintático específico. A base de regras não contém nenhuma regra sobre estrutura sintática de endereços ou uso de tópico-comentário em ASL, focando apenas em morfologia, pronomes e verbos."
ASLFD.033,verbos,Concordância direcional em verbos,Verbos direcionais indicam posição/ação usando orientação espacial (ex.: THIRD RIGHT).,Indicação de posição/ordem,True,HOUSE — THIRD RIGHT — STREET — WEST — D-R,92,Sign: HOUSE — THIRD RIGHT — STREET — WEST — D-R,conflito,VERB.3.8,"A regra extraída e a base abordam verbos direcionais e sua relação com o espaço, mas divergem na verificabilidade no texto. A base afirma que a direcionalidade NÃO se verifica no texto, enquanto a regra extraída afirma que é verificável (ex.: 'THIRD RIGHT')."
ASLFD.034,sintaxe,Estrutura de frases declarativas,Frases declarativas seguem a ordem: sujeito + verbo.,Declaração simples,True,DOOR — LOCKED ; KITCHEN — HOT,96,Sign: DOOR — LOCKED,nao_temos,,"A base de regras não contém nenhuma regra sobre a estrutura sintática de frases declarativas ou ordem de palavras (sujeito + verbo). Todas as regras existentes tratam de morfologia (derivacão, reduplicação, classificadores) ou pronomes, mas nenhuma aborda a ordem sintática de constituintes no texto da glosa."
ASLFD.035,pergunta,Estrutura de perguntas sobre posse,Perguntas sobre posse seguem a ordem: tópico + marcador de pergunta (Q).,Pergunta sobre posse,True,BEDROOM — YOURS Q,101,Sign: BEDROOM — YOURS Q,nao_temos,,"A regra extraída trata especificamente de perguntas sobre posse seguindo a estrutura 'tópico + marcador de pergunta (Q)', fenômeno não abordado em nenhuma regra da base. As regras existentes sobre pronomes interrogativos (PRON.2.5) cobrem WH-questions em geral, mas não especificam a estrutura de perguntas de posse com esse padrão."
ASLFD.036,sintaxe,Ordem sujeito-verbo,"Em frases afirmativas, o verbo segue o sujeito (ex.: COUCH — SIT).",Frase com localização e ação,True,COUCH — SIT ; LAMP O-N ; MY CARPET — WHITE,105,English: Sit on the couch. Sign: COUCH — SIT,nao_temos,,"A regra extraída trata da ordem linear sujeito-verbo em frases afirmativas, um fenômeno sintático. A base de regras da consultoria não contém nenhuma regra que aborde a ordem linear de constituintes (sujeito-verbo) no texto da glosa. As regras existentes focam em morfologia (reduplicação, formação de compostos) ou em concordância espacial/verbal, mas não em ordem sintática."
ASLFD.037,sintaxe,Posição dos adjetivos,Adjetivos aparecem após o substantivo (ex.: PICTURE — PRETTY).,Frase com descrição de objeto,True,PICTURE — PRETTY ; MY CARPET — WHITE,106,English: The picture is pretty. Sign: PICTURE — PRETTY,nao_temos,,"A base de regras não contém nenhuma regra sobre a posição de adjetivos em relação a substantivos. As regras existentes tratam de morfologia (derivação, reduplicação, compostos) e pronomes, mas não abordam a ordem sintática de adjetivos após substantivos, que é o fenômeno descrito na regra extraída."
ASLFD.038,sintaxe,Lista de objetos + verbo,Listas de objetos precedem o verbo (ex.: COUCH LAMP PICTURES — NEED US).,Frase com múltiplos objetos e verbo,True,COUCH LAMP PICTURES — NEED US,108,Sign: COUCH LAMP PICTURES — NEED US,nao_temos,,"A regra extraída trata de uma estrutura sintática específica (objetos precedendo o verbo em listas), que não é abordada em nenhuma regra da base. As regras de verbos da base focam em concordância, classificadores e direcionalidade, mas não mencionam a ordem de objetos múltiplos em relação ao verbo."
ASLFD.039,pronomes,Referência espacial a entidades ausentes,Entidades ausentes são referenciadas por pontos específicos no espaço usando o dedo indicador (ex.: HOUSE YARD — BIG).,Mencão a pessoa/objeto não presente,False,HOUSE YARD — BIG ; KITCHEN — WANT SEE ME,107,All you have to do to discuss someone who isn’t physically present is assign that person a point in the space near your passive hand.,ja_temos,PRON.2.2,"A regra PRON.2.2 já aborda a referenciação espacial de entidades, incluindo a atribuição de localização no espaço para referentes e sua retomada. A regra extraída é um caso específico dessa mecânica, mas o fenômeno central (uso do espaço para referir entidades ausentes) já está contemplado na base."
ASLFD.040,pergunta,Formação de perguntas,"Palavras interrogativas aparecem no final da frase, seguidas do sinal Q (ex.: KITCHEN — WANT SEE ME Q).",Frase interrogativa com palavras-chave,True,KITCHEN — WANT SEE ME Q,117,You simply put the question word at the end of the sentence... the letter Q follows all ASL examples and dialogues that are questions.,parcial,PRON.2.5,"A base já menciona que pronomes interrogativos (WH-questions) podem estar no final da frase, mas não aborda explicitamente a marcação do sinal Q após a palavra interrogativa, que é a nuance adicional da regra extraída."
ASLFD.041,pergunta,Formação de perguntas com verbo + WHO/WHAT + Q,Perguntas em ASL seguem a estrutura verbo seguido do pronome interrogativo e marcador de pergunta (Q).,"Frase interrogativa com 'who', 'what', etc.",True,GOING — WHO Q ; MEAN — WHAT Q,120,Check out the following examples of short questions: English: Who is going? Sign: GOING — WHO Q,ja_temos,PRON.2.5,"A regra PRON.2.5 já aborda a formação de perguntas interrogativas com WH-questions (WHO, WHAT, WHERE etc.), incluindo a marcação não-manual (Q) e a posição dos pronomes interrogativos no texto. A estrutura 'verbo + WHO/WHAT + Q' da regra extraída está contida na descrição geral de PRON.2.5 sobre a formação de perguntas com WH-questions."
ASLFD.042,pergunta,Pronome implícito em perguntas,"O sujeito 'you' pode ser omitido em perguntas diretas, sendo implícito pelo contexto da interação.",Pergunta direta a alguém já identificado,True,MEAN — WHAT Q,120,Sign: MEAN — WHAT Q (the word 'you' is implied because you’re talking to that person already),nao_temos,,"A regra extraída trata da omissão do sujeito 'you' em perguntas diretas quando o contexto já identifica o destinatário. Nenhuma regra da base menciona a omissão de pronomes em perguntas, mesmo que PRON.2.5 aborde perguntas interrogativas, as exemplos incluem o pronome explicitamente (ex.: 'WHERE YOU FIND?'). A base não contempla a possibilidade de omissão contextual."
ASLFD.043,pronomes,Ordem de pronomes possessivos,"Pronomes possessivos podem vir antes ou depois do substantivo, sem alterar o significado",Quando um pronome possessivo é usado com um substantivo,True,DOG MINE ; MY DOG,140,Put the possessive pronoun sign before or after the person or thing you’re signing; the order doesn’t matter.,parcial,PRON.2.3,"A base (PRON.2.3) aborda pronomes possessivos como determinantes, mas não menciona a flexibilidade de ordem (antes/depois do substantivo) sem alteração de significado, que é a nuance central da regra extraída."
ASLFD.044,sintaxe,Ordem em frases direcionais,"A ordem é ponto de referência, seguido do alvo e da direção",Quando se dá direções usando pontos de referência,True,STORE — MY HOUSE — WEST,145,My house is west of the store. Sign: STORE — MY HOUSE — WEST,nao_temos,,"A regra extraída trata da ordem sintática em frases direcionais (referência, alvo, direção), um fenômeno de sintaxe não abordado em nenhuma regra da base, que foca em morfologia, pronomes e verbos, mas não em estrutura frasal direcional."
ASLFD.045,morfologia,Reduplicação para repetição,Repetir o sinal para indicar ação repetida,Quando se quer expressar ação repetida,True,RIGHT — RIGHT,146,Notice that you don’t sign the word twice; you simply sign right twice,ja_temos,MORF.1.4,"A regra extraída sobre reduplicação para ação repetida está contemplada na base como parte da regra MORF.1.4, que menciona a reduplicação para indicar aspecto verbal (como ação repetida). A base já abrange esse fenômeno, mesmo que com uma formulação mais abrangente."
ASLFD.046,sintaxe,Ordem sujeito-verbo com sujeito singular,O verbo precede o pronome sujeito singular,Frases com sujeito singular,True,RICH HIM,142,He is rich. Sign: RICH HIM,nao_temos,,"A regra extraída trata da ordem sujeito-verbo com sujeito singular (verbo precede pronome sujeito), fenômeno não abordado em nenhuma regra da base. As regras da base sobre verbos (ex.: VERB.3.6 e VERB.3.7) descrevem ordens sujeito-verbo-objeto ou sujeito-objeto-verbo, mas não mencionam inversão com sujeito singular."
ASLFD.047,sintaxe,Ordem sujeito-verbo com sujeito plural,O sujeito (substantivo) precede o verbo e o pronome,Frases com sujeito plural,True,GOLD HAVE THEM,143,They have gold. Sign: GOLD HAVE THEM,ja_temos,VERB.3.7,"A regra [VERB.3.7] já estabelece que em verbos simples (plain verbs), o sujeito e o objeto devem aparecer como sinais separados, seguindo a ordem sujeito-verbo-objeto. A regra extraída é um caso específico dessa estrutura geral, aplicando-se a sujeitos plurais, mas a base já contempla a ordem sujeito-verbo como parte da sintaxe dos verbos simples."
