id,text,gloss
27675,slapping a ban on overpopulated seals is madness and a complete failure of our values .,SLAPPING BAN ON OVERPOPULATE SEAL BE MADNESS AND DESC-COMPLETE FAILURE X-WE VALUE .
27782,concern was also expressed about the criteria for severity bands .,CONCERN BE DESC-ALSO DESC-EXPRESS ABOUT CRITERION FOR SEVERITY BAND .
27891,all of those are included in this proposal .,ALL THOSE BE INCLUDE IN THIS PROPOSAL .
28243,"i abstained on the amended proposal , because I feel that on this issue no compromises are necessary .","X-I ABSTAIN ON AMEND PROPOSAL , BECAUSE X-I FEEL THAT ON THIS ISSUE NO COMPROMISE BE DESC-NECESSARY ."
28679,i share the view of commissioner barroso .,X-I SHARE VIEW COMMISSIONER BARROSO .
28768,it does not augur well that some member states do not want the employment summit this thursday .,X-IT DO DESC-NOT AUGUR DESC-WELL THAT SOME MEMBER STATE DO DESC-NOT WANT EMPLOYMENT SUMMIT THIS THURSDAY .
28807,thus I once again welcome the changes that have been made regarding this fund .,DESC-THUS X-I DESC-ONCE DESC-AGAIN DESC-WELCOME CHANGE THAT HAVE BE MAKE REGARD THIS FUND .
28886,"as you perhaps know , the krško nuclear power plant is situated on this fault line .",KO DESC-NUCLEAR POWER PLANT BE SITUATE ON THIS FAULT LINE .
28915,"at the same time , each member state decides whether or not to use nuclear energy .","AT DESC-SAME TIME , EACH MEMBER STATE DECIDE WHER OR DESC-NOT TO USE DESC-NUCLEAR ENERGY ."
29278,what should we do to change this ?,WHAT SHOULD X-WE DO TO CHANGE THIS ?
29473,this really ought to be self evident .,THIS DESC-REALLY OUGHT TO BE SELF DESC-EVIDENT .
29893,"mr president , you have tackled many activities in your two and a half year term of office .","MR PRESIDENT , X-YOU HAVE TACKLE DESC-MANY ACTIVITY IN X-YOU TWO AND HALF YEAR TERM OFFICE ."
30043,"millions of europeans rely on the internet , whether directly or indirectly , in their daily lives .","MILLION EUROPEAN RELY ON INTERNET , WHER DESC-DIRECTLY OR DESC-INDIRECTLY , IN X-Y DESC-DAILY LIFE ."
30183,"once again , this must encourage us to reflect in order to prepare more effective strategies in the future .","DESC-ONCE DESC-AGAIN , THIS MUST ENCOURAGE X-WE TO REFLECT IN ORDER TO PREPARE MORE DESC-EFFECTIVE STRATEGY IN FUTURE ."
30517,"maintaining good neighbourly relations , including a negotiated and mutually acceptable solution on the main issue , remains essential .","MAINTAIN DESC-GOOD DESC-NEIGHBOURLY RELATION , INCLUDE NEGOTIATE AND DESC-MUTUALLY DESC-ACCEPTABLE SOLUTION ON DESC-MAIN ISSUE , REMAIN DESC-ESSENTIAL ."
30534,"at the time , few of us could have guessed the scale of the coming economic crisis .","AT TIME , DESC-FEW X-WE COULD HAVE GUESS SCALE COME DESC-ECONOMIC CRISIS ."
31407,"these demand our engagement , condemnation and action .","SE DEMAND X-WE ENGAGEMENT , CONDEMNATION AND ACTION ."
31593,this same sector considers that the government is showing an intolerant attitude towards criticism .,THIS DESC-SAME SECTOR CONSIDER THAT GOVERNMENT BE SHOW DESC-INTOLERANT ATTITUDE TOWARDS CRITICISM .
32109,the result is that there is no single approach .,RESULT BE THAT DESC-RE BE NO DESC-SINGLE APPROACH .
32120,we believe this to be very much rooted in the past and it must stop .,X-WE BELIEVE THIS TO BE DESC-VERY DESC-MUCH ROOT IN PAST AND X-IT MUST STOP .
32347,i hope that we will cooperate closely and I hope to see you again in the autumn .,X-I HOPE THAT X-WE WILL COOPERATE DESC-CLOSELY AND X-I HOPE TO SEE X-YOU DESC-AGAIN IN AUTUMN .
32515,yet china is a huge country with considerable internal challenges and differences between its regions .,DESC-YET CHINA BE DESC-HUGE COUNTRY WITH DESC-CONSIDERABLE DESC-INTERNAL CHALLENGE AND DIFFERENCE BETWEEN X-ITS REGION .
32975,that is not a question for mrs lope fontagné .,THAT BE DESC-NOT QUESTION FOR MR LOPE FONTAGN? .
34460,"as you can see , I cannot be as pessimistic as some of those who have spoken here today .","AS X-YOU CAN SEE , X-I CAN DESC-NOT BE AS DESC-PESSIMISTIC AS SOME THOSE WHO HAVE SPEAK DESC-HERE TODAY ."
34544,member of the commission . I understand very well the strength of feeling .,X-I UNDERSTAND DESC-VERY DESC-WELL STRENGTH FEELING .
34693,they should do anything that can be seen if they want people to believe in them .,X-Y SHOULD DO ANYTHING THAT CAN BE SEE IF X-Y WANT PEOPLE TO BELIEVE IN X-Y .
34740,we also need to do something about trade .,X-WE DESC-ALSO NEED TO DO SOMETHING ABOUT TRADE .
34763,my third question is the g20 is also part of the preparations for copenhagen .,X-MY DESC-THIRD QUESTION BE G20 BE DESC-ALSO PART PREPARATION FOR COPENHAGEN .
34995,"some members , mrs krehl and mr itälä , have raised the matter of resources .",", HAVE RAISE MATTER RESOURCE . ?"
35015,"however , it is to be agreed in the future work related to the implementation of the strategy .","DESC-HOWEVER , X-IT BE TO BE AGREE IN FUTURE WORK RELATE TO IMPLEMENTATION STRATEGY ."
35115,our political environment cannot be one where people close their eyes to the facts .,X-WE DESC-POLITICAL ENVIRONMENT CAN DESC-NOT BE ONE WHERE PEOPLE DESC-CLOSE X-Y EYE TO FACT .
35405,"their journey has not been easy , but the efforts which have been made must be fully recognised .","X-Y JOURNEY HAVE DESC-NOT BE DESC-EASY , BUT EFFORT WHICH HAVE BE MAKE MUST BE DESC-FULLY RECOGNIZE ."
36072,"mr president , the open market is a joint european achievement .","MR PRESIDENT , DESC-OPEN MARKET BE DESC-JOINT EUROPEAN ACHIEVEMENT ."
36445,are we seriously suggesting the kazakh government threw a civilian under the car wheels of a human rights activist ?,BE X-WE DESC-SERIOUSLY SUGGEST KAZAKH GOVERNMENT THROW DESC-CIVILIAN UNDER CAR WHEEL DESC-HUMAN RIGHTS ACTIVIST ?
36458,we have therefore signed the resolution .,X-WE HAVE DESC-REFORE SIGN RESOLUTION .
36487,mr al hassani must be released .,MR AL HASSANUS MUST BE RELEASE .
37955,the draft proposals submitted for debate today are a variation of an evaluation mechanism .,DRAFT PROPOSAL SUBMIT FOR DEBATE TODAY BE VARIATION EVALUATION MECHANISM .
38452,these are the realistic ways of tackling climate change .,SE BE DESC-REALISTIC WAY TACKLE CLIMATE CHANGE .
38494,have you ever played russian roulette ?,HAVE X-YOU DESC-EVER PLAY RUSSIAN ROULETTE ?
39143,we have also increased the allocation for the programme of research for small and medium sized businesses .,X-WE HAVE DESC-ALSO INCREASE ALLOCATION FOR PROGRAM RESEARCH FOR DESC-SMALL AND MEDIUM SIZE BUSINESS .
40332,constitutional courts are now debating this issue as well and want to make a decision .,DESC-CONSTITUTIONAL COURT BE DESC-NOW DEBATE THIS ISSUE AS DESC-WELL AND WANT TO MAKE DECISION .
40883,"there is no one truth , there are several truths and they often contradict each other .","DESC-RE BE NO ONE TRUTH , DESC-RE BE DESC-SEVERAL TRUTH AND X-Y DESC-OFTEN CONTRADICT EACH DESC-OR ."
41271,formal sitting 20th anniversary of the democratic change in central and eastern europe,DESC-FORMAL SIT DESC-20TH ANNIVERSARY DESC-DEMOCRATIC CHANGE IN DESC-CENTRAL AND DESC-EASTERN EUROPE
41373,it is up to us to change this trend .,X-IT BE DESC-UP TO X-WE TO CHANGE THIS TREND .
42513,maybe it sounds like I am taking the high moral ground I am not .,DESC-MAYBE X-IT SOUND LIKE X-I BE TAKE DESC-HIGH DESC-MORAL GROUND X-I BE DESC-NOT .
42530,"hu I , too , would like to thank the european ombudsman for his work .","HU X-I , DESC-TOO , WOULD LIKE TO THANK EUROPEAN OMBUDSMAN FOR X-HE WORK ."
44144,allow me to comment on two areas .,ALLOW X-I TO COMMENT ON TWO AREA .
44339,i therefore ask the house to support the motion .,X-I DESC-REFORE ASK HOUSE TO SUPPORT MOTION .
44613,there is also the matter of human rights .,DESC-RE BE DESC-ALSO MATTER DESC-HUMAN RIGHTS .
44623,could the commission answer how many free trade agreements we are negotiating or have negotiated up to now ?,COULD COMMISSION ANSWER HOW DESC-MANY DESC-FREE TRADE AGREEMENT X-WE BE NEGOTIATE OR HAVE NEGOTIATE DESC-UP TO DESC-NOW ?
45111,"let us move forward and , again , make a firm financial commitment to developing countries .","LET X-WE MOVE DESC-FORWARD AND , DESC-AGAIN , MAKE FIRM DESC-FINANCIAL COMMITMENT TO DEVELOP COUNTRY ."
46595,"another positive aspect is agriculture , which used to be a real source of concern .","ANOR DESC-POSITIVE ASPECT BE AGRICULTURE , WHICH USE TO BE DESC-REAL SOURCE CONCERN ."
47081,thirty six pirate vessels have been intercepted and 14 direct attacks have been avoided .,THIRTY SIX PIRATE VESSEL HAVE BE INTERCEPT AND 14 DESC-DIRECT ATTACK HAVE BE AVOID .
47429,"mr president , if you would allow me , I shall just go through some of the different sectors .","MR PRESIDENT , IF X-YOU WOULD ALLOW X-I , X-I SHALL DESC-JUST GO THROUGH SOME DESC-DIFFERENT SECTOR ."
47476,these should be the subjects of our debates if we are finally to end the agricultural crisis .,SE SHOULD BE SUBJECT X-WE DEBATE IF X-WE BE DESC-FINALLY TO END DESC-AGRICULTURAL CRISIS .
47605,we call for a new start to the process .,X-WE CALL FOR DESC-NEW START TO PROCESS .
47848,the economic crisis has become an acutely felt social crisis for which we have not yet found a solution .,DESC-ECONOMIC CRISIS HAVE BECOME DESC-ACUTELY FEEL DESC-SOCIAL CRISIS FOR WHICH X-WE HAVE DESC-NOT DESC-YET FIND SOLUTION .
48549,conditions for an effective eu us partnership on the middle east have rarely been as good .,CONDITION FOR DESC-EFFECTIVE EU X-WE PARTNERSHIP ON MIDDLE DESC-EAST HAVE DESC-RARELY BE AS DESC-GOOD .
48973,we are not sparing any effort to support georgia .,X-WE BE DESC-NOT DESC-SPARE ANY EFFORT TO SUPPORT GEORGIUM .
49038,"mr president , yesterday in ireland , a conference addressed the topic of aid and eastern europe .","MR PRESIDENT , YESTERDAY IN IRELAND , CONFERENCE ADDRESS TOPIC AID AND DESC-EASTERN EUROPE ."
49644,we must therefore balance the need for joint action with respect for the rights of our member states .,X-WE MUST DESC-REFORE BALANCE NEED FOR DESC-JOINT ACTION WITH RESPECT FOR RIGHTS X-WE MEMBER STATE .
49764,the financial crisis has revealed the weak points in our financial supervision system .,DESC-FINANCIAL CRISIS HAVE REVEAL DESC-WEAK POINT IN X-WE DESC-FINANCIAL SUPERVISION SYSTEM .
49826,"if there should be a no vote , the money would not be handed back to the taxpayer .","IF DESC-RE SHOULD BE NO VOTE , MONEY WOULD DESC-NOT BE HAND DESC-BACK TO TAXPAYER ."
49852,wto members must remain committed to actively fighting protectionism .,WTO MEMBER MUST REMAIN DESC-COMMITTED TO DESC-ACTIVELY FIGHT PROTECTIONISM .
50048,"however , the question is not when , but how , we pull out of afghanistan .","DESC-HOWEVER , QUESTION BE DESC-NOT WHEN , BUT HOW , X-WE PULL OUT AFGHANISTAN ."
50461,subject negotiations for turkey to take part in joint frontex operations,SUBJECT NEGOTIATION FOR TURKEY TO TAKE PART IN DESC-JOINT FRONTEX OPERATION
51885,neither were there any weapons of mass destruction nor any connection between saddam hussein and al qaeda .,NEIR BE DESC-RE ANY WEAPON MASS DESTRUCTION NOR ANY CONNECTION BETWEEN SADDAM HUSSEIN AND AL QAEDA .
52325,the matter of neighbourhood relations must be a priority .,MATTER NEIGHBORHOOD RELATION MUST BE PRIORITY .
52379,what europe needs is to adopt some aspects of the spanish model .,WHAT EUROPE NEED BE TO ADOPT SOME ASPECT SPANISH MODEL .
52610,"es hello , mr rodríguez zapatero .",GUEZ ZAPATERO . MR RODR ?
55017,other very important challenges need to be tackled during this mandate .,DESC-OR DESC-VERY DESC-IMPORTANT CHALLENGE NEED TO BE TACKLE DURING THIS MANDATE .
55332,that is exactly what we expect from the new commission .,THAT BE DESC-EXACTLY WHAT X-WE EXPECT FROM DESC-NEW COMMISSION .
55363,that is what the 500 million europeans who are watching us are expecting right now .,THAT BE WHAT 500 MILLION EUROPEAN WHO BE WATCH X-WE BE EXPECT DESC-RIGHT DESC-NOW .
55422,more and more issues are transversal or horizontal by nature .,MORE AND MORE ISSUE BE TRANSVERSAL OR DESC-HORIZONTAL BY NATURE .
55491,the commission does not want their support .,COMMISSION DO DESC-NOT WANT X-Y SUPPORT .
56185,the instrument works .,INSTRUMENT WORK .
57016,let us look at our own behaviour here in this european parliament .,LET X-WE LOOK AT X-WE DESC-OWN BEHAVIOR DESC-HERE IN THIS EUROPEAN PARLIAMENT .
57453,then it is easier to live and establish good relations with one's neighbours .,DESC-N X-IT BE DESC-EASIER TO DESC-LIVE AND ESTABLISH DESC-GOOD RELATION WITH ONE X-POSS NEIGHBOR .
58909,the burmese regime is a problem we have struggled with for years .,BURMESE REGIME BE PROBLEM X-WE HAVE STRUGGLE WITH FOR YEAR .
59208,"so , can we please not talk as if , somehow , growth is going to deliver jobs ?","DESC-SO , CAN X-WE PLEASE DESC-NOT TALK AS IF , DESC-SOMEHOW , GROWTH BE GO TO DELIVER JOB ?"
59460,it represents the highest aspirations for all of us on this planet and deserves all of our support .,X-IT REPRESENT DESC-HIGHEST ASPIRATION FOR ALL X-WE ON THIS PLANET AND DESERVE ALL X-WE SUPPORT .
59501,we must assume our responsibilities to the peoples of europe and the peoples of the whole world .,X-WE MUST ASSUME X-WE RESPONSIBILITY TO PEOPLE EUROPE AND PEOPLE WHOLE WORLD .
60173,most fish stocks are collapsing .,MOST FISH STOCK BE COLLAPSE .
60248,"fourthly , recognising past efforts most important .","DESC-FOURTHLY , RECOGNIZE PAST EFFORT MOST DESC-IMPORTANT ."
60620,i could go on .,X-I COULD GO ON .
61379,i understand from sources in the field that financial administration is often a problem among micro entities .,X-I UNDERSTAND FROM SOURCE IN FIELD THAT DESC-FINANCIAL ADMINISTRATION BE DESC-OFTEN PROBLEM AMONG MICRO ENTITY .
62327,"if you could work with parliament , then I will work with the commission .","IF X-YOU COULD WORK WITH PARLIAMENT , DESC-N X-I WILL WORK WITH COMMISSION ."
63732,the situation is a sensitive one and the conflict between the parties has become polarised .,SITUATION BE DESC-SENSITIVE ONE AND CONFLICT BETWEEN PARTY HAVE BECOME POLARISE .
64075,it is estimated that there are around 200 other political prisoners in cuba .,X-IT BE ESTIMATE THAT DESC-RE BE AROUND 200 DESC-OR DESC-POLITICAL PRISONER IN CUBA .
64719,gilad and his family need our help .,GILAD AND X-HE FAMILY NEED X-WE HELP .
65468,"tibetans are forbidden from doing anything to rescue their own culture , identity and religion .","TIBETAN BE FORBID FROM DO ANYTHING TO RESCUE X-Y DESC-OWN CULTURE , IDENTITY AND RELIGION ."
65645,"here I am referring to heading 1a and heading in other words , the report on priorities is clearly upgrading heading what is important is implementation . that should be at cruising speed by 20therefore , I am looking forward now to starting the procedure for 20brussels , too , must watch how it spends every public euro .","THAT SHOULD BE AT CRUISE SPEED BY DESC-20REFORE , X-I BE LOOK DESC-FORWARD DESC-NOW TO START PROCEDURE FOR DESC-20BRUSSEL , DESC-TOO , MUST WATCH HOW X-IT SPEND EVERY PUBLIC EURO ."
66270,there is no coordinated fiscal policy so it is doomed to failure and it is failing as we speak .,DESC-RE BE NO COORDINATE DESC-FISCAL POLICY DESC-SO X-IT BE DOOM TO FAILURE AND X-IT BE FAIL AS X-WE SPEAK .
66573,there should be a clear divide .,DESC-RE SHOULD BE DESC-CLEAR DIVIDE .
66575,"mr president , may I also thank mr scottà for the work in this important report .","MR PRESIDENT , MAY X-I DESC-ALSO THANK MR SCOTT? FOR WORK IN THIS DESC-IMPORTANT REPORT ."
66817,i voted for the report on the future of food quality policy .,X-I VOTE FOR REPORT ON FUTURE FOOD QUALITY POLICY .
67872,"so far , around 6 million works from our european cultural heritage have been digitised .","DESC-SO DESC-FAR , AROUND 6 MILLION WORK FROM X-WE EUROPEAN DESC-CULTURAL HERITAGE HAVE BE DIGITISE ."
69196,"one of these concerns visa free travel , which you , baroness ashton , have already referred to .","ONE SE CONCERN VISA DESC-FREE TRAVEL , WHICH X-YOU , BARONESS ASHTON , HAVE DESC-ALREADY REFER TO ."
69385,"nevertheless , question time is scheduled until 8.30 on our agenda .","DESC-NEVERLESS , QUESTION TIME BE SCHEDULE UNTIL 8.30 ON X-WE AGENDA ."
69547,"that does not mean money leaving the region oh no , it means money being spent .","THAT DO DESC-NOT MEAN MONEY LEAVE REGION OH NO , X-IT MEAN MONEY BE SPEND ."
69855,"mr president , another point concerns actual customs checks by member states .","MR PRESIDENT , ANOR POINT CONCERN DESC-ACTUAL CUSTOM CHECK BY MEMBER STATE ."
70043,they have criticised the country's leadership and president .,X-Y HAVE CRITICISE COUNTRY X-POSS LEADERSHIP AND PRESIDENT .
70317,the agreement will ensure that eu citizens have access to non discriminatory administrative and judicial rights .,AGREEMENT WILL ENSURE THAT EU CITIZEN HAVE ACCESS TO NON DESC-DISCRIMINATORY DESC-ADMINISTRATIVE AND DESC-JUDICIAL RIGHTS .
70414,we need disclosure regulations like the usa's privacy act .,X-WE NEED DISCLOSURE REGULATION LIKE USA X-POSS PRIVACY ACT .
