id,text,gloss_input,gloss_output_1,gloss_output_2
7610,this is how they fall prey to dangerous temptations .,THIS BE HOW X-Y FALL PREY TO DESC-DANGEROUS TEMPTATION .,HOW THEY FALL PREY DANGEROUS TEMPTATION,THIS HOW Y FALL PREY DANGEROUS TEMPTATION.
8345,we hope for protection of rights for groups that is our goal .,X-WE HOPE FOR PROTECTION RIGHTS FOR GROUP THAT BE X-WE GOAL .,HOPE PROTECTION RIGHTS GROUPS GOAL,WE HOPE PROTECTION RIGHT GROUP THAT WE GOAL.
8411,"this does not conform to the european union , its principles or its values .","THIS DO DESC-NOT CONFORM TO EUROPEAN UNION , X-ITS PRINCIPLE OR X-ITS VALUE .",NOT CONFORM EUROPEAN UNION PRINCIPLE OR VALUE,"THIS NOT CONFORM EUROPEAN UNION , ITS PRINCIPLE OR ITS VALUE ."
8694,"it does have the effect slightly of trapping heat around the world , but how ?","X-IT DO HAVE EFFECT DESC-SLIGHTLY TRAP HEAT AROUND WORLD , BUT HOW ?",HAVE EFFECT SLIGHTLY TRAP HEAT AROUND WORLD BUT HOW?,"HOW , IT HAVE EFFECT SLIGHTLY TRAP HEAT AROUND WORLD , BUT ?"
9091,"climate change calls for us to take a step forward in development , not a step back .","CLIMATE CHANGE CALL FOR X-WE TO TAKE STEP DESC-FORWARD IN DEVELOPMENT , DESC-NOT STEP DESC-BACK .",CALL CLIMATE CHANGE TAKE STEP FORWARD IN DEVELOPMENT NOT STEP BACK,"CLIMATE CHANGE CALL WE TAKE STEP FORWARD DEVELOPMENT , NOT STEP BACK ."
9136,the celebrations and salutations surrounding president obama are making people delude themselves about the policy of imperialism .,CELEBRATION AND SALUTATION SURROUND PRESIDENT OBAMA BE MAKE PEOPLE DELUDE X-MSELVES ABOUT POLICY IMPERIALISM .,CELEBRATION AND SALUTATION SURROUND PRESIDENT OBAMA MAKE PEOPLE DELUDE THEMSELVES ABOUT POLICY IMPERIALISM,CELEBRATION AND SALUTATION SURROUND PRESIDENT OBAMA MAKE PEOPLE DELUDE MSELVES POLICY IMPERIALISM .
9325,"however , in the given circumstances , what is important is that the european union successfully completes the mission .","DESC-HOWEVER , IN GIVE CIRCUMSTANCE , WHAT BE DESC-IMPORTANT BE THAT EUROPEAN UNION DESC-SUCCESSFULLY DESC-COMPLETE MISSION .",HOWEVER IN GIVEN CIRCUMSTANCES WHAT IMPORTANT IS THAT EUROPEAN UNION COMPLETE MISSION SUCCESSFULLY.,"HOWEVER , GIVE CIRCUMSTANCE , WHAT IMPORTANT THAT EUROPEAN UNION COMPLETE MISSION SUCCESSFULLY ."
9378,there are now several member states which already use this instrument .,DESC-RE BE DESC-NOW DESC-SEVERAL MEMBER STATE WHICH DESC-ALREADY USE THIS INSTRUMENT .,NOW RE SEVERAL MEMBER STATE WHICH ALREADY USE THIS INSTRUMENT.,NOW BE SEVERAL MEMBER STATE WHICH ALREADY USE THIS INSTRUMENT.
10342,we call on both sides of the conflict to minimise civilian losses and to commence peace negotiations .,X-WE CALL ON BOTH SIDE CONFLICT TO MINIMIZE DESC-CIVILIAN LOSS AND TO COMMENCE PEACE NEGOTIATION .,CALL BOTH SIDE CONFLICT MINIMIZE CIVILIAN LOSS COMMENCE PEACE NEGOTIATION.,WE CALL ON BOTH SIDE CONFLICT MINIMISE CIVILIAN LOSS AND COMMENCE PEACE NEGOTIATION .
10348,aid agencies must be given unrestricted access to the civilian population in a cease fire to be agreed .,AID AGENCY MUST BE GIVE DESC-UNRESTRICTED ACCESS TO DESC-CIVILIAN POPULATION IN CEASE FIRE TO BE AGREE .,MUST AID AGENCY GIVEN UNRESTRICTED ACCESS CIVILIAN POPULATION IN CEASE FIRE AGREED,AID AGENCY MUST GIVE UNRESTRICTED ACCESS CIVILIAN POPULATION CEASE FIRE AGREE .
10478,we were all horrified by the violent power of this natural disaster and its horrendous consequences .,X-WE BE ALL HORRIFY BY DESC-VIOLENT POWER THIS DESC-NATURAL DISASTER AND X-ITS DESC-HORRENDOUS CONSEQUENCE .,ALL HORRIFY THIS NATURAL DISASTER VIOLENT POWER HORRENDOUS CONSEQUENCE,WE ALL HORRIFY BY VIOLENT POWER THIS NATURAL DISASTER AND ITS HORRENDOUS CONSEQUENCE .
11246,parliament should not encourage any type of confrontation with the democratic institutions in venezuela .,PARLIAMENT SHOULD DESC-NOT ENCOURAGE ANY TYPE CONFRONTATION WITH DESC-DEMOCRATIC INSTITUTION IN VENEZUELUM .,PARLIAMENT SHOULD NOT ENCOURAGE ANY CONFRONTATION DEMOCRATIC INSTITUTION VENEZUELA,PARLIAMENT SHOULD NOT ENCOURAGE ANY TYPE CONFRONTATION DEMOCRATIC INSTITUTION VENEZUELUM .
11415,i will briefly point out some of the contributions that the report makes .,X-I WILL BRIEFLY POINT OUT SOME CONTRIBUTION THAT REPORT MAKE .,BRIEFLY POINT OUT SOME CONTRIBUTION REPORT MAKE.,WILL BRIEFLY POINT OUT SOME CONTRIBUTION THAT REPORT MAKE.
11935,i was therefore very pleased to support this report .,X-I BE DESC-REFORE DESC-VERY DESC-PLEASED TO SUPPORT THIS REPORT .,THEREFORE VERY PLEASED SUPPORT THIS REPORT,THANK_YOU
12176,i am firmly in favour of strengthening the esdp .,X-I BE DESC-FIRMLY IN FAVOR STRENGN ESDP .,FIRMLY FAVOR STRENGTHEN ESDP.,FIRMLY FAVOUR STRENGTHEN ESDP .
12300,i would ask for your support .,X-I WOULD ASK FOR X-YOU SUPPORT .,WOULD ASK SUPPORT,WOULD ASK YOU SUPPORT.
12696,smes account for more than 90 % of the eu economy and two thirds of its jobs .,SME ACCOUNT FOR MORE THAN 90 % EU ECONOMY AND TWO DESC-THIRD X-ITS JOB .,SME ACCOUNT MORE THAN 90 PERCENT EU ECONOMY AND TWO THIRD JOBS.,SME ACCOUNT MORE THAN 90 % EU ECONOMY AND TWO THIRD ITS JOB .
13258,we have to be very bold in defending broad access and transparency to all documents .,X-WE HAVE TO BE DESC-VERY DESC-BOLD IN DEFEND DESC-BROAD ACCESS AND TRANSPARENCY TO ALL DOCUMENT .,VERY BOLD DEFEND BROAD ACCESS AND TRANSPARENCY DOCUMENT,WE HAVE VERY BOLD DEFEND BROAD ACCESS AND TRANSPARENCY ALL DOCUMENT.
13416,"and as far as these areas are concerned , I am fundamentally opposed to a free market .","AND AS DESC-FAR AS SE AREA BE CONCERN , X-I BE DESC-FUNDAMENTALLY OPPOSE TO DESC-FREE MARKET .","AND AS FAR AS THESE AREA CONCERNED , FUNDAMENTALLY OPPOSED FREE MARKET","AS_FAR_AS SE AREA CONCERN , FUNDAMENTALLY OPPOSED FREE MARKET ."
13454,"we often talk about better regulation , but what we really need is proportionality .","X-WE DESC-OFTEN TALK ABOUT DESC-BETTER REGULATION , BUT WHAT X-WE DESC-REALLY NEED BE PROPORTIONALITY .","OFTEN TALK BETTER REGULATION , BUT PROPORTIONALITY WHAT REALLY NEED","WE OFTEN TALK BETTER REGULATION , BUT WHAT WE REALLY NEED PROPORTIONALITY ."
13967,we must explain to them how this initiative came about .,X-WE MUST EXPLAIN TO X-Y HOW THIS INITIATIVE COME ABOUT .,MUST EXPLAIN THEM HOW THIS INITIATIVE COME ABOUT,Y COME HOW THIS INITIATIVE EXPLAIN MUST WE.
14391,"in my view , therefore , anything connected with data collection and statistics is especially important .","IN X-MY VIEW , DESC-REFORE , ANYTHING CONNECT WITH DATUM COLLECTION AND STATISTICS BE DESC-ESPECIALLY DESC-IMPORTANT .",VIEW THEREFORE DATA COLLECTION AND STATISTIC ANYTHING ESPECIALLY IMPORTANT,"VIEW, THEREFORE, ANYTHING CONNECT DATUM COLLECTION AND STATISTIC ESPECIALLY IMPORTANT."
14612,i want to call that into question .,X-I WANT TO CALL THAT INTO QUESTION .,WANT CALL QUESTION.,WANT CALL THAT INTO QUESTION.
14641,this is precisely what is needed to recover from a recession .,THIS BE DESC-PRECISELY WHAT BE NEED TO RECOVER FROM RECESSION .,NEED WHAT THIS PRECISELY RECOVER RECESSION.,THIS PRECISELY WHAT NEED RECOVER RECESSION .
14682,let us act together .,LET X-WE ACT DESC-TOGER .,ACT TOGETHER LET.,LET WE ACT TOGETHER.
15034,its costs have an effect on the price of all the products we consume .,X-ITS COST HAVE EFFECT ON PRICE ALL PRODUCT X-WE CONSUME .,COST HAVE EFFECT PRICE ALL PRODUCT CONSUME.,ITS COST HAVE EFFECT ON PRICE ALL PRODUCT WE CONSUME.
15880,"however , the problem is vast .","DESC-HOWEVER , PROBLEM BE DESC-VAST .",HOWEVER PROBLEM VAST.,"HOWEVER , PROBLEM VAST ."
16381,i consider the tibetan people's claims to be legitimate and to a certain extent logical .,X-I CONSIDER TIBETAN PEOPLE X-POSS CLAIM TO BE DESC-LEGITIMATE AND TO DESC-CERTAIN EXTENT DESC-LOGICAL .,CONSIDER TIBETAN PEOPLE CLAIM LEGITIMATE AND CERTAIN EXTENT LOGICAL,CONSIDER TIBETAN PEOPLE CLAIM LEGITIMATE AND CERTAIN EXTENT LOGICAL .
16503,that is an eventual aim that I support .,THAT BE DESC-EVENTUAL AIM THAT X-I SUPPORT .,THAT EVENTUAL AIM SUPPORT,"THAT EVENTUAL AIM, SUPPORT THAT."
16848,"the events we are talking about did not take place in some dark , distant past .","EVENT X-WE BE TALK ABOUT DO DESC-NOT TAKE PLACE IN SOME DARK , DESC-DISTANT PAST .",PAST DISTANT DARK SOME PLACE TAKE EVENT WE TALK ABOUT,"EVENT WE TALK NOT TAKE PLACE SOME DARK , DISTANT PAST ."
18151,"furthermore , nowhere does this report even mention the issue of illegal immigration .","DESC-FURRMORE , DESC-NOWHERE DO THIS REPORT DESC-EVEN MENTION ISSUE DESC-ILLEGAL IMMIGRATION .",FURRMORE NOWHERE THIS REPORT EVEN MENTION ISSUE ILLEGAL IMMIGRATION,"FURRMORE , NOWHERE THIS REPORT EVEN MENTION ISSUE ILLEGAL IMMIGRATION ."
18309,for this reason it is exploited by some groups in support of abortion .,FOR THIS REASON X-IT BE EXPLOIT BY SOME GROUP IN SUPPORT ABORTION .,FOR THIS REASON SOME GROUP SUPPORT ABORTION EXPLOIT,"THIS REASON, SOME GROUP SUPPORT ABORTION EXPLOIT IT."
18321,that is not a matter for the eu .,THAT BE DESC-NOT MATTER FOR EU .,THAT NOT MATTER EUROPEAN UNION.,THAT NOT MATTER EU .
18746,"however , this means that these things must be included in the next report at the latest .","DESC-HOWEVER , THIS MEAN THAT SE THING MUST BE INCLUDE IN NEXT REPORT AT DESC-LATEST .","HOWEVER , THIS MEAN THAT THESE THING MUST INCLUDE NEXT REPORT LATEST","HOWEVER , THIS MEAN THAT SE THING MUST INCLUDE NEXT REPORT AT LATEST ."
20052,"last november's us presidential election generated an unprecedented degree of enthusiasm , expectation and interest here in europe .","DESC-LAST NOVEMBER X-POSS X-WE DESC-PRESIDENTIAL ELECTION GENERATE DESC-UNPRECEDENTED DEGREE ENTHUSIASM , EXPECTATION AND INTEREST DESC-HERE IN EUROPE .",LAST NOVEMBER PRESIDENTIAL ELECTION GENERATE UNPRECEDENTED DEGREE ENTHUSIASM EXPECTATION AND INTEREST HERE EUROPE,"LAST NOVEMBER, WE PRESIDENTIAL ELECTION GENERATE UNPRECEDENTED DEGREE ENTHUSIASM , EXPECTATION AND INTEREST HERE EUROPE ."
20053,this is because the choice of us president matters to europeans .,THIS BE BECAUSE CHOICE X-WE PRESIDENT MATTER TO EUROPEAN .,THIS BECAUSE CHOICE PRESIDENT MATTER EUROPEAN.,THIS BECAUSE CHOICE WE PRESIDENT MATTER EUROPEAN.
20399,only through enhanced commitment will we be able to influence positive developments and improvement of the human rights situation .,DESC-ONLY THROUGH ENHANCE COMMITMENT WILL X-WE BE DESC-ABLE TO INFLUENCE DESC-POSITIVE DEVELOPMENT AND IMPROVEMENT DESC-HUMAN RIGHTS SITUATION .,COMMITMENT ENHANCED THROUGH ONLY WILL INFLUENCE POSITIVE DEVELOPMENT AND IMPROVEMENT HUMAN RIGHTS SITUATION,ONLY THROUGH ENHANCE COMMITMENT WILL WE ABLE INFLUENCE POSITIVE DEVELOPMENT AND IMPROVEMENT HUMAN RIGHT SITUATION .
20750,this right is recognised by article ii 71 of the treaty establishing a constitution for europe .,THIS DESC-RIGHT BE RECOGNIZE BY ARTICLE IUS 71 TREATY ESTABLISH CONSTITUTION FOR EUROPE .,"ARTICLE II 71 TREATY ESTABLISH CONSTITUTION EUROPE, THIS RIGHT RECOGNIZE",THIS RIGHT RECOGNISE BY ARTICLE IUS 71 TREATY ESTABLISH CONSTITUTION EUROPE .
20946,an obvious starting point must be damages actions on the basis of a breach of antitrust rules .,DESC-OBVIOUS START POINT MUST BE DAMAGES ACTION ON BASIS BREACH DESC-ANTITRUST RULE .,MUST OBVIOUS START POINT DAMAGES ACTION ON BASIS BREACH ANTITRUST RULE.,OBVIOUS START POINT MUST DAMAGE ACTION ON BASIS BREACH ANTITRUST RULE.
20989,families living in small towns and inhabitants of villages are particularly affected by poverty .,FAMILY DESC-LIVE IN DESC-SMALL TOWN AND INHABITANT VILLAGE BE DESC-PARTICULARLY AFFECT BY POVERTY .,SMALL TOWN AND VILLAGE INHABITANT PARTICULARLY AFFECT POVERTY,FAMILY LIVE SMALL TOWN AND INHABITANT VILLAGE PARTICULARLY AFFECT BY POVERTY .
21194,parliament decided to postpone the final vote,PARLIAMENT DECIDE TO POSTPONE DESC-FINAL VOTE,PARLIAMENT DECIDE POSTPONE FINAL VOTE,PARLIAMENT DECIDE POSTPONE FINAL VOTE.
21339,"unfortunately , the text adopted in committee contains proposals that are incompatible with the social market economy .","DESC-UNFORTUNATELY , TEXT ADOPT IN COMMITTEE CONTAIN PROPOSAL THAT BE DESC-INCOMPATIBLE WITH DESC-SOCIAL MARKET ECONOMY .",UNFORTUNATELY TEXT ADOPTED COMMITTEE CONTAIN PROPOSAL INCOMPATIBLE SOCIAL MARKET ECONOMY,"UNFORTUNATELY , TEXT ADOPT COMMITTEE CONTAIN PROPOSAL THAT INCOMPATIBLE SOCIAL MARKET ECONOMY ."
21437,"when we speak of regional identity in the european union , it goes without saying that we invoke culture .","WHEN X-WE SPEAK DESC-REGIONAL IDENTITY IN EUROPEAN UNION , X-IT GO WITHOUT SAY THAT X-WE INVOKE CULTURE .",WHEN SPEAK REGIONAL IDENTITY EUROPEAN UNION GO WITHOUT SAY INVOKE CULTURE?,"WHEN WE SPEAK REGIONAL IDENTITY EUROPEAN UNION , IT GO WITHOUT SAY THAT WE INVOKE CULTURE ."
21663,this is very important in the case of such an important neighbour of the european union .,THIS BE DESC-VERY DESC-IMPORTANT IN CASE DESC-SUCH DESC-IMPORTANT NEIGHBOR EUROPEAN UNION .,VERY IMPORTANT CASE SUCH IMPORTANT NEIGHBOR EUROPEAN UNION.,THIS VERY IMPORTANT CASE SUCH IMPORTANT NEIGHBOUR EUROPEAN UNION .
22453,"secondly , the independent scientific studies to date do not justify amending the scientific basis for these exposure limits .","DESC-SECONDLY , DESC-INDEPENDENT DESC-SCIENTIFIC STUDY TO DATE DO DESC-NOT JUSTIFY AMEND DESC-SCIENTIFIC BASIS FOR SE EXPOSURE LIMIT .",SECONDLY INDEPENDENT SCIENTIFIC STUDY TO DATE JUSTIFY AMEND SCIENTIFIC BASIS THESE EXPOSURE LIMIT.,"SECONDLY , INDEPENDENT SCIENTIFIC STUDY DATE , SCIENTIFIC BASIS SE EXPOSURE LIMIT AMEND JUSTIFY NOT ."
23438,"lastly , 2007 was the year of the last discharge vote before the european parliament elections .","DESC-LASTLY , 2007 BE YEAR DESC-LAST DISCHARGE VOTE BEFORE EUROPEAN PARLIAMENT ELECTION .","LASTLY , 2007 YEAR LAST DISCHARGE VOTE BEFORE EUROPEAN PARLIAMENT ELECTION","LASTLY , 2007 YEAR LAST DISCHARGE VOTE BEFORE EUROPEAN PARLIAMENT ELECTION ."
25225,patientsrights in cross border healthcare debate,PATIENTSRIGHT IN CROSS BORDER HEALTHCARE DEBATE,PATIENTSRIGHTS CROSS BORDER HEALTHCARE DEBATE,PATIENTSRIGHT CROSS BORDER HEALTHCARE DEBATE
26084,he called emphatically on the moldovan authorities and on the opposition to enter into political dialogue .,X-HE CALL DESC-EMPHATICALLY ON MOLDOVAN AUTHORITY AND ON OPPOSITION TO ENTER INTO DESC-POLITICAL DIALOGUE .,CALL EMPHATICALLY MOLDOVAN AUTHORITY AND OPPOSITION ENTER POLITICAL DIALOGUE,HE CALL EMPHATICALLY ON MOLDOVAN AUTHORITY AND ON OPPOSITION ENTER INTO POLITICAL DIALOGUE .
26093,"according to a commission spokesman , no signs of fraud were discovered during the recount .","ACCORD TO COMMISSION SPOKESMAN , NO SIGN FRAUD BE DISCOVER DURING RECOUNT .","ACCORD COMMISSION SPOKESMAN , NO SIGN FRAUD DISCOVER DURING RECOUNT .","ACCORD COMMISSION SPOKESMAN , NO SIGN FRAUD DISCOVER DURING RECOUNT ."
26387,"international human rights treaties are of no use whatsoever if countries do not sign , ratify and implement .","DESC-INTERNATIONAL DESC-HUMAN RIGHTS TREATY BE NO USE DESC-WHATSOEVER IF COUNTRY DO DESC-NOT SIGN , RATIFY AND IMPLEMENT .","IF COUNTRY SIGN , RATIFY AND IMPLEMENT NOT , INTERNATIONAL HUMAN RIGHTS TREATY NO USE WHATSOEVER","INTERNATIONAL HUMAN RIGHT TREATY NO USE WHATSOEVER IF COUNTRY NOT SIGN , RATIFY AND IMPLEMENT ."
27482,the council wants to keep both the opt out and the yearly calculation of working time .,COUNCIL WANT TO KEEP BOTH OPT OUT AND DESC-YEARLY CALCULATION WORK TIME .,COUNCIL WANT KEEP BOTH OPT_OUT AND YEARLY CALCULATION WORK TIME,COUNCIL WANT KEEP BOTH OPT OUT AND YEARLY CALCULATION WORK TIME .
27675,slapping a ban on overpopulated seals is madness and a complete failure of our values .,SLAPPING BAN ON OVERPOPULATE SEAL BE MADNESS AND DESC-COMPLETE FAILURE X-WE VALUE .,SLAP BAN OVERPOPULATED SEAL MADNESS AND COMPLETE FAILURE VALUES.,SLAP BAN ON OVERPOPULATED SEAL MADNESS AND COMPLETE FAILURE WE VALUE.
27782,concern was also expressed about the criteria for severity bands .,CONCERN BE DESC-ALSO DESC-EXPRESS ABOUT CRITERION FOR SEVERITY BAND .,CONCERN ALSO EXPRESS CRITERION SEVERITY BAND .,CONCERN ALSO EXPRESS CRITERION SEVERITY BAND .
27891,all of those are included in this proposal .,ALL THOSE BE INCLUDE IN THIS PROPOSAL .,"THIS PROPOSAL, ALL THOSE INCLUDED.","THIS PROPOSAL, ALL THOSE INCLUDE ."
28243,"i abstained on the amended proposal , because I feel that on this issue no compromises are necessary .","X-I ABSTAIN ON AMEND PROPOSAL , BECAUSE X-I FEEL THAT ON THIS ISSUE NO COMPROMISE BE DESC-NECESSARY .",ABSTAIN AMENDED PROPOSAL BECAUSE FEEL ON THIS ISSUE NO COMPROMISE NECESSARY,"ABSTAIN ON AMEND PROPOSAL , BECAUSE FEEL THAT ON THIS ISSUE NO COMPROMISE NECESSARY ."
28679,i share the view of commissioner barroso .,X-I SHARE VIEW COMMISSIONER BARROSO .,SHARE VIEW COMMISSIONER BARROSO,SHARE VIEW COMMISSIONER BARROSO.
28768,it does not augur well that some member states do not want the employment summit this thursday .,X-IT DO DESC-NOT AUGUR DESC-WELL THAT SOME MEMBER STATE DO DESC-NOT WANT EMPLOYMENT SUMMIT THIS THURSDAY .,THIS_THURSDAY DO NOT AUGUR WELL SOME MEMBER STATE DO NOT WANT EMPLOYMENT SUMMIT,"THIS THURSDAY, IT NOT AUGUR WELL THAT SOME MEMBER STATE NOT WANT EMPLOYMENT SUMMIT ."
28807,thus I once again welcome the changes that have been made regarding this fund .,DESC-THUS X-I DESC-ONCE DESC-AGAIN DESC-WELCOME CHANGE THAT HAVE BE MAKE REGARD THIS FUND .,THUS ONCE AGAIN WELCOME CHANGE THAT MAKE REGARDING THIS FUND,THUS ONCE AGAIN CHANGE REGARD THIS FUND WELCOME THAT MAKE .
28886,"as you perhaps know , the krško nuclear power plant is situated on this fault line .",KO DESC-NUCLEAR POWER PLANT BE SITUATE ON THIS FAULT LINE .,KO NUCLEAR POWER PLANT SITUATE THIS FAULT LINE,KO NUCLEAR POWER PLANT SITUATE ON THIS FAULT LINE .
28915,"at the same time , each member state decides whether or not to use nuclear energy .","AT DESC-SAME TIME , EACH MEMBER STATE DECIDE WHER OR DESC-NOT TO USE DESC-NUCLEAR ENERGY .","SAME TIME, EACH MEMBER STATE DECIDE WHETHER OR NOT USE NUCLEAR ENERGY","AT SAME TIME , EACH MEMBER STATE DECIDE WHETHER OR NOT USE NUCLEAR ENERGY ."
29278,what should we do to change this ?,WHAT SHOULD X-WE DO TO CHANGE THIS ?,WHAT SHOULD DO CHANGE THIS?,WHAT SHOULD WE CHANGE THIS ?
29473,this really ought to be self evident .,THIS DESC-REALLY OUGHT TO BE SELF DESC-EVIDENT .,SELF EVIDENT OUGHT THIS REALLY.,THIS REALLY OUGHT SELF EVIDENT .
29893,"mr president , you have tackled many activities in your two and a half year term of office .","MR PRESIDENT , X-YOU HAVE TACKLE DESC-MANY ACTIVITY IN X-YOU TWO AND HALF YEAR TERM OFFICE .","MR PRESIDENT, TWO AND A HALF YEAR TERM OFFICE, MANY ACTIVITY TACKLED","MR PRESIDENT, TACKLE MANY ACTIVITY THIS_MORNING TERM OFFICE ."
30043,"millions of europeans rely on the internet , whether directly or indirectly , in their daily lives .","MILLION EUROPEAN RELY ON INTERNET , WHER DESC-DIRECTLY OR DESC-INDIRECTLY , IN X-Y DESC-DAILY LIFE .",MILLION EUROPEAN DAILY LIFE RELY INTERNET WHETHER DIRECTLY OR INDIRECTLY,"MILLION EUROPEANS RELY ON INTERNET , WHETHER DIRECTLY OR INDIRECTLY , Y DAILY LIFE ."
30183,"once again , this must encourage us to reflect in order to prepare more effective strategies in the future .","DESC-ONCE DESC-AGAIN , THIS MUST ENCOURAGE X-WE TO REFLECT IN ORDER TO PREPARE MORE DESC-EFFECTIVE STRATEGY IN FUTURE .",FUTURE MUST ENCOURAGE US REFLECT ORDER PREPARE MORE EFFECTIVE STRATEGY,"ONCE AGAIN , THIS MUST ENCOURAGE WE REFLECT ORDER PREPARE MORE EFFECTIVE STRATEGY FUTURE ."
30517,"maintaining good neighbourly relations , including a negotiated and mutually acceptable solution on the main issue , remains essential .","MAINTAIN DESC-GOOD DESC-NEIGHBOURLY RELATION , INCLUDE NEGOTIATE AND DESC-MUTUALLY DESC-ACCEPTABLE SOLUTION ON DESC-MAIN ISSUE , REMAIN DESC-ESSENTIAL .",REMAIN ESSENTIAL MAINTAIN GOOD NEIGHBOURLY RELATION INCLUDE NEGOTIATE AND MUTUALLY ACCEPTABLE SOLUTION MAIN ISSUE,"MAINTAIN GOOD NEIGHBOURLY RELATION , INCLUDE NEGOTIATE AND MUTUALLY ACCEPTABLE SOLUTION ON MAIN ISSUE , REMAIN ESSENTIAL ."
30534,"at the time , few of us could have guessed the scale of the coming economic crisis .","AT TIME , DESC-FEW X-WE COULD HAVE GUESS SCALE COME DESC-ECONOMIC CRISIS .",TIME FEW COULD GUESSED COME ECONOMIC CRISIS,"AT TIME , FEW WE COULD GUESS COME ECONOMIC CRISIS SCALE ."
