id,text,health
61,action taken on parliament's positions and resolutions see minutes,NO
62,the sitting was closed at 10.05 p.m.,NO
63,the sitting was opened at 10.05 a.m.,NO
64,classification of wood vote,NO
65,infrastructure for spatial information in the european community inspire vote,NO
66,waste recycling vote,NO
67,women in turkey vote,NO
68,the sitting was suspended at 1.10 p.m. and resumed at 3 p.m.,NO
69,the minutes of the previous sitting were approved .,NO
70,the sitting was suspended at 7.05 p.m. and resumed at 9.00 p.m.,NO
71,climate change motions for resolutions tabled see minutes,NO
72,"pnr , swift motions for resolutions tabled see minutes",NO
73,the sitting was closed at midnight,NO
74,the sitting was opened at 9 a.m.,NO
75,macro financial aid for moldova vote,NO
76,conservation of stocks of highly migratory species vote,NO
77,drift nets vote,NO
78,the court of auditorsspecial report no 6 / 2005 on the trans european network for transport vote,NO
79,radio spectrum vote,NO
80,voting time continued,NO
81,the next item is voting time .,NO
82,the sitting was suspended at 2 p.m. and resumed at 3 p.m.,NO
83,agenda for next part session see minutes,NO
84,the sitting closed at 23.15,NO
85,the sitting was opened at 10 a.m.,NO
86,shareholdersvoting rights vote,NO
87,budget aid for developing countries vote,NO
88,illegal fishing vote,NO
89,"country strategy papers malaysia , brazil and pakistan vote",NO
90,ec russia short stay visa agreement vote,NO
91,ec russia readmission agreement vote,NO
92,common organisation of the market in wine vote,NO
93,economic policy guidelines for 2007 vote,NO
94,eib annual report 2005 vote,NO
95,the sitting was suspended at 1.05 p.m. and resumed at 3 p.m.,NO
96,"debate on cases of breaches of human rights , democracy and the rule of law debate",NO
97,dialogue between the chinese government and envoys of the dalai lama vote,NO
98,adjournment of session,NO
99,i declare the session of the european parliament suspended .,NO
100,the sitting was closed at 4.25 p.m.,NO
101,transfers of appropriations see minutes,NO
102,membership of political groups see minutes,NO
103,signature of acts adopted under codecision see minutes,NO
104,number and numerical strength of interparliamentary delegations deadline for tabling amendments see minutes,NO
105,the sitting was closed at 11.10 p.m.,NO
106,closing of the session,NO
107,i declare the 2006 2007 session of the european parliament adjourned .,NO
108,opening of the session,NO
109,i declare the 2007 2008 session of the european parliament open .,NO
110,"financing of interventions by the eaggf , guarantee section vote",NO
111,drinking milk produced in estonia vote,NO
112,repeal of regulation ec no 2040 / 2000 on budgetary discipline vote,NO
113,prudential assessment of acquisitions and increase of shareholdings vote,NO
114,corporate social responsibility vote,NO
115,cross border collective copyright management vote,NO
116,the sitting was suspended at 11.20 p.m.,NO
117,2 . number and numerical strength of the interparliamentary delegations vote,NO
118,marketing of the meat of bovine animals aged 12 months or less vote,NO
119,ratification of the ilo's 2006 consolidated maritime labour convention vote,NO
120,social services of general interest vote,NO
121,ec us air transport agreement vote,NO
122,the sitting was suspended at 1.10 p.m. and resumed at 3.00 p.m.,NO
123,appointments to interparliamentary delegations proposal by the conference of presidents see minutes,NO
124,hepatitis c written statement see minutes,YES
125,the sitting was closed at 11.40 p.m.,NO
126,nominations to interparliamentary delegations vote,NO
127,community action on the provision of cross border health care vote,YES
128,bosnia herzegovina vote,NO
129,negotiation of an eu central america association agreement vote,NO
130,regional policy islands and natural and economic constraints vote,NO
131,local authorities and development cooperation vote,NO
132,the sitting was suspended at 12.55 p.m. and resumed at 3 p.m.,NO
133,"debates on cases of breaches of human rights , democracy and the rule of law debate",NO
134,cambodia vote,NO
135,nigeria vote,NO
136,the sitting was closed at 12.05 a.m.,NO
137,the sitting was opened at 9.10 a.m.,NO
138,community participation in the capital increase of the european investment fund vote,NO
139,request for defence of the immunity of giuseppe gargani vote,NO
140,compliance with the obligations of flag states vote,NO
141,civil liability and financial guarantees of shipowners vote,NO
142,security at football matches vote,NO
143,the future of kosovo and the role of the eu vote,NO
144,the future of the european union's own resources vote,NO
145,future of professional football in europe vote,NO
146,the integration of new member states in the cap vote,NO
147,membership of interparliamentary delegations see minutes,NO
148,declaration of financial interests see minutes,NO
149,the sitting was closed at 00.05 a.m.,NO
150,ec malaysia agreement on certain aspects of air services vote,NO
151,report costa,NO
152,tariff quotas for imports into bulgaria and romania of raw cane sugar vote,NO
153,report graefe zu baringdorf,NO
154,4 . waiver of the immunity of vural öger vote,NO
155,report speroni,NO
156,"discharge 2005 section iv , court of justice vote",NO
157,report caspary,NO
158,"discharge 2005 section v , court of auditors vote",NO
159,"discharge 2005 section vi , european economic and social committee vote",NO
160,"discharge 2005 section viiia , european ombudsman vote",NO
161,"discharge 2005 section viii b , european data protection supervisor vote",NO
162,"discharge 2005 6th , 7th , 8th and 9th edfs vote",NO
163,report camre,NO
164,discharge 2005 european centre for the development of vocational training vote,NO
165,report herczog,NO
166,discharge 2005 european foundation for the improvement of living and working conditions vote,NO
167,discharge 2005 european monitoring centre on racism and xenophobia vote,NO
168,discharge 2005 european monitoring centre for drugs and drug addiction vote,YES
169,discharge 2005 european environment agency vote,NO
170,discharge 2005 european agency for safety and health at work vote,YES
171,discharge 2005 translation centre for the bodies of the european union vote,NO
172,discharge 2005 european agency for the evaluation of medicinal products vote,YES
173,discharge 2005 eurojust vote,NO
174,discharge 2005 european training foundation vote,NO
175,discharge 2005 european maritime safety agency vote,NO
176,discharge 2005 european aviation safety agency vote,NO
177,discharge 2005 european food safety authority vote,NO
178,discharge 2005 european centre for disease prevention and control vote,YES
179,discharge 2005 european network and information security agency vote,NO
180,"discharge 2005 section vii , committee of the regions vote",NO
181,discharge 2005 european agency for reconstruction vote,NO
182,combating hiv / aids within the eu and in the neighbouring countries 2006 2009 vote,YES
183,report andrejevs,NO
184,the sitting was suspended at 1.20 p.m. and resumed at 3.05 p.m.,NO
185,moving the inadmissibility of a matter homophobia in europe see minutes,NO
186,the sitting was suspended at 7.35 p.m. and resumed at 9.00 p.m.,NO
187,the sitting was closed at 11.45 p.m.,NO
188,transmission of national accounts data vote,NO
189,garcía margallo y marfil report,NO
190,some members continued to protest and to request the floor,NO
191,multilateral agreement on the establishment of a european common aviation area vote,NO
192,lichtenberger report,NO
193,"after the vote , the commotion grew louder",NO
194,framework agreement on a multilateral nuclear environmental programme in the russian federation vote,NO
195,remek report,NO
196,assessment and management of flood risks vote,NO
197,seeber recommendation,NO
198,port state control vote,NO
199,vlasto report,NO
200,ship inspection and survey organisations vote,NO
201,de grandes pascual report,NO
202,temporary committee on climate change vote,NO
203,proposal for a decision,NO
204,damages actions for breach of competition rules vote,NO
205,sánchez presedo report,NO
206,motion for a resolution,NO
207,thematic strategy on the sustainable use of natural resources vote,NO
208,liotard report,NO
209,corrections to votes from previous sittings see minutes,NO
210,the sitting was closed at 11.25 p.m.,NO
211,the sitting was suspended at 11.20 a.m. and resumed at 12.00 noon,NO
212,directives concerning the protection of health and safety of workers simplifying and rationalising practical implementation reports vote,YES
213,figueiredo report,NO
214,compensation for certain fishery products vote,NO
215,freitas report,NO
216,common fisheries policy regional advisory councils vote,NO
217,attwooll report,NO
218,situation of disabled women in the european union vote,NO
219,herranz garcía report,NO
220,basic information on purchasing power parities vote,NO
221,bowles report,NO
222,rapid border intervention teams vote,NO
223,deprez report,NO
224,conservation and sustainable exploitation of fisheries resources vote,NO
225,gklavakis report,NO
226,galileo vote,NO
227,public finances in the emu 2006 vote,NO
228,lauk report,NO
229,that concludes voting time .,NO
230,the sitting was suspended at 12.50 p.m. and resumed at 3.00 p.m.,NO
231,"debates on cases of breaches of human rights , democracy and the rule of law",NO
232,recent repression of demonstrations in russia vote,NO
233,joint motion for a resolution rc b6 0172 / 2007,NO
234,kidnapping in gaza of the journalist alan johnston vote,NO
235,joint motion for a resolution rc b6 0159 / 2007,NO
236,human rights situation in the philippines vote,NO
237,joint motion for a resolution rc b6 0160 / 2007,NO
238,zimbabwe vote,NO
239,joint motion for a resolution rc b6 0162 / 2007,NO
240,for the results and other details on the vote see minutes,NO
241,i declare adjourned the session of the european parliament .,NO
242,the sitting closed at 5 p.m.,NO
243,membership of the temporary committee on climate change deadline for tabling amendments see minutes,NO
244,written statements tabling see minutes,NO
245,the sitting was opened at 9.05 a.m.,NO
246,simplification of community legislation amendments of the rules of procedure vote,NO
247,report reynaud,YES
248,nominal quantities for pre packed products vote,NO
249,recommendation toubon,NO
250,approval of motor vehicles and their trailers vote,NO
251,recommendation harbour,NO
252,retrofitting of mirrors to heavy goods vehicles vote,NO
253,composition of the temporary committee on climate change vote,NO
254,proposals of the conference of presidents,NO
255,eu partnership in the horn of africa vote,NO
256,report kaczmarek,NO
257,assessing euratom vote,NO
258,report maldeikis,NO
259,environmental protection from radiation following the crash of a military aircraft in greenland vote,NO
260,report wallis,NO
261,housing and regional policy vote,NO
262,report andria,NO
263,future regional policy and innovation vote,NO
264,report janowski,NO
265,establishing a green hydrogen economy and a third industrial revolution in europe written statement see minutes,NO
266,the sitting was closed at 10.10 p.m.,NO
267,calendar of part sessions see minutes,NO
268,ec russia fisheries and conservation agreement vote,NO
269,report morillon,NO
270,financial instrument for the environment life + vote,NO
271,report isler béguin,NO
272,combating violence daphne iii programme vote,NO
273,recommendation gröner,NO
274,environmental quality standards in the field of water policy vote,NO
275,report laperrouze,NO
276,fisheries partnership agreement between the ec and denmark and greenland vote,NO
277,report post,NO
278,delegation to eurolat vote,NO
279,decision,NO
280,halting the loss of biodiversity by 2010 vote,NO
281,report adamou,NO
282,the sitting was suspended at 12.50 p.m. and resumed at 3.05 p.m.,NO
283,composition of the delegation to eurolat see minutes,NO
284,the sitting was closed at 11.55 p.m.,NO
285,the sitting was opened at 9.00 a.m.,NO
286,community financial aid in the field of the trans european transport and energy networks vote,NO
287,report mauro,NO
288,"ec mexico economic partnership , political coordination and cooperation agreement vote",NO
289,report markov,NO
290,composition of the delegation to eurolat vote,NO
291,structural policies and eu cohesion vote,NO
292,report pleguezuelos aguilar,NO
293,the eu's aid for trade vote,NO
294,report david martin,NO
295,decent work vote,NO
296,report panayotopoulos cassiotou,NO
297,the next item is the vote .,NO
298,the sitting was suspended at 13.10 and resumed at 15.00,NO
299,common organisation of agricultural markets vote,NO
300,busk report,NO
301,situation in nigeria vote,NO
302,international trade in endangered species of wild fauna and flora cites vote,NO
303,innovation strategy vote,NO
304,gierek report,NO
305,tackling organised crime vote,NO
306,newton dunn report,NO
307,estonia vote,NO
308,the sitting was suspended at 12.45 p.m. and resumed at 3.00 p.m.,NO
309,the sitting opened at 9.40 a.m.,NO
310,protocol to the ec russia partnership and cooperation agreement following the accession of the bulgaria and romania vote,NO
311,report saryusz wolski,NO
312,conservation and enforcement measures applicable in the regulatory area of the northwest atlantic fisheries organisation vote,NO
313,report capoulas santos,NO
314,mobilisation of the solidarity fund floods in hungary and greece vote,NO
315,report böge,NO
316,draft amending budget no 2 / 2007 vote,NO
317,report elles,NO
318,draft amending budget no 3 / 2007 vote,NO
319,addition of vitamins and minerals and of certain other substances to foods vote,YES
320,report scheele,NO
321,nutrition and health claims made on foods vote,YES
322,report poli bortone,NO
323,visa information system vis vote,NO
324,report ludford,NO
325,prüm treaty cross border cooperation in combating terrorism and cross border crime vote,NO
326,report correia,NO
327,protection of personal data vote,NO
328,report roure,NO
329,baltic sea cod vote,NO
330,report chmielewski,NO
331,regional strategy papers and regional indicative programmes for mercosur and latin america vote,NO
332,united nations human rights council vote,NO
333,draft estimates of the european parliament for 2008 vote,NO
334,report itälä,NO
335,membership of committees see minutes,NO
336,the sitting was closed at 11 p.m.,NO
337,deadline for tabling amendments see minutes,NO
338,protection of employees in the event of the insolvency of their employer codified version vote,NO
339,wallis report,NO
340,integrated pollution prevention and control codified version vote,NO
341,"controls , tell tales and indicators for two or three wheel motor vehicles codified version vote",NO
342,injunctions for the protection of consumersinterests codified version vote,NO
343,steering equipment of wheeled agricultural or forestry tractors codified version vote,NO
344,maximum speed of and load platforms for wheeled agricultural or forestry tractors codified version vote,NO
345,parts and characteristics of wheeled agricultural or forestry tractors codified version vote,NO
346,field of vision and windscreen wipers for wheeled agricultural or forestry tractors codified version vote,NO
347,approximation of member stateslaws relating to trade marks codified version vote,NO
348,mayer report,NO
349,protection of workers against asbestos codified version vote,NO
350,community guarantee to the eib codified version vote,NO
351,protection of pigs codified version vote,NO
352,pure bred bovine breeding animals codified version vote,NO
353,community trade mark codified version vote,NO
354,production and marketing of eggs codified version vote,NO
355,scrutiny of european agricultural guarantee fund financing codified version vote,NO
356,fisheries partnership agreement between the ec and são tomé and príncipe vote,NO
357,capoulas santos report,NO
358,fisheries partnership agreement between the ec and kiribati vote,NO
359,morillon report,NO
360,request for defence of the immunity of mario borghezio vote,NO
361,gargani report,NO
362,"definition , description , presentation and labelling of spirit drinks vote",NO
363,schnellhardt report,NO
364,cat and dog fur vote,NO
365,svensson report,NO
366,broadband vote,NO
367,hökmark report,NO
368,the minutes of yesterday's sitting were approved,NO
369,the banning of exports and the safe storage of metallic mercury vote,NO
370,papadimoulis report,NO
371,portability of supplementary pension rights vote,NO
372,oomen ruijten report,NO
373,adoption by cyprus of the single currency on 1 january 2008 vote,NO
374,langen report,NO
375,adoption by malta of the single currency on 1 january 2008 vote,NO
376,motion for a resolution galileo,NO
377,the transposition and implementation of public procurement legislation vote,NO
378,mccarthy report,NO
379,improving the method for consulting parliament in procedures relating to enlargement of the euro zone vote,NO
380,motion for a resolution euro zone,NO
381,the sitting was suspended at 1 p.m. and resumed at 3 p.m.,NO
382,exchanges of information extracted from criminal records vote,NO
383,report díaz de mera garcía consuegra,NO
384,regional strategy and multiannual indicative programme for asia vote,NO
385,towards an arms trade treaty vote,NO
386,framework decision on combating racism and xenophobia vote,NO
387,decision making in the common european asylum system vote,NO
388,report pirker,NO
389,human rights in ethiopia vote,NO
390,joint motion for a resolution,NO
391,burma vote,NO
392,"for the results and other details on the vote , see minutes .",NO
393,the sitting was closed at 16.10,NO
394,calendar of part sessions for 2008,NO
395,election of a vice president of parliament vote,NO
396,ec algeria euro mediterranean agreement vote,NO
397,recommendation jacek saryusz wolski,NO
398,ec moldova partnership and cooperation agreement vote,NO
399,report jacek saryusz wolski,NO
400,ec ukraine partnership and cooperation agreement vote,NO
401,ec armenia partnership and cooperation agreement vote,NO
402,ec azerbaijan partnership and cooperation agreement vote,NO
403,ec georgia partnership and cooperation agreement vote,NO
404,accession of bulgaria and romania to the convention on the use of information technology for customs purposes vote,NO
405,report jean marie cavada,NO
406,undertakings for collective investment in transferable securities implementing powers conferred on the commission vote,NO
407,report pervenche berès,NO
408,a new statistical classification of products by activity cpa vote,NO
409,report guntars krasts,NO
410,report corien wortmann kool,NO
411,fishing activities in the antarctic vote,NO
412,report rosa miguélez ramos,NO
413,accession of bulgaria and romania to the europol convention vote,NO
414,report genowefa grabowska,NO
415,accession of bulgaria and romania to the convention on mutual assistance in criminal matters vote,NO
416,accession of bulgaria and romania to the convention on driving disqualifications vote,NO
417,report jörg leichtfried,NO
418,corrigenda new rule 204a of parliament's rules of procedure vote,NO
419,report richard corbett,NO
420,application and interpretation of the rules of procedure amendment of rule 201 vote,NO
421,immunity and privileges of alessandra mussolini vote,NO
422,report klaus heiner lehne,NO
423,request for defence of the immunity of ashley mote vote,NO
424,report francesco enrico speroni,NO
425,draft amending budget no 4 / 2007 vote,NO
426,report james elles,NO
427,translation expenditure vote,NO
428,report alexander stubb,NO
429,minimising administrative costs imposed by legislation vote,NO
430,report jan mulder,NO
431,report diana wallis,NO
432,community action programme in the field of health 2007 2013 vote,YES
433,recommendation for second reading antonios trakatellis,NO
434,measuring devices containing mercury vote,NO
435,recommendation for second reading sornosa martínez,NO
436,food additives vote,NO
437,report åsa westlund,NO
438,food enzymes vote,NO
439,report avril doyle,NO
440,flavourings and food ingredients with flavouring properties for use in and on foods vote,NO
441,report mojca drčar murko,NO
442,3european critical infrastructure vote,NO
443,report jeanine hennis plasschaert,NO
444,convening of the intergovernmental conference opinion of the european parliament deadline for tabling amendments see minutes,NO
445,the sitting was suspended at 1.15 p.m. and resumed at 3.05 p.m.,NO
446,pnr agreement with the united states motions for resolutions tabled see minutes,NO
447,calendar of part sessions for 2008 vote,NO
448,mergers and division of public limited companies vote,NO
449,report kauppi,NO
450,community action in the field of water policy vote,NO
451,report lienemann,NO
452,end of life vehicles vote,NO
453,report florenz,NO
454,waste electrical and electronic equipment vote,NO
455,hazardous substances in electrical and electronic equipment vote,NO
456,ecodesign requirements for energy using products vote,NO
457,report ries,NO
458,the sitting was suspended at 2.25 p.m. and resumed at 3.05 p.m.,NO
459,the sitting closed at 23.35,NO
460,the sitting was opened at 9.30 a.m.,NO
461,budget calendar see minutes,NO
462,community statistical programme 2008 2012 vote,NO
463,becsey report,NO
464,first railway package vote,NO
465,cramer report,NO
466,action to tackle cardiovascular disease vote,YES
467,eurozone 2007 vote,NO
468,rosati report,NO
469,european central bank 2006 vote,NO
470,mitchell report,NO
471,palestine vote,NO
472,trips agreement and access to medicines vote,YES
473,democratic scrutiny under the development cooperation instrument vote,NO
474,approval by the council of parliament's positions adopted at first reading rule 66 see minutes,NO
475,i declare the sitting adjourned .,NO
476,the sitting was closed at 4.20 p.m.,NO
477,oral questions and written declarations tabling see minutes,NO
478,order of business see minutes,NO
479,the sitting was closed at 9.45 p.m.,NO
480,the sitting was opened at 09.00,NO
481,report gerardo galeote,NO
482,europol analysis files vote,NO
483,report agustín díaz de mera garcía consuegra,NO
484,better regulation in the european union vote,NO
485,report katalin lévai,NO
486,better law making 2005 subsidiarity and proportionality vote,NO
487,report bert doorn,NO
488,simplification of the regulatory environment vote,NO
489,report giuseppe gargani,NO
490,use ofsoft law vote,NO
491,report manuel medina ortega,NO
492,the sitting was suspended at 19.35 and resumed at 21.00,NO
493,the sitting was closed at 23.40,NO
494,balancing fishing capacity and fishing opportunities vote,NO
495,report casaca,NO
496,draft amending budget no 5 / 2007 vote,NO
497,inland transport of dangerous goods vote,NO
498,report liberadzki,NO
499,dehydrated preserved milk for human consumption vote,NO
500,report jeggle,NO
501,common organisation of the milk and milk products market vote,NO
502,restrictions imposed by the eu on liquids that passengers can take on board aeroplanes vote,NO
503,resolution,NO
504,freight transport logistics in europe and sustainable mobility vote,NO
505,report ayala sender,NO
506,eures activity report 2004 2005 towards a single european labour market vote,NO
507,reducing alcohol related harm vote,YES
508,report foglietta,NO
509,primates in scientific experiments written declaration see minutes,NO
510,international health regulations vote,YES
511,ouzký report,NO
512,convention on the fight against desertification vote,NO
513,human rights dialogues and consultations on human rights with third countries vote,NO
514,martínez orozco report,NO
515,sustainability in eu fisheries through maximum sustainable yield vote,NO
516,fraga estévez report,NO
517,review of the consumer acquis vote,NO
518,patrie report,NO
519,the sitting was suspended at 12.25 p.m. and resumed at 3 p.m.,NO
520,resolution on burma,NO
521,written declarations for entry in the register rule 116 see minutes,NO
522,corrigendum rule 204a see minutes,NO
523,written declarations rule 116 see minutes,NO
524,the sitting was closed at 9.40 p.m.,NO
525,ec panama agreement on certain aspects of air services vote,NO
526,ec kyrgyzstan agreement on certain aspects of air services vote,NO
527,ec jordan agreement on certain aspects of air services vote,NO
528,ec israel agreement on scientific and technical cooperation vote,NO
529,report niebler,NO
530,participation of bulgaria and romania in the eec san marino agreement on cooperation and customs union vote,NO
531,national aid granted by finland for seeds and cereal seed vote,NO
532,report parish,NO
533,excise duty on rum vote,NO
534,report galeote,NO
535,road safety passenger hand holds on two wheel motor vehicles vote,NO
536,report mayer,NO
537,road safety stands for two wheel motor vehicles vote,NO
538,rear registration plate of two or three wheel motor vehicles vote,NO
539,"application of competition rules to transport by rail , road and inland waterway vote",NO
540,rear view mirrors for wheeled agricultural or forestry tractors vote,NO
541,roll over protection structures of wheeled agricultural or forestry tractors vote,NO
542,statistics on education and lifelong learning vote,NO
543,report sifunakis,NO
544,development of the community's railways vote,NO
545,report jarzembowski,NO
546,report savary,NO
547,rail passengersrights and obligations vote,NO
548,report sterckx,NO
549,the sitting was suspended at 12.35 a.m. and resumed at 3.00 p.m.,NO
550,european institute of technology vote,NO
551,report paasilinna,NO
552,set aside for year 2008 vote,NO
553,proposal for a council regulation set aside for year 2008 c6 0302 / 2007,NO
554,dangerous toys made in china vote,NO
555,towards a common european foreign policy on energy vote,NO
556,policy priorities in the fight against illegal immigration of third country nationals vote,NO
557,report moreno sánchez,NO
558,the sitting was suspended at 1.15 p.m. and resumed at 3 p.m.,NO
559,the sitting closed at 23.55,NO
561,10.00,NO
562,need for a comprehensive strategy to control cancer written declaration see minutes,YES
563,1. i2010 digital libraries vote,NO
564,bericht descamps,NO
565,efficiency and equity in european education and training systems vote,NO
566,bericht zatloukal,NO
567,implementation of the council decision concerning the moratorium against the death penalty vote,NO
569,obligations of cross border service providers vote,NO
570,bericht lethinen,NO
571,equal treatment between persons irrespective of racial or ethnic origin vote,NO
572,bericht buitenweg,NO
573,dys crimination and social exclusion affecting children withdys abilities written declaration see minutes,YES
574,written declarations tabling see minutes,NO
575,report helmuth markov,NO
576,accession of bulgaria and romania to the convention on the law applicable to contractual obligations vote,NO
577,report cristian dumitrescu,NO
578,collection and management of data on the common fisheries policy vote,NO
579,report paulo casaca,NO
580,ec usa air transport agreement vote,NO
581,report saïd el khadraoui,NO
582,combating cigarette smuggling ec philip morris agreement vote,NO
583,report bart staes,NO
584,airport capacity and ground handling vote,NO
585,report anne e. jensen,NO
586,membership of delegations see minutes,NO
587,ec chile association agreement accession of bulgaria and romania vote,NO
588,recommendation helmuth markov a6 0361 2007,NO
589,ec swiss confederation agreement on scientific and technical cooperation vote,NO
590,report angelika niebler,NO
591,community plant variety rights vote,NO
592,report neil parish a6 0373 2007,NO
593,nuclear energy ratification by slovenia of the protocol amending the paris convention vote,NO
594,recommendation giuseppe gargani a6 0369 2007,NO
595,un / ece espoo convention vote,NO
596,report miroslav ouzký a6 0395 2007,NO
597,convention on the protection of the european communitiesfinancial interests vote,NO
598,report jean marie cavada a6 0360 2007,NO
599,mobilisation of the european globalisation adjustment fund vote,NO
600,report reimer böge,NO
601,statement by the president see minutes,NO
602,service of judicial and extrajudicial documents in civil or commercial matters vote,NO
603,recommendation for second reading gauzès,NO
604,agreement between the ec and bosnia and herzegovina on readmission vote,NO
605,report fava,NO
606,agreement between the ec and bosnia and herzegovina on short stay visas vote,NO
607,agreement between the ec and serbia on readmission vote,NO
608,agreement between the ec and serbia on short stay visas vote,NO
609,agreement between the ec and montenegro on readmission vote,NO
610,report vălean,NO
611,agreement between the ec and montenegro on short stay visas vote,NO
612,agreement between the ec and the former yugoslav republic of macedonia on readmission vote,NO
613,agreement between the ec and the former yugoslav republic of macedonia on short stay visas vote,NO
614,agreement between the ec and albania on short stay visas vote,NO
615,mobilisation of the eu solidarity fund vote,NO
616,european statistical governance advisory board vote,NO
617,report bowles,NO
618,european statistical advisory council vote,NO
619,report van den burg,NO
620,batteries and accumulators and waste batteries and accumulators implementing powers conferred on the commission vote,NO
621,report blokland,NO
622,communication infrastructure for the schengen information system environment regulation vote,NO
623,report coelho,NO
624,mutual assistance and cooperation between customs administrations vote,NO
625,report toma,NO
626,thematic strategy on the sustainable use of pesticides vote,NO
627,report belohorská,NO
628,conventional energy sources and energy technology vote,NO
629,report reul,NO
630,the sitting was suspended at 14.00 and resumed at 15.00,NO
631,the sitting opened at 10.00,NO
632,origin marking written declaration see minutes,NO
633,2008 draft general budget section iii vote,NO
634,virrankoski report,NO
635,itälä report,NO
636,mutual recognition of judgments in criminal matters vote,NO
637,varvitsiotis report,NO
638,ec madagascar fisheries partnership agreement vote,NO
639,sudre report,NO
640,ec mozambique fisheries partnership agreement vote,NO
641,fernandes report,NO
642,rise in food prices vote,NO
643,special measure 2007 for iraq vote,NO
644,cluster bombs vote,NO
645,improving the efficiency of the enforcement of judgments in the eu attachment of bank accounts vote,NO
646,lechner report,NO
647,european ombudsman's activities in 2006 vote,NO
648,sbarbati report,NO
649,pakistan vote,NO
650,resolution pakistan rc b6 0409 / 2007,NO
651,sudan killing of african union peace keeping soldiers vote,NO
652,resolution sudan killing of african union peacekeeping soldiers rc,NO
653,company law vote,NO
654,motion for a resolution commission statement on company law,NO
655,tabling deadlines see minutes,NO
656,the sitting was closed at 4.35 p.m.,NO
657,corrigendum to a text adopted rule 204a see minutes,NO
658,lapsed written declarations see minutes,NO
659,draft general budget for the 2008 financial year deadline for tabling draft amendments see minutes,NO
660,participation of bulgaria and romania in the european economic area vote,NO
661,ec / ukraine agreement short stay visas vote,NO
662,report kudrycka,NO
663,ec / ukraine agreement readmission vote,NO
664,ec / moldova agreement short stay visas vote,NO
665,report marinescu,NO
666,ec / moldova agreement readmission vote,NO
667,data in the fisheries sector and scientific advice regarding the common fisheries policy vote,NO
668,statutes for the euratom supply agency vote,NO
669,report jordan cizelj,NO
670,the role of sport in education vote,NO
671,report schmitt,NO
672,thematic strategy for soil protection vote,NO
673,report prodi,NO
674,the sitting was suspended at 11.55 and resumed at 12.00,NO
675,report liese,NO
676,the sitting was suspended at 13.15 and resumed at 15.00,NO
677,the sitting was suspended at 19.50 and resumed at 21.05,NO
678,the regional impact of earthquakes vote,NO
679,report nikolaos vakalis,NO
680,the european union and humanitarian aid vote,NO
681,report thierry cornillet,NO
682,protection of soil vote,NO
683,report cristina gutiérrez cortines,NO
684,capital adequacy of investment firms and credit institutions implementing powers conferred on the commission vote,NO
