id,text,gloss,health
1560,"we have increased residues in our air , water and food , which affect our health and environment .","X-WE HAVE INCREASE RESIDUE IN X-WE AIR , WATER AND FOOD , WHICH AFFECT X-WE HEALTH AND ENVIRONMENT .",NO
1599,in certain regions a particularly rapid increase in various types of cancer has actually been observed .,IN DESC-CERTAIN REGION DESC-PARTICULARLY DESC-RAPID INCREASE IN DESC-VARIOUS TYPE CANCER HAVE DESC-ACTUALLY BE OBSERVE .,NO
1614,this package lacks the sufficient scientific rigour which is needed both to defend our health and our economy .,THIS PACKAGE LACK DESC-SUFFICIENT DESC-SCIENTIFIC RIGOR WHICH BE NEED BOTH TO DEFEND X-WE HEALTH AND X-WE ECONOMY .,NO
1620,the use of poisons such as alcohol and tobacco must be an individual decision .,USE POISON DESC-SUCH AS ALCOHOL AND TOBACCO MUST BE INDIVIDUAL DECISION .,NO
1625,we should be very strict when it comes to poisons of this kind .,X-WE SHOULD BE DESC-VERY DESC-STRICT WHEN X-IT COME TO POISON THIS KIND .,NO
1647,these are all measures that benefit the environment and public health .,SE BE ALL MEASURE THAT BENEFIT ENVIRONMENT AND PUBLIC HEALTH .,NO
1649,"in my country , poland , the disposal of plant protection products is a major issue .","IN X-MY COUNTRY , POLAND , DISPOSAL PLANT PROTECTION PRODUCT BE DESC-MAJOR ISSUE .",NO
1652,who is giving thought to the current public health problems ?,WHO BE GIVE THINK TO DESC-CURRENT PUBLIC HEALTH PROBLEM ?,NO
1658,we are told pesticides might disrupt dna .,X-WE BE TELL PESTICIDE MIGHT DISRUPT DNA .,NO
1664,the new plant protection regulation is a great step towards more consumer and health protection .,DESC-NEW PLANT PROTECTION REGULATION BE DESC-GREAT STEP TOWARDS MORE CONSUMER AND HEALTH PROTECTION .,NO
1681,they should ensure that the restrictions introduced will promote health without threatening the development of european agriculture .,X-Y SHOULD ENSURE THAT RESTRICTION INTRODUCE WILL PROMOTE HEALTH WITHOUT THREATEN DEVELOPMENT EUROPEAN AGRICULTURE .,NO
1718,no farmer in his right mind would use a chemical which is dangerous to public health .,NO FARMER IN X-HE DESC-RIGHT MIND WOULD USE CHEMICAL WHICH BE DESC-DANGEROUS TO PUBLIC HEALTH .,NO
1721,sl there are some alarming health trends which are largely due to the irresponsible use of pesticides .,SL DESC-RE BE SOME DESC-ALARMING HEALTH TREND WHICH BE DESC-LARGELY DESC-DUE TO DESC-IRRESPONSIBLE USE PESTICIDE .,NO
1732,"alcohol , pure alcohol , is a hazard .","ALCOHOL , DESC-PURE ALCOHOL , BE HAZARD .",NO
1733,"if you drink pure alcohol , we know what happens .","IF X-YOU DRINK DESC-PURE ALCOHOL , X-WE KNOW WHAT HAPPEN .",NO
1736,"the scientific definition , and lack thereof , of endocrine disruptors has already been referred to .","DESC-SCIENTIFIC DEFINITION , AND LACK DESC-REOF , ENDOCRINE DISRUPTOR HAVE DESC-ALREADY BE REFER TO .",NO
1752,"the compromise reached will help improve the condition of the population's health , but will increase production costs .","COMPROMISE REACH WILL HELP IMPROVE CONDITION POPULATION X-POSS HEALTH , BUT WILL INCREASE PRODUCTION COST .",NO
1761,the principle of prevention must be applied .,PRINCIPLE PREVENTION MUST BE APPLY .,NO
1870,i should like to take this opportunity to offer her my sincere wishes for a speedy recovery .,X-I SHOULD LIKE TO TAKE THIS OPPORTUNITY TO OFFER X-SHE X-MY DESC-SINCERE WISH FOR DESC-SPEEDY RECOVERY .,YES
1937,"es mr president , commissioner , may I also wish mrs kroes a swift recovery .","E MR PRESIDENT , COMMISSIONER , MAY X-I DESC-ALSO WISH MR KRO SWIFT RECOVERY .",YES
1994,thirty thousand children die of hunger and poverty related illnesses a day .,THIRTY THOUSAND CHILD DIE HUNGER AND POVERTY RELATE ILLNESS DAY .,NO
2392,framework for community action to achieve a sustainable use of pesticides,FRAMEWORK FOR COMMUNITY ACTION TO ACHIEVE DESC-SUSTAINABLE USE PESTICIDE,NO
2590,i voted for the directive because it is in line with my views on health protection .,X-I VOTE FOR DIRECTIVE BECAUSE X-IT BE IN LINE WITH X-MY VIEW ON HEALTH PROTECTION .,NO
2620,i have incurred no apparent detriment to my health or the wellbeing of the environment .,X-I HAVE INCUR NO DESC-APPARENT DETRIMENT TO X-MY HEALTH OR WELLBEING ENVIRONMENT .,YES
2623,"similarly , farmers have also been the basis of our health .","DESC-SIMILARLY , FARMER HAVE DESC-ALSO BE BASIS X-WE HEALTH .",NO
2624,they produce the good food that is the basis of our good health .,X-Y PRODUCE DESC-GOOD FOOD THAT BE BASIS X-WE DESC-GOOD HEALTH .,NO
2659,how will we manage this when already over 850 million people in the world are undernourished ?,HOW WILL X-WE MANAGE THIS WHEN DESC-ALREADY OVER 850 MILLION PEOPLE IN WORLD BE UNDERNOURISH ?,NO
2745,"to protect human health and the environment , it is vital to help change the approach to agricultural pesticides .","TO PROTECT DESC-HUMAN HEALTH AND ENVIRONMENT , X-IT BE DESC-VITAL TO HELP CHANGE APPROACH TO DESC-AGRICULTURAL PESTICIDE .",NO
2761,controls must also be much more restrictive in order to fully protect public health .,CONTROL MUST DESC-ALSO BE DESC-MUCH MORE DESC-RESTRICTIVE IN ORDER TO DESC-FULLY PROTECT PUBLIC HEALTH .,NO
2765,a european minimum distance would have been preferable from an environmental and public health point of view .,EUROPEAN MINIMUM DISTANCE WOULD HAVE BE DESC-PREFERABLE FROM DESC-ENVIRONMENTAL AND PUBLIC HEALTH POINT VIEW .,NO
2781,it is important to regulate substances which have a proven adverse effect on human health .,X-IT BE DESC-IMPORTANT TO REGULATE SUBSTANCE WHICH HAVE PROVE DESC-ADVERSE EFFECT ON DESC-HUMAN HEALTH .,NO
2795,i would prefer the common position as it would give a better balance between public health and food production .,X-I WOULD PREFER DESC-COMMON POSITION AS X-IT WOULD GIVE DESC-BETTER BALANCE BETWEEN PUBLIC HEALTH AND FOOD PRODUCTION .,NO
2798,the emphasis of this legislation is clearly on health and the links between chemical substances and cancer .,EMPHASIS THIS LEGISLATION BE DESC-CLEARLY ON HEALTH AND LINK BETWEEN CHEMICAL SUBSTANCE AND CANCER .,NO
2833,"yet this would require reliable biometric data , which at the moment cannot be guaranteed .","DESC-YET THIS WOULD REQUIRE DESC-RELIABLE DESC-BIOMETRIC DATUM , WHICH AT MOMENT CAN DESC-NOT BE GUARANTEE .",NO
2845,there is still no secure knowledge about the use of biometric fingerprints from children under the age of the main ambiguity is how long fingerprints from growing children are in fact reliable .,DESC-RE BE DESC-STILL NO DESC-SECURE KNOWLEDGE ABOUT USE DESC-BIOMETRIC FINGERPRINT FROM CHILD UNDER AGE DESC-MAIN AMBIGUITY BE HOW DESC-LONG FINGERPRINT FROM GROW CHILD BE IN FACT DESC-RELIABLE .,NO
3207,are you confident that the reforms of the health check are sufficient in view of all this uncertainty ?,BE X-YOU DESC-CONFIDENT THAT REFORM HEALTH CHECK BE DESC-SUFFICIENT IN VIEW ALL THIS UNCERTAINTY ?,NO
3334,the question about pharmacists was raised by mr angelakas .,QUESTION ABOUT PHARMACIST BE RAISE BY MR ANGELAKA .,NO
3364,pharmaceutical products package debate,DESC-PHARMACEUTICAL PRODUCT PACKAGE DEBATE,NO
3365,the next item is the commission statement on the pharmaceutical products package .,NEXT ITEM BE COMMISSION STATEMENT ON DESC-PHARMACEUTICAL PRODUCT PACKAGE .,NO
3366,patients are the subject of healthcare policy .,PATIENT BE SUBJECT HEALTHCARE POLICY .,NO
3367,"however , health or restoration to health is not just a right .","DESC-HOWEVER , HEALTH OR RESTORATION TO HEALTH BE DESC-NOT DESC-JUST DESC-RIGHT .",NO
3368,this also applies to protection against counterfeit medicines .,THIS DESC-ALSO APPLY TO PROTECTION AGAINST COUNTERFEIT MEDICINE .,NO
3369,the rapidly growing numbers of fake medicines have forced us to act .,DESC-RAPIDLY GROW NUMBER FAKE MEDICINE HAVE FORCE X-WE TO ACT .,NO
3370,"the number of counterfeit medicines confiscated at the eu's external borders increased almost fourfold between 2005 and 200if we do not act now , the first deaths will be caused sooner or later .","NUMBER COUNTERFEIT MEDICINE CONFISCATE AT EU X-POSS DESC-EXTERNAL BORDER INCREASE DESC-ALMOST DESC-FOURFOLD BETWEEN 2005 AND DESC-200IF X-WE DO DESC-NOT ACT DESC-NOW , DESC-FIRST DEATH WILL BE CAUSE DESC-SOONER OR DESC-LATER .",NO
3371,the problem has also affected the legal supply chain for medicines .,PROBLEM HAVE DESC-ALSO AFFECT DESC-LEGAL SUPPLY CHAIN FOR MEDICINE .,NO
3372,we have discovered fake medicines at different stages of the supply chain .,X-WE HAVE DISCOVER FAKE MEDICINE AT DESC-DIFFERENT STAGE SUPPLY CHAIN .,NO
3373,"each individual case involves thousands of packages and , therefore , thousands of patients are potentially at risk .","EACH INDIVIDUAL CASE INVOLVE THOUSAND PACKAGE AND , DESC-REFORE , THOUSAND PATIENT BE DESC-POTENTIALLY AT RISK .",NO
3374,the proposal's sole objective is to improve patient safety .,PROPOSAL X-POSS DESC-SOLE OBJECTIVE BE TO IMPROVE PATIENT SAFETY .,NO
3375,"it is not intended to prevent a specific form of medicine distribution , such as parallel trade .","X-IT BE DESC-NOT INTEND TO PREVENT SPECIFIC FORM MEDICINE DISTRIBUTION , DESC-SUCH AS PARALLEL TRADE .",NO
3382,community wide access to information about undesirable or previously unknown side effects will make community wide risk management significantly easier .,COMMUNITY DESC-WIDE ACCESS TO INFORMATION ABOUT DESC-UNDESIRABLE OR DESC-PREVIOUSLY UNKNOWN SIDE EFFECT WILL MAKE COMMUNITY DESC-WIDE RISK MANAGEMENT DESC-SIGNIFICANTLY DESC-EASIER .,NO
3383,"finally , the pharmaceutical package includes a proposal for improved patient information .","DESC-FINALLY , DESC-PHARMACEUTICAL PACKAGE INCLUDE PROPOSAL FOR IMPROVE PATIENT INFORMATION .",NO
3384,patients have a right to information and this applies in particular to medicines .,PATIENT HAVE DESC-RIGHT TO INFORMATION AND THIS APPLY IN DESC-PARTICULAR TO MEDICINE .,NO
3386,the significance of health will continue to increase in our aging society .,SIGNIFICANCE HEALTH WILL CONTINUE TO INCREASE IN X-WE AGE SOCIETY .,NO
3388,patients are already actively searching for information .,PATIENT BE DESC-ALREADY DESC-ACTIVELY SEARCH FOR INFORMATION .,NO
3396,it draws the obvious conclusions from the increasing importance which citizens place on questions that concern their own health .,X-IT DRAW DESC-OBVIOUS CONCLUSION FROM INCREASE IMPORTANCE WHICH CITIZEN PLACE ON QUESTION THAT CONCERN X-Y DESC-OWN HEALTH .,NO
3400,"you have referred , rightly , to information to patients and you have dwelt on the detail of that .","X-YOU HAVE REFER , DESC-RIGHTLY , TO INFORMATION TO PATIENT AND X-YOU HAVE DWELL ON DETAIL THAT .",NO
3404,"thirdly , you referred to pharmacovigilance .","DESC-THIRDLY , X-YOU REFER TO PHARMACOVIGILANCE .",NO
3405,"so it is vitally important that we have a simplified , more reliable package on pharmacovigilance too .","DESC-SO X-IT BE DESC-VITALLY DESC-IMPORTANT THAT X-WE HAVE SIMPLIFY , MORE DESC-RELIABLE PACKAGE ON PHARMACOVIGILANCE DESC-TOO .",NO
3408,i would also stress the point that the patient must play the central role in this regard .,X-I WOULD DESC-ALSO STRESS POINT THAT PATIENT MUST PLAY DESC-CENTRAL ROLE IN THIS REGARD .,YES
3409,supervision of a medicine is limited once it reaches the market .,SUPERVISION MEDICINE BE LIMIT DESC-ONCE X-IT REACH MARKET .,NO
3410,"side effects are reported , but there is little research into the effectiveness of medicines .","SIDE EFFECT BE REPORT , BUT DESC-RE BE DESC-LITTLE RESEARCH INTO EFFECTIVENESS MEDICINE .",NO
3412,the same applies to antidepressants and other drugs which have an impact on people's mental health .,DESC-SAME APPLY TO ANTIDEPRESSANT AND DESC-OR DRUG WHICH HAVE IMPACT ON PEOPLE X-POSS DESC-MENTAL HEALTH .,NO
3414,we all know that patient information about medicines is a controversial topic .,X-WE ALL KNOW THAT PATIENT INFORMATION ABOUT MEDICINE BE DESC-CONTROVERSIAL TOPIC .,NO
3416,ask your doctor for x medicine for breast cancer or y medicine for cystitis .,ASK X-YOU DOCTOR FOR X MEDICINE FOR BREAST CANCER OR Y MEDICINE FOR CYSTITIS .,YES
3417,we cannot allow anyone to saddle us with a diagnosis or talk us into taking a drug .,X-WE CAN DESC-NOT ALLOW ANYONE TO SADDLE X-WE WITH DIAGNOSIS OR TALK X-WE INTO TAKE DRUG .,YES
3423,contamination from pharmaceutical products is a growing problem in treatment works .,CONTAMINATION FROM DESC-PHARMACEUTICAL PRODUCT BE GROW PROBLEM IN TREATMENT WORK .,NO
3424,"as regards advertisements for pharmaceutical products , I would like to see the toughest possible restrictions .","AS REGARD ADVERTISEMENT FOR DESC-PHARMACEUTICAL PRODUCT , X-I WOULD LIKE TO SEE DESC-TOUGHEST DESC-POSSIBLE RESTRICTION .",NO
3426,"one evening when I was watching television , a quarter of all the advertisements were for over the counter pharmaceutical products .","ONE EVENING WHEN X-I BE WATCH TELEVISION , QUARTER ALL ADVERTISEMENT BE FOR OVER DESC-COUNTER DESC-PHARMACEUTICAL PRODUCT .",NO
3428,"as regards the counterfeiting of medicines , this is probably also connected to our current patent system .","AS REGARD COUNTERFEITING MEDICINE , THIS BE DESC-PROBABLY DESC-ALSO CONNECT TO X-WE DESC-CURRENT PATENT SYSTEM .",NO
3432,"there are nanoparticles in medicine , but we know very little about their toxicological effects .","DESC-RE BE NANOPARTICLE IN MEDICINE , BUT X-WE KNOW DESC-VERY DESC-LITTLE ABOUT X-Y DESC-TOXICOLOGICAL EFFECT .",NO
3433,i would like better methods to be introduced for investigating the toxicology of nanoparticles .,X-I WOULD LIKE DESC-BETTER METHOD TO BE INTRODUCE FOR INVESTIGATE TOXICOLOGY NANOPARTICLE .,NO
3434,sk many of us will probably talk about healthcare subsidiarity in connection with the pharmaceutical package .,SK DESC-MANY X-WE WILL DESC-PROBABLY TALK ABOUT HEALTHCARE SUBSIDIARITY IN CONNECTION WITH DESC-PHARMACEUTICAL PACKAGE .,NO
3435,that is why medicine prices have been rising disproportionately on european markets .,THAT BE WHY MEDICINE PRICE HAVE BE RISE DESC-DISPROPORTIONATELY ON EUROPEAN MARKET .,NO
3437,"this is perhaps not particularly strange , as pharmaceutical products affect everyone .","THIS BE DESC-PERHAPS DESC-NOT DESC-PARTICULARLY DESC-STRANGE , AS DESC-PHARMACEUTICAL PRODUCT AFFECT EVERYONE .",NO
3439,i do not want to see advertisements for prescription pharmaceutical products .,X-I DO DESC-NOT WANT TO SEE ADVERTISEMENT FOR PRESCRIPTION DESC-PHARMACEUTICAL PRODUCT .,NO
3442,"in sweden , for example , we have a system called fass .","IN SWEDEN , FOR EXAMPLE , X-WE HAVE SYSTEM CALL FASS .",NO
3445,my other question relates to the names of medicines in cross border regions .,X-MY DESC-OR QUESTION RELATE TO NAME MEDICINE IN CROSS BORDER REGION .,NO
3446,the names are often different despite the fact that the medicines contain identical substances .,NAME BE DESC-OFTEN DESC-DIFFERENT DESPITE FACT THAT MEDICINE CONTAIN DESC-IDENTICAL SUBSTANCE .,NO
3448,some years ago here we had the pharmaceutical review .,SOME YEAR DESC-AGO DESC-HERE X-WE HAVE DESC-PHARMACEUTICAL REVIEW .,NO
3449,"that included veterinary medicines , as well as human pharmaceuticals .","THAT INCLUDE DESC-VETERINARY MEDICINE , AS DESC-WELL AS DESC-HUMAN DESC-PHARMACEUTICAL .",NO
3451,i have been critical of serious shortcomings in the veterinary medicines directive now for some time .,X-I HAVE BE DESC-CRITICAL DESC-SERIOUS SHORTCOMING IN DESC-VETERINARY MEDICINE DIRECTIVE DESC-NOW FOR SOME TIME .,NO
3452,"i , like others , feel there should be far more patient information now .","X-I , LIKE DESC-OR , FEEL DESC-RE SHOULD BE DESC-FAR MORE PATIENT INFORMATION DESC-NOW .",NO
3453,they should get properly reviewed scientific information at first hand with their medicines .,X-Y SHOULD GET DESC-PROPERLY REVIEW DESC-SCIENTIFIC INFORMATION AT DESC-FIRST HAND WITH X-Y MEDICINE .,NO
3454,"finally , I also have concerns with the role of drug companies in influencing doctorsprescription habits .","DESC-FINALLY , X-I DESC-ALSO HAVE CONCERN WITH ROLE DRUG COMPANY IN INFLUENCE DOCTORSPRESCRIPTION HABIT .",NO
3461,mr schlyter has highlighted the question of vaccines .,MR SCHLYTER HAVE HIGHLIGHT QUESTION VACCINE .,NO
3462,"i must state clearly at this point that vaccines are , of course , not freely available .","X-I MUST STATE DESC-CLEARLY AT THIS POINT THAT VACCINE BE , COURSE , DESC-NOT DESC-FREELY DESC-AVAILABLE .",NO
3464,the issue of counterfeit medicines is unrelated to intellectual property .,ISSUE COUNTERFEIT MEDICINE BE DESC-UNRELATED TO DESC-INTELLECTUAL PROPERTY .,NO
3465,fake medicines are not produced as a result of a dispute about intellectual property .,FAKE MEDICINE BE DESC-NOT PRODUCE AS RESULT DISPUTE ABOUT DESC-INTELLECTUAL PROPERTY .,NO
3466,counterfeit medicines are produced for reasons of pure greed .,COUNTERFEIT MEDICINE BE PRODUCE FOR REASON DESC-PURE GREED .,NO
3470,these statistics show that patient information can even save money .,SE STATISTICS SHOW THAT PATIENT INFORMATION CAN DESC-EVEN SAVE MONEY .,NO
3473,"i am thinking , for example , of the very well known publication apothekenumschau in my native country .","X-I BE THINK , FOR EXAMPLE , DESC-VERY DESC-WELL KNOW PUBLICATION APOKENUMSCHAU IN X-MY NATIVE COUNTRY .",NO
3474,these publications are not allowed to contain advertising for prescription only medicines .,SE PUBLICATION BE DESC-NOT ALLOW TO CONTAIN ADVERTISING FOR PRESCRIPTION DESC-ONLY MEDICINE .,NO
3479,"for example , animals are not able to find out about medicines themselves .","FOR EXAMPLE , ANIMAL BE DESC-NOT DESC-ABLE TO FIND OUT ABOUT MEDICINE X-MSELVES .",NO
3485,it is also an industrial chemical that is actually used a lot in the pharmaceutical industry .,X-IT BE DESC-ALSO DESC-INDUSTRIAL CHEMICAL THAT BE DESC-ACTUALLY USE LOT IN DESC-PHARMACEUTICAL INDUSTRY .,NO
3488,a proper protective set up consists of very high spec gloves that have to be changed every three hours .,DESC-PROPER DESC-PROTECTIVE SET DESC-UP CONSIST DESC-VERY DESC-HIGH SPEC GLOVE THAT HAVE TO BE CHANGE EVERY THREE HOUR .,NO
3491,the protective equipment is very often left at home or just not available at all .,DESC-PROTECTIVE EQUIPMENT BE DESC-VERY DESC-OFTEN LEAVE AT HOME OR DESC-JUST DESC-NOT DESC-AVAILABLE AT ALL .,NO
3496,"it will improve people's ability to strip paint safely without being exposed to dangerous , carcinogenic chemicals .","X-IT WILL IMPROVE PEOPLE X-POSS ABILITY TO STRIP PAINT DESC-SAFELY WITHOUT BE EXPOSE TO DESC-DANGEROUS , DESC-CARCINOGENIC CHEMICAL .",NO
3501,there is no doubt that dichloromethane is hazardous to human health because it is highly volatile .,DESC-RE BE NO DOUBT THAT DICHLOROMETHANE BE DESC-HAZARDOUS TO DESC-HUMAN HEALTH BECAUSE X-IT BE DESC-HIGHLY DESC-VOLATILE .,NO
3514,they are carcinogenic and they cause neurotic effects with nerve damage .,X-Y BE DESC-CARCINOGENIC AND X-Y CAUSE DESC-NEUROTIC EFFECT WITH NERVE DAMAGE .,NO
3517,there is no effective way to ensure the safe use of dichloromethanes for the public .,DESC-RE BE NO DESC-EFFECTIVE WAY TO ENSURE DESC-SAFE USE DICHLOROMETHANE FOR PUBLIC .,NO
3525,dichloromethanes will come off the market for non industrial use .,DICHLOROMETHANE WILL COME OFF MARKET FOR NON DESC-INDUSTRIAL USE .,NO
3558,my last remark concerns the comments made by mr bowis in relation to the toxic effects of the alternatives .,X-MY DESC-LAST REMARK CONCERN COMMENT MAKE BY MR BOWUS IN RELATION TO DESC-TOXIC EFFECT ALTERNATIVE .,NO
3563,we take the healthcare related and environmental arguments of the member states seriously .,X-WE TAKE HEALTHCARE RELATE AND DESC-ENVIRONMENTAL ARGUMENT MEMBER STATE DESC-SERIOUSLY .,NO
3573,in recent years there have been many fatalities as a consequence of dichloromethane use .,IN DESC-RECENT YEAR DESC-RE HAVE BE DESC-MANY FATALITY AS CONSEQUENCE DICHLOROMETHANE USE .,NO
3574,"this extremely volatile substance is damaging to the nervous system , and for the same reason is also carcinogenic .","THIS DESC-EXTREMELY DESC-VOLATILE SUBSTANCE BE DAMAGE TO DESC-NERVOUS SYSTEM , AND FOR DESC-SAME REASON BE DESC-ALSO DESC-CARCINOGENIC .",NO
3575,"it is a substance that is particularly harmful to human health , as it is classified as a carcinogen .","X-IT BE SUBSTANCE THAT BE DESC-PARTICULARLY DESC-HARMFUL TO DESC-HUMAN HEALTH , AS X-IT BE CLASSIFY AS CARCINOGEN .",NO
