Texto,Glosa,Estado,Fidelidade,Naturalidade,Regras,Problema,Sugestao,Esperado,Acertou,Origem
A presidente,MULHER PRESIDENTE,nao_coberto,Sim,Sim,,Nenhuma regra da base especifica a estrutura ou o sinal para o título 'presidente' ou a combinação com gênero.,,invalido,,llm
O artista,ARTISTA HOMEM,nao_coberto,Sim,Sim,,Nenhuma regra da base lista a estrutura específica para o substantivo 'artista' ou a adição de 'HOMEM' como especificador de gênero.,,valido,,llm
Bebo água,BEBER ÁGUA,valido,Sim,Sim,TANIA.M.003,,,valido,sim,llm
Bebo água,BEBO ÁGUA,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre especificamente a estrutura de sentenças simples com sujeito nulo e verbo intransitivo/transitivo sem marcadores de tempo ou aspecto.,,invalido,,llm
Ontem trabalhei,ONTEM TRABALHAR,valido,Sim,Sim,TANIA.M.008,,,valido,sim,llm
Vi ontem,VER ONTEM,valido,Sim,Sim,TANIA.M.003; TANIA.M.007,,,valido,sim,llm
Estudarei Libras,ESTUDAR LIBRAS FUTURO,nao_coberto,Sim,Sim,,Nenhuma regra da base especifica a marcação morfológica ou sintática do futuro simples (sufixo -ei) na glosa linear.,,valido,,llm
Estudarei Libras,ESTUDAREI LIBRAS,nao_coberto,Sim,Sim,,As regras fornecidas não especificam a marcação morfológica de tempo verbal futuro (sujeito 'eu' nulo e verbo 'estudar' no futuro).,,invalido,,llm
Aprenderam português,APRENDER PORTUGUÊS PASSADO,nao_coberto,Sim,Sim,,Nenhuma regra da base especifica a ordem do marcador temporal PASSADO em relação ao verbo ou a estrutura exata para verbos de aprendizado.,,valido,,llm
Não ter,NÃO_TER,invalido,Sim,Não,LIVRO.MORFOLOGIA.010,"A regra LIVRO.MORFOLOGIA.010 especifica que a negação do verbo 'ter' deve ser representada pela etiqueta 'TER-NÃO', e não por 'NÃO_TER'.",TER-NÃO,valido,não,llm
Não conhecer,NÃO_CONHECER,invalido,Sim,Não,LIVRO.MORFOLOGIA.010,"A negação do verbo CONHECER deve ser incorporada ao sinal (CONHECER-NÃO), não precedida por um sinal separado NÃO.",CONHECER-NÃO,valido,não,llm
Não bonito,NÃO_BONITO,nao_coberto,Sim,Sim,,"A estrutura 'NÃO + ADJETIVO' (negação de estado/qualidade) não é explicitamente coberta pelas regras de sintaxe ou negação fornecidas, que focam em verbos ou posições específicas de advérbios.",,valido,,llm
Lindo demais,MUITO_LINDO,nao_coberto,Sim,Sim,,Nenhuma regra da base cobre a ordem de advérbio de intensidade ('demais') com adjetivo ('lindo') ou a estrutura específica desta exclamação.,,valido,,llm
Muito bonito,MUITO_BONITO,nao_coberto,Sim,Sim,,Nenhuma regra da base lista a estrutura específica para a expressão 'Muito bonito' ou a ordem advérbio-adjetivo isolado.,,valido,,llm
Bem demais,MUITO_BEM,nao_coberto,Sim,Sim,,Nenhuma regra da base lista a estrutura específica para a expressão 'Bem demais' ou a ordem de advérbios de intensidade com adjetivos.,,valido,,llm
Trabalhar muito,TRABALHAR_MUITO,nao_coberto,Sim,Sim,,Nenhuma regra da base lista a estrutura específica para advérbios de intensidade (MUITO) ou a formação de compostos verbais com advérbios.,,valido,,llm
Você é bonito,VOCÊ BONITO,valido,Sim,Sim,LIVRO.SINTAXE.015,,,valido,sim,llm
Você é bonito,VOCÊ SER BONITO,invalido,Sim,Não,LIVRO.VERBOS.001; LIVRO.PRONOMES.005,"O pronome 'você' deve ser representado por IX (você) e o verbo copulativo 'ser' deve ser representado pelo sinal É, não por SER.",IX (você) É BONITO,invalido,sim,llm
